STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,22-Apr-2019
Time,11:50
Box Index,1
ExptType,0
SessionRecord,45

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH14_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,145573
Pellet Count,225
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
59,67,
SensorTC
S(1),
333,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,
Control,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,
Frequency,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,2000,8000,8000,8000,8000,2000,8000,2000,2000,2000,2000,2000,2000,2000,2000,8000,8000,8000,8000,8000,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,2000,8000,2000,2000,8000,8000,2000,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,8000,8000,8000,2000,2000,8000,2000,2000,2000,8000,
Amplitude,66,66,83,66,83,83,66,83,83,66,83,66,66,66,66,83,66,83,83,83,83,83,83,83,83,66,66,66,66,66,66,83,66,83,66,83,83,66,66,83,83,66,83,66,83,83,66,83,66,66,66,83,83,66,83,83,66,66,83,66,83,66,83,66,83,83,66,66,83,66,66,83,83,66,66,83,66,66,83,83,83,66,66,83,83,83,66,66,83,66,66,66,66,83,83,66,83,83,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,92,0,0,436,1436,92,436,1,0,0,0,0,0,
0,4,1,0,1436,1565,0,0,1779,2779,1565,1779,1,0,0,0,0,0,
0,4,1,0,2779,3218,0,0,3510,4510,3218,3510,0,1,0,0,0,0,
0,0,1,0,4510,4638,0,0,0,0,4638,5088,0,0,0,0,5088,5237,
1,4,1,1,5237,5309,0,0,5733,6733,5309,5733,0,1,0,0,0,0,
1,4,1,1,6733,7353,0,0,7714,8714,7353,7714,0,1,0,0,0,0,
1,0,1,1,8714,9071,0,0,0,0,9071,9521,0,0,0,0,9521,9570,
2,1,0,2,9570,9634,0,0,0,0,9634,10084,0,0,10084,10114,0,0,
3,4,0,2,11114,11345,0,1,11731,12731,11345,11731,0,1,0,0,0,0,
3,0,0,2,12731,14780,0,0,0,0,14780,15230,0,0,15230,15306,0,0,
4,0,1,3,15306,15352,0,0,0,0,15352,15802,0,0,0,0,15802,15909,
5,0,0,4,15909,15981,0,0,0,0,15981,16431,0,0,16431,16522,0,0,
6,0,0,5,16522,16563,0,0,0,0,16563,17013,0,0,17013,17262,0,0,
7,0,1,6,17262,17322,0,0,0,0,17322,17772,0,0,0,0,17772,18339,
8,0,0,7,18339,18424,0,0,0,0,18424,18874,0,0,18874,18986,0,0,
9,0,0,8,18986,19024,0,0,0,0,19024,19474,0,0,19474,19908,0,0,
10,3,1,9,19908,19973,0,0,0,0,19973,20423,0,0,0,0,20423,20785,
11,0,1,9,21785,22179,0,0,0,0,22179,22629,0,0,0,0,22629,23011,
12,0,0,10,23011,23073,0,0,0,0,23073,23523,0,0,23523,23615,0,0,
13,0,1,11,23615,23655,0,0,0,0,23655,24105,0,0,0,0,24105,24564,
14,0,1,12,24564,24630,0,0,0,0,24630,25080,0,0,0,0,25080,25396,
15,0,1,13,25396,25447,0,0,0,0,25447,25897,0,0,0,0,25897,26194,
16,0,1,14,26194,26253,0,0,0,0,26253,26703,0,0,0,0,26703,26911,
17,0,0,15,26911,26978,0,0,0,0,26978,27428,0,0,27428,27518,0,0,
18,0,1,16,27518,27562,0,0,0,0,27562,28012,0,0,0,0,28012,28188,
19,0,0,17,28188,28257,0,0,0,0,28257,28707,0,0,28707,28817,0,0,
20,0,0,18,28817,28864,0,0,0,0,28864,29314,0,0,29314,29772,0,0,
21,0,0,19,29772,29836,0,0,0,0,29836,30286,0,0,30286,30861,0,0,
22,0,0,20,30861,30947,0,0,0,0,30947,31397,0,0,31397,31947,0,0,
23,0,0,21,31947,32014,0,0,0,0,32014,32464,0,0,32464,33011,0,0,
24,0,0,22,33011,33114,0,0,0,0,33114,33564,0,0,33564,34223,0,0,
25,0,0,23,34223,34296,0,0,0,0,34296,34746,0,0,34746,35339,0,0,
26,0,0,24,35339,35437,0,0,0,0,35437,35887,0,0,35887,36329,0,0,
27,2,1,25,36329,36411,0,0,0,0,36411,36861,0,0,0,0,36861,38861,
28,0,1,25,39361,45260,0,0,0,0,45260,45710,0,0,0,0,45710,45747,
29,0,1,26,45747,45810,0,0,0,0,45810,46260,0,0,0,0,46260,46685,
30,0,1,27,46685,46759,0,0,0,0,46759,47209,0,0,0,0,47209,47431,
31,0,1,28,47431,47487,0,0,0,0,47487,47937,0,0,0,0,47937,48223,
32,0,1,29,48223,48277,0,0,0,0,48277,48727,0,0,0,0,48727,50510,
33,0,1,30,50510,50573,0,0,0,0,50573,51023,0,0,0,0,51023,51879,
34,0,0,31,51879,51944,0,0,0,0,51944,52394,0,0,52394,52495,0,0,
35,3,1,32,52495,52553,0,0,0,0,52553,53003,0,0,0,0,53003,53287,
36,0,1,32,54287,56843,0,0,0,0,56843,57293,0,0,0,0,57293,57427,
37,0,0,33,57427,57490,0,0,0,0,57490,57940,0,0,57940,58067,0,0,
38,0,1,34,58067,58111,0,0,0,0,58111,58561,0,0,0,0,58561,58865,
39,0,0,35,58865,58944,0,0,0,0,58944,59394,0,0,59394,59563,0,0,
40,0,0,36,59563,59607,0,0,0,0,59607,60057,0,0,60057,60517,0,0,
41,3,1,37,60517,60570,0,0,0,0,60570,61020,0,0,0,0,61020,61758,
42,4,1,37,62758,63075,0,0,63193,64193,63075,63193,0,1,0,0,0,0,
42,0,1,37,64193,64700,0,0,0,0,64700,65150,0,0,0,0,65150,65317,
43,0,1,38,65317,65382,0,0,0,0,65382,65832,0,0,0,0,65832,66235,
44,0,0,39,66235,66287,0,0,0,0,66287,66737,0,0,66737,66898,0,0,
45,0,0,40,66898,66939,0,0,0,0,66939,67389,0,0,67389,67738,0,0,
46,0,1,41,67738,67792,0,0,0,0,67792,68242,0,0,0,0,68242,68707,
47,0,0,42,68707,68801,0,0,0,0,68801,69251,0,0,69251,69377,0,0,
48,0,1,43,69377,69419,0,0,0,0,69419,69869,0,0,0,0,69869,70821,
49,0,0,44,70821,70884,0,0,0,0,70884,71334,0,0,71334,71471,0,0,
50,0,0,45,71471,71526,0,0,0,0,71526,71976,0,0,71976,72315,0,0,
51,0,1,46,72315,72376,0,0,0,0,72376,72826,0,0,0,0,72826,74212,
