STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,14-Dec-2018
Time,10:17
Box Index,1
ExptType,0
SessionRecord,43

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,175402
Pellet Count,64
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
100,121,
SensorTC
S(1),
580,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,
Control,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,
Frequency,2000,2000,2000,8000,8000,8000,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,8000,2000,8000,8000,2000,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,2000,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,8000,2000,2000,8000,2000,8000,8000,2000,2000,8000,
Amplitude,83,83,83,66,66,66,66,83,66,83,66,83,83,66,66,83,83,66,66,83,66,66,83,83,83,83,66,83,66,66,66,83,83,83,83,66,66,83,66,66,83,66,83,66,66,83,83,66,66,83,83,66,83,83,66,83,83,66,66,66,66,66,83,83,83,83,66,83,66,66,66,83,66,66,83,83,83,66,83,66,66,83,83,83,83,66,83,66,66,66,66,83,83,66,83,66,66,83,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,0,0,0,849,0,1,1069,1569,849,1069,0,1,0,0,0,0,
0,1,0,0,1569,4797,1,3,0,0,4797,5097,0,0,5097,5477,0,0,
1,0,0,0,6477,7608,0,1,0,0,7608,7908,0,0,7908,7950,0,0,
2,4,0,1,7950,8056,0,0,8311,8811,8056,8311,1,0,0,0,0,0,
2,4,0,1,8811,9252,0,1,9483,9983,9252,9483,1,0,0,0,0,0,
2,4,0,1,9983,9996,0,0,10173,10673,9996,10173,0,1,0,0,0,0,
2,0,0,1,10673,10987,0,0,0,0,10987,11287,0,0,11287,11622,0,0,
3,4,0,2,11622,11845,0,0,12116,12616,11845,12116,0,1,0,0,0,0,
3,0,0,2,12616,13181,0,0,0,0,13181,13481,0,0,13481,13575,0,0,
4,0,1,3,13575,13703,0,0,0,0,13703,14003,0,0,0,0,14003,14036,
5,3,1,4,14036,14134,0,0,0,0,14134,14434,0,0,0,0,14434,14460,
6,0,1,4,15460,16002,0,2,0,0,16002,16302,0,0,0,0,16302,16439,
7,3,1,5,16439,16554,0,0,0,0,16554,16854,0,0,0,0,16854,16936,
8,3,1,5,17936,19473,0,2,0,0,19473,19773,0,0,0,0,19773,20184,
9,4,1,5,21184,27275,2,1,27479,27979,27275,27479,1,0,0,0,0,0,
9,0,1,5,27979,28552,3,0,0,0,28552,28852,0,0,0,0,28852,28988,
10,0,1,6,28988,29088,0,0,0,0,29088,29388,0,0,0,0,29388,29452,
11,0,0,7,29452,29559,0,1,0,0,29559,29859,0,0,29859,29912,0,0,
12,4,1,8,29912,30025,0,0,30317,30817,30025,30317,1,0,0,0,0,0,
12,0,1,8,30817,30941,0,0,0,0,30941,31241,0,0,0,0,31241,31271,
13,0,0,9,31271,31364,0,0,0,0,31364,31664,0,0,31664,31988,0,0,
14,0,1,10,31988,32106,0,0,0,0,32106,32406,0,0,0,0,32406,32461,
15,1,0,11,32461,32534,0,0,0,0,32534,32834,0,0,32834,32839,0,0,
16,0,0,11,33839,34437,1,0,0,0,34437,34737,0,0,34737,34884,0,0,
17,4,0,12,34884,34990,0,0,35285,35785,34990,35285,0,1,0,0,0,0,
17,1,0,12,35785,35880,0,0,0,0,35880,36180,0,0,36180,36259,0,0,
18,1,0,12,37259,37836,0,1,0,0,37836,38136,0,0,38136,38369,0,0,
19,4,0,12,39369,39733,1,0,39969,40469,39733,39969,0,1,0,0,0,0,
19,0,0,12,40469,40728,0,1,0,0,40728,41028,0,0,41028,41135,0,0,
20,0,1,13,41135,41281,0,0,0,0,41281,41581,0,0,0,0,41581,41726,
21,0,1,14,41726,41803,0,0,0,0,41803,42103,0,0,0,0,42103,42117,
22,0,0,15,42117,42181,0,0,0,0,42181,42481,0,0,42481,42544,0,0,
23,4,0,16,42544,42622,0,0,42907,43407,42622,42907,0,1,0,0,0,0,
23,4,0,16,43407,43421,0,0,43563,44063,43421,43563,1,0,0,0,0,0,
23,4,0,16,44063,46231,0,0,46343,46843,46231,46343,0,1,0,0,0,0,
23,0,0,16,46843,47157,1,0,0,0,47157,47457,0,0,47457,47631,0,0,
24,0,1,17,47631,47733,0,0,0,0,47733,48033,0,0,0,0,48033,48072,
25,0,1,18,48072,48139,0,0,0,0,48139,48439,0,0,0,0,48439,48512,
26,1,0,19,48512,48576,0,0,0,0,48576,48876,0,0,48876,48990,0,0,
27,4,0,19,49990,50073,0,0,50262,50762,50073,50262,0,1,0,0,0,0,
27,0,0,19,50762,51402,0,1,0,0,51402,51702,0,0,51702,51802,0,0,
28,0,1,20,51802,51888,0,0,0,0,51888,52188,0,0,0,0,52188,52226,
29,3,1,21,52226,52303,0,0,0,0,52303,52603,0,0,0,0,52603,52613,
30,3,1,21,53613,53686,0,0,0,0,53686,53986,0,0,0,0,53986,54345,
31,0,1,21,55345,55506,0,1,0,0,55506,55806,0,0,0,0,55806,56052,
32,0,0,22,56052,56170,0,0,0,0,56170,56470,0,0,56470,56474,0,0,
33,4,0,23,56474,56615,0,0,56902,57402,56615,56902,0,1,0,0,0,0,
33,4,0,23,57402,57912,0,0,58146,58646,57912,58146,0,1,0,0,0,0,
33,0,0,23,58646,62603,0,1,0,0,62603,62903,0,0,62903,63020,0,0,
34,1,0,24,63020,63105,0,0,0,0,63105,63405,0,0,63405,63419,0,0,
35,4,0,24,64419,64530,0,0,64803,65303,64530,64803,1,0,0,0,0,0,
35,0,0,24,65303,65310,0,0,0,0,65310,65610,0,0,65610,65807,0,0,
36,1,0,25,65807,65870,0,0,0,0,65870,66170,0,0,66170,66223,0,0,
37,1,0,25,67223,67249,0,0,0,0,67249,67549,0,0,67549,67683,0,0,
38,4,0,25,68683,68854,0,0,69115,69615,68854,69115,0,1,0,0,0,0,
38,0,0,25,69615,69626,0,0,0,0,69626,69926,0,0,69926,70095,0,0,
39,0,1,26,70095,70182,0,0,0,0,70182,70482,0,0,0,0,70482,70556,
40,4,0,27,70556,70676,0,0,70958,71458,70676,70958,1,0,0,0,0,0,
40,0,0,27,71458,71510,0,0,0,0,71510,71810,0,0,71810,72102,0,0,
