STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,17-Jan-2019
Time,11:22
Box Index,1
ExptType,0
SessionRecord,61

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,228189
Pellet Count,75
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
68,145,
SensorTC
S(1),
802,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,
Control,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,
Frequency,2000,8000,8000,8000,8000,2000,8000,2000,2000,2000,8000,2000,8000,8000,8000,8000,2000,2000,2000,2000,2000,2000,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,8000,2000,8000,8000,8000,2000,8000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,8000,8000,2000,2000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,2000,8000,2000,8000,2000,8000,2000,8000,2000,8000,
Amplitude,83,66,66,66,66,83,66,83,83,83,66,83,66,66,66,66,83,83,83,83,83,83,66,83,66,83,66,66,66,83,83,83,66,83,66,66,66,83,66,83,66,66,83,83,83,66,66,66,83,83,83,66,66,83,66,66,83,83,83,66,66,66,83,83,66,83,83,83,66,66,83,83,83,66,66,66,66,66,83,83,66,66,83,83,83,83,66,83,66,66,83,66,83,66,83,66,83,66,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,0,0,0,222,0,0,509,1009,222,509,1,0,0,0,0,0,
0,4,0,0,1009,1372,0,1,1570,2070,1372,1570,0,1,0,0,0,0,
0,4,0,0,2070,2447,0,0,2590,3090,2447,2590,0,1,0,0,0,0,
0,4,0,0,3090,3243,0,0,3530,4030,3243,3530,0,1,0,0,0,0,
0,4,0,0,4030,5640,0,0,5823,6323,5640,5823,0,1,0,0,0,0,
0,4,0,0,6323,6733,1,0,6843,7343,6733,6843,1,0,0,0,0,0,
0,4,0,0,7343,8856,3,1,9139,9639,8856,9139,0,1,0,0,0,0,
0,0,0,0,9639,10088,0,2,0,0,10088,10488,0,0,10488,11540,0,0,
1,4,1,1,11540,11670,0,0,11958,12458,11670,11958,0,1,0,0,0,0,
1,0,1,1,12458,12983,0,0,0,0,12983,13383,0,0,0,0,13383,13424,
2,4,1,2,13424,13539,0,0,13912,14412,13539,13912,1,0,0,0,0,0,
2,3,1,2,14412,15153,0,1,0,0,15153,15553,0,0,0,0,15553,16518,
3,4,1,2,17518,17711,0,0,17721,18221,17711,17721,0,1,0,0,0,0,
3,0,1,2,18221,18261,0,0,0,0,18261,18661,0,0,0,0,18661,18674,
4,0,1,3,18674,18753,0,0,0,0,18753,19153,0,0,0,0,19153,19602,
5,0,1,4,19602,19672,0,0,0,0,19672,20072,0,0,0,0,20072,20469,
6,0,0,5,20469,20566,0,0,0,0,20566,20966,0,0,20966,21050,0,0,
7,0,1,6,21050,21169,0,0,0,0,21169,21569,0,0,0,0,21569,21635,
8,4,0,7,21635,21722,0,0,22088,22588,21722,22088,1,0,0,0,0,0,
8,0,0,7,22588,22653,0,0,0,0,22653,23053,0,0,23053,23145,0,0,
9,4,0,8,23145,23237,0,0,23572,24072,23237,23572,0,1,0,0,0,0,
9,4,0,8,24072,24582,0,0,24650,25150,24582,24650,0,1,0,0,0,0,
9,4,0,8,25150,25766,0,0,26061,26561,25766,26061,0,1,0,0,0,0,
9,0,0,8,26561,27013,0,0,0,0,27013,27413,0,0,27413,27510,0,0,
10,0,0,9,27510,27683,0,0,0,0,27683,28083,0,0,28083,28191,0,0,
11,4,1,10,28191,28296,0,0,28667,29167,28296,28667,0,1,0,0,0,0,
11,0,1,10,29167,30649,0,0,0,0,30649,31049,0,0,0,0,31049,31056,
12,1,0,11,31056,31163,0,0,0,0,31163,31563,0,0,31563,31573,0,0,
13,0,0,11,32573,32841,0,1,0,0,32841,33241,0,0,33241,33365,0,0,
14,4,1,12,33365,33464,0,0,33769,34269,33464,33769,0,1,0,0,0,0,
14,4,1,12,34269,34541,1,0,34814,35314,34541,34814,0,1,0,0,0,0,
14,4,1,12,35314,35546,0,0,35930,36430,35546,35930,0,1,0,0,0,0,
14,0,1,12,36430,36626,0,1,0,0,36626,37026,0,0,0,0,37026,37052,
15,3,1,13,37052,37148,0,0,0,0,37148,37548,0,0,0,0,37548,37663,
16,0,1,13,38663,38914,0,1,0,0,38914,39314,0,0,0,0,39314,39720,
17,0,1,14,39720,39791,0,0,0,0,39791,40191,0,0,0,0,40191,40539,
18,3,1,15,40539,40609,0,0,0,0,40609,41009,0,0,0,0,41009,41049,
19,0,1,15,42049,42720,0,0,0,0,42720,43120,0,0,0,0,43120,43397,
20,1,0,16,43397,43486,0,0,0,0,43486,43886,0,0,43886,43888,0,0,
21,4,0,16,44888,46329,0,0,46601,47101,46329,46601,0,1,0,0,0,0,
21,0,0,16,47101,47208,0,0,0,0,47208,47608,0,0,47608,47715,0,0,
22,4,0,17,47715,47810,0,0,48110,48610,47810,48110,0,1,0,0,0,0,
22,0,0,17,48610,49441,0,0,0,0,49441,49841,0,0,49841,49924,0,0,
23,4,0,18,49924,50024,0,0,50389,50889,50024,50389,0,1,0,0,0,0,
23,1,0,18,50889,51007,0,0,0,0,51007,51407,0,0,51407,51410,0,0,
24,0,0,18,52410,52697,0,1,0,0,52697,53097,0,0,53097,53194,0,0,
25,0,0,19,53194,53280,0,0,0,0,53280,53680,0,0,53680,53790,0,0,
26,4,0,20,53790,53917,0,0,54311,54811,53917,54311,0,1,0,0,0,0,
26,0,0,20,54811,54977,0,0,0,0,54977,55377,0,0,55377,55460,0,0,
27,0,0,21,55460,55581,0,0,0,0,55581,55981,0,0,55981,56065,0,0,
28,4,1,22,56065,56160,0,0,56546,57046,56160,56546,0,1,0,0,0,0,
28,3,1,22,57046,57083,0,0,0,0,57083,57483,0,0,0,0,57483,58131,
29,3,1,22,59131,59315,0,0,0,0,59315,59715,0,0,0,0,59715,59815,
30,4,1,22,60815,60830,0,0,61201,61701,60830,61201,0,1,0,0,0,0,
30,4,1,22,61701,62013,0,0,62237,62737,62013,62237,0,1,0,0,0,0,
30,4,1,22,62737,62860,0,0,63191,63691,62860,63191,0,1,0,0,0,0,
30,4,1,22,63691,63722,0,0,64119,64619,63722,64119,1,0,0,0,0,0,
30,3,1,22,64619,64629,0,0,0,0,64629,65029,0,0,0,0,65029,65129,
31,0,1,22,66129,66299,0,0,0,0,66299,66699,0,0,0,0,66699,66704,
