STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,18-Feb-2019
Time,12:16
Box Index,1
ExptType,0
SessionRecord,29

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,218984
Pellet Count,218
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
53,60,
SensorTC
S(1),
404,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,
Control,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,
Frequency,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,8000,8000,8000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,2000,8000,2000,2000,8000,8000,8000,8000,2000,2000,2000,2000,2000,8000,8000,8000,2000,8000,8000,8000,8000,2000,2000,8000,8000,2000,2000,2000,8000,
Amplitude,66,83,66,66,83,83,66,83,66,83,83,66,66,83,66,83,83,83,66,66,83,83,66,66,83,66,66,66,83,83,83,83,66,83,66,83,66,66,66,83,83,83,66,66,83,83,83,66,66,66,66,66,66,83,83,66,66,83,83,83,66,66,66,83,83,83,66,66,83,83,83,83,66,83,83,66,66,66,66,83,83,83,83,83,66,66,66,83,66,66,66,66,83,83,66,66,83,83,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,135,0,0,342,842,135,342,0,1,0,0,0,0,
0,0,1,0,842,2016,0,0,0,0,2016,2516,0,0,0,0,2516,2631,
1,1,0,1,2631,2706,0,0,0,0,2706,3206,0,0,3206,3218,0,0,
2,4,0,1,4218,5068,0,0,5545,6045,5068,5545,0,1,0,0,0,0,
2,0,0,1,6045,6221,0,0,0,0,6221,6721,0,0,6721,7078,0,0,
3,0,1,2,7078,7116,0,0,0,0,7116,7616,0,0,0,0,7616,8608,
4,0,1,3,8608,8708,0,0,0,0,8708,9208,0,0,0,0,9208,9383,
5,0,0,4,9383,9434,0,0,0,0,9434,9934,0,0,9934,10026,0,0,
6,1,0,5,10026,10067,0,0,0,0,10067,10567,0,0,10567,10669,0,0,
7,0,0,5,11669,12256,0,0,0,0,12256,12756,0,0,12756,12854,0,0,
8,0,1,6,12854,12892,0,0,0,0,12892,13392,0,0,0,0,13392,13420,
9,0,0,7,13420,13472,0,0,0,0,13472,13972,0,0,13972,14098,0,0,
10,0,1,8,14098,14138,0,0,0,0,14138,14638,0,0,0,0,14638,14948,
11,0,0,9,14948,14996,0,0,0,0,14996,15496,0,0,15496,15564,0,0,
12,0,0,10,15564,15611,0,0,0,0,15611,16111,0,0,16111,16252,0,0,
13,0,1,11,16252,16310,0,0,0,0,16310,16810,0,0,0,0,16810,17324,
14,0,1,12,17324,17380,0,0,0,0,17380,17880,0,0,0,0,17880,18573,
15,4,0,13,18573,18625,0,0,18940,19440,18625,18940,0,1,0,0,0,0,
15,0,0,13,19440,22491,0,0,0,0,22491,22991,0,0,22991,23143,0,0,
16,0,1,14,23143,23181,0,0,0,0,23181,23681,0,0,0,0,23681,23776,
17,0,0,15,23776,23821,0,0,0,0,23821,24321,0,0,24321,24460,0,0,
18,0,0,16,24460,24496,0,0,0,0,24496,24996,0,0,24996,25103,0,0,
19,0,0,17,25103,25177,0,0,0,0,25177,25677,0,0,25677,25770,0,0,
20,0,1,18,25770,25838,0,0,0,0,25838,26338,0,0,0,0,26338,26709,
21,3,1,19,26709,26751,0,0,0,0,26751,27251,0,0,0,0,27251,27298,
22,4,1,19,28298,28709,0,0,29176,29676,28709,29176,0,1,0,0,0,0,
22,4,1,19,29676,29680,0,0,29911,30411,29680,29911,0,1,0,0,0,0,
22,0,1,19,30411,31701,0,0,0,0,31701,32201,0,0,0,0,32201,32700,
23,1,0,20,32700,32783,0,0,0,0,32783,33283,0,0,33283,33292,0,0,
24,0,0,20,34292,35343,0,0,0,0,35343,35843,0,0,35843,36056,0,0,
25,0,0,21,36056,36112,0,0,0,0,36112,36612,0,0,36612,36717,0,0,
26,0,1,22,36717,36756,0,0,0,0,36756,37256,0,0,0,0,37256,37732,
27,0,1,23,37732,37784,0,0,0,0,37784,38284,0,0,0,0,38284,38627,
28,0,0,24,38627,38664,0,0,0,0,38664,39164,0,0,39164,39252,0,0,
29,0,1,25,39252,39290,0,0,0,0,39290,39790,0,0,0,0,39790,40000,
30,0,1,26,40000,40043,0,0,0,0,40043,40543,0,0,0,0,40543,40581,
31,0,1,27,40581,40630,0,0,0,0,40630,41130,0,0,0,0,41130,41282,
32,0,0,28,41282,41343,0,0,0,0,41343,41843,0,0,41843,41926,0,0,
33,0,0,29,41926,41960,0,0,0,0,41960,42460,0,0,42460,42567,0,0,
34,0,0,30,42567,42625,0,0,0,0,42625,43125,0,0,43125,43254,0,0,
35,2,0,31,43254,43319,0,0,0,0,43319,43819,0,0,43819,45819,0,0,
36,0,0,31,46319,52784,0,0,0,0,52784,53284,0,0,53284,53349,0,0,
37,0,1,32,53349,53402,0,0,0,0,53402,53902,0,0,0,0,53902,54031,
38,4,0,33,54031,54081,0,0,54566,55066,54081,54566,0,1,0,0,0,0,
38,0,0,33,55066,55260,0,0,0,0,55260,55760,0,0,55760,56006,0,0,
39,0,1,34,56006,56050,0,0,0,0,56050,56550,0,0,0,0,56550,56941,
40,0,0,35,56941,57002,0,0,0,0,57002,57502,0,0,57502,57781,0,0,
41,3,1,36,57781,57836,0,0,0,0,57836,58336,0,0,0,0,58336,58741,
42,2,1,36,59741,60029,1,1,0,0,60029,60529,0,0,0,0,60529,62529,
43,0,1,36,63029,65603,0,0,0,0,65603,66103,0,0,0,0,66103,66277,
44,0,1,37,66277,66334,0,0,0,0,66334,66834,0,0,0,0,66834,66990,
45,0,1,38,66990,67054,0,0,0,0,67054,67554,0,0,0,0,67554,67665,
46,0,0,39,67665,67722,0,0,0,0,67722,68222,0,0,68222,68335,0,0,
47,0,0,40,68335,68372,0,0,0,0,68372,68872,0,0,68872,68973,0,0,
48,0,0,41,68973,69030,0,0,0,0,69030,69530,0,0,69530,69719,0,0,
49,2,1,42,69719,69783,0,0,0,0,69783,70283,0,0,0,0,70283,72283,
50,4,1,42,72783,73202,0,0,73623,74123,73202,73623,0,1,0,0,0,0,
50,0,1,42,74123,83952,0,0,0,0,83952,84452,0,0,0,0,84452,84512,
51,0,1,43,84512,84555,0,0,0,0,84555,85055,0,0,0,0,85055,85186,
