STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,29-Jan-2019
Time,12:24
Box Index,1
ExptType,0
SessionRecord,17

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,183593
Pellet Count,225
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
52,68,
SensorTC
S(1),
455,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,
Control,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,
Frequency,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,2000,2000,8000,2000,8000,8000,8000,2000,2000,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,2000,2000,2000,8000,2000,8000,2000,8000,8000,8000,8000,8000,2000,8000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,8000,2000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,2000,8000,8000,
Amplitude,66,83,66,66,83,83,66,66,83,83,66,83,83,66,83,66,66,83,66,83,83,83,66,83,66,66,66,83,83,66,66,83,83,66,66,83,83,66,83,66,83,66,83,66,66,66,83,66,83,83,83,83,83,66,83,66,83,66,66,66,66,66,83,66,83,83,66,66,83,83,66,66,83,66,83,83,83,66,66,83,83,66,83,83,66,83,66,66,66,83,83,66,83,66,83,83,66,83,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,110,0,0,212,712,110,212,0,1,0,0,0,0,
0,4,1,0,712,2349,4,1,2783,3283,2349,2783,0,1,0,0,0,0,
0,4,1,0,3283,5959,0,0,6426,6926,5959,6426,0,1,0,0,0,0,
0,4,1,0,6926,8098,0,1,8579,9079,8098,8579,0,1,0,0,0,0,
0,0,1,0,9079,9145,0,0,0,0,9145,9645,0,0,0,0,9645,9654,
1,0,0,1,9654,9782,0,0,0,0,9782,10282,0,0,10282,10421,0,0,
2,2,1,2,10421,10486,0,0,0,0,10486,10986,0,0,0,0,10986,12986,
3,4,1,2,13486,14593,0,0,15024,15524,14593,15024,0,1,0,0,0,0,
3,0,1,2,15524,15980,0,0,0,0,15980,16480,0,0,0,0,16480,16638,
4,0,1,3,16638,16722,0,0,0,0,16722,17222,0,0,0,0,17222,17355,
5,0,0,4,17355,17432,0,0,0,0,17432,17932,0,0,17932,18045,0,0,
6,0,0,5,18045,18099,0,0,0,0,18099,18599,0,0,18599,18701,0,0,
7,0,1,6,18701,18770,0,0,0,0,18770,19270,0,0,0,0,19270,20144,
8,0,1,7,20144,20211,0,0,0,0,20211,20711,0,0,0,0,20711,21032,
9,0,0,8,21032,21128,0,0,0,0,21128,21628,0,0,21628,21751,0,0,
10,0,0,9,21751,21803,0,0,0,0,21803,22303,0,0,22303,22505,0,0,
11,0,1,10,22505,22563,0,0,0,0,22563,23063,0,0,0,0,23063,23744,
12,0,0,11,23744,23861,0,0,0,0,23861,24361,0,0,24361,24506,0,0,
13,0,0,12,24506,24564,0,0,0,0,24564,25064,0,0,25064,25366,0,0,
14,0,1,13,25366,25424,0,0,0,0,25424,25924,0,0,0,0,25924,27021,
15,0,0,14,27021,27095,0,0,0,0,27095,27595,0,0,27595,27737,0,0,
16,0,1,15,27737,27787,0,0,0,0,27787,28287,0,0,0,0,28287,28848,
17,0,1,16,28848,28950,0,0,0,0,28950,29450,0,0,0,0,29450,29549,
18,0,0,17,29549,29616,0,0,0,0,29616,30116,0,0,30116,30231,0,0,
19,0,1,18,30231,30285,0,0,0,0,30285,30785,0,0,0,0,30785,31303,
20,0,0,19,31303,31371,0,0,0,0,31371,31871,0,0,31871,32029,0,0,
21,0,0,20,32029,32083,0,0,0,0,32083,32583,0,0,32583,32788,0,0,
22,0,0,21,32788,32852,0,0,0,0,32852,33352,0,0,33352,33685,0,0,
23,0,1,22,33685,33760,0,0,0,0,33760,34260,0,0,0,0,34260,35196,
24,0,0,23,35196,35266,0,0,0,0,35266,35766,0,0,35766,35940,0,0,
25,0,1,24,35940,36010,0,0,0,0,36010,36510,0,0,0,0,36510,37622,
26,2,1,25,37622,37785,0,0,0,0,37785,38285,0,0,0,0,38285,40285,
27,4,1,25,40785,46851,1,1,47285,47785,46851,47285,0,1,0,0,0,0,
27,4,1,25,47785,52734,0,0,52937,53437,52734,52937,0,1,0,0,0,0,
27,4,1,25,53437,53488,0,0,53963,54463,53488,53963,0,1,0,0,0,0,
27,0,1,25,54463,54678,0,0,0,0,54678,55178,0,0,0,0,55178,55211,
28,4,1,26,55211,55310,0,0,55786,56286,55310,55786,0,1,0,0,0,0,
28,4,1,26,56286,56895,0,0,57245,57745,56895,57245,0,1,0,0,0,0,
28,0,1,26,57745,57795,0,0,0,0,57795,58295,0,0,0,0,58295,58386,
29,0,0,27,58386,58478,0,0,0,0,58478,58978,0,0,58978,59057,0,0,
30,0,0,28,59057,59120,0,0,0,0,59120,59620,0,0,59620,59740,0,0,
31,0,1,29,59740,59814,0,0,0,0,59814,60314,0,0,0,0,60314,61059,
32,0,1,30,61059,61117,0,0,0,0,61117,61617,0,0,0,0,61617,61869,
33,1,0,31,61869,61934,0,0,0,0,61934,62434,0,0,62434,62448,0,0,
34,0,0,31,63448,65531,0,0,0,0,65531,66031,0,0,66031,66142,0,0,
35,0,0,32,66142,66207,0,0,0,0,66207,66707,0,0,66707,66840,0,0,
36,0,1,33,66840,66928,0,0,0,0,66928,67428,0,0,0,0,67428,68356,
37,0,1,34,68356,68428,0,0,0,0,68428,68928,0,0,0,0,68928,69095,
38,0,0,35,69095,69175,0,0,0,0,69175,69675,0,0,69675,69813,0,0,
39,0,0,36,69813,69877,0,0,0,0,69877,70377,0,0,70377,70817,0,0,
40,0,1,37,70817,70885,0,0,0,0,70885,71385,0,0,0,0,71385,71968,
41,0,0,38,71968,72038,0,0,0,0,72038,72538,0,0,72538,72708,0,0,
42,0,1,39,72708,72766,0,0,0,0,72766,73266,0,0,0,0,73266,74141,
43,2,0,40,74141,74210,0,0,0,0,74210,74710,0,0,74710,76710,0,0,
44,0,0,40,77210,91351,0,1,0,0,91351,91851,0,0,91851,91952,0,0,
45,0,1,41,91952,92011,0,0,0,0,92011,92511,0,0,0,0,92511,92995,
46,0,0,42,92995,93059,0,0,0,0,93059,93559,0,0,93559,93649,0,0,
47,0,1,43,93649,93719,0,0,0,0,93719,94219,0,0,0,0,94219,94837,
48,0,1,44,94837,94916,0,0,0,0,94916,95416,0,0,0,0,95416,96235,
