STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,07-Feb-2019
Time,12:9
Box Index,1
ExptType,0
SessionRecord,23

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,286594
Pellet Count,217
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
61,73,
SensorTC
S(1),
462,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,
Control,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,
Frequency,8000,8000,8000,8000,2000,2000,8000,2000,2000,2000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,8000,2000,8000,2000,8000,2000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,2000,8000,2000,8000,2000,2000,2000,8000,2000,8000,8000,8000,2000,2000,2000,8000,8000,2000,2000,8000,8000,8000,
Amplitude,66,66,66,66,83,83,66,83,83,83,66,66,66,83,83,83,83,66,83,66,66,83,66,83,83,66,83,66,66,83,66,66,83,83,66,83,66,83,83,66,66,83,66,66,83,83,83,66,83,66,66,83,83,66,66,83,83,66,66,83,66,66,66,83,66,83,66,83,83,83,66,66,83,66,66,83,83,83,83,66,83,66,83,83,83,66,83,66,66,66,83,83,83,66,66,83,83,66,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,152,0,1,620,1120,152,620,0,1,0,0,0,0,
0,4,1,0,1120,1380,0,0,1782,2282,1380,1782,0,1,0,0,0,0,
0,4,1,0,2282,2729,2,0,2912,3412,2729,2912,1,0,0,0,0,0,
0,0,1,0,3412,3553,0,0,0,0,3553,4053,0,0,0,0,4053,4412,
1,0,1,1,4412,4505,0,0,0,0,4505,5005,0,0,0,0,5005,5085,
2,4,1,2,5085,5138,0,0,5613,6113,5138,5613,0,1,0,0,0,0,
2,4,1,2,6113,6176,0,0,6599,7099,6176,6599,1,0,0,0,0,0,
2,0,1,2,7099,9199,0,0,0,0,9199,9699,0,0,0,0,9699,9827,
3,4,1,3,9827,9915,0,0,10411,10911,9915,10411,0,1,0,0,0,0,
3,0,1,3,10911,11538,0,1,0,0,11538,12038,0,0,0,0,12038,12308,
4,4,0,4,12308,12384,0,0,12883,13383,12384,12883,0,1,0,0,0,0,
4,1,0,4,13383,14066,2,0,0,0,14066,14566,0,0,14566,14702,0,0,
5,4,0,4,15702,17384,0,0,17854,18354,17384,17854,0,1,0,0,0,0,
5,0,0,4,18354,18608,0,0,0,0,18608,19108,0,0,19108,19243,0,0,
6,0,0,5,19243,19281,0,0,0,0,19281,19781,0,0,19781,19907,0,0,
7,0,1,6,19907,19968,0,0,0,0,19968,20468,0,0,0,0,20468,20778,
8,0,0,7,20778,20834,0,0,0,0,20834,21334,0,0,21334,21423,0,0,
9,0,0,8,21423,21476,0,0,0,0,21476,21976,0,0,21976,22097,0,0,
10,0,0,9,22097,22164,0,0,0,0,22164,22664,0,0,22664,22891,0,0,
11,0,1,10,22891,22976,0,0,0,0,22976,23476,0,0,0,0,23476,24369,
12,0,1,11,24369,24444,0,0,0,0,24444,24944,0,0,0,0,24944,25152,
13,0,1,12,25152,25212,0,0,0,0,25212,25712,0,0,0,0,25712,25873,
14,0,0,13,25873,25929,0,0,0,0,25929,26429,0,0,26429,26521,0,0,
15,0,0,14,26521,26580,0,0,0,0,26580,27080,0,0,27080,27225,0,0,
16,0,0,15,27225,27288,0,0,0,0,27288,27788,0,0,27788,28077,0,0,
17,0,0,16,28077,28134,0,0,0,0,28134,28634,0,0,28634,29129,0,0,
18,0,1,17,29129,29209,0,0,0,0,29209,29709,0,0,0,0,29709,30384,
19,0,0,18,30384,30456,0,0,0,0,30456,30956,0,0,30956,31035,0,0,
20,0,1,19,31035,31088,0,0,0,0,31088,31588,0,0,0,0,31588,32184,
21,2,1,20,32184,32241,0,0,0,0,32241,32741,0,0,0,0,32741,34741,
22,0,1,20,35241,37518,0,0,0,0,37518,38018,0,0,0,0,38018,38200,
23,0,0,21,38200,38284,0,0,0,0,38284,38784,0,0,38784,38875,0,0,
24,0,1,22,38875,38933,0,0,0,0,38933,39433,0,0,0,0,39433,39628,
25,0,0,23,39628,39689,0,0,0,0,39689,40189,0,0,40189,40279,0,0,
26,0,0,24,40279,40324,0,0,0,0,40324,40824,0,0,40824,41006,0,0,
27,2,1,25,41006,41064,0,0,0,0,41064,41564,0,0,0,0,41564,43564,
28,0,1,25,44064,45507,0,0,0,0,45507,46007,0,0,0,0,46007,46046,
29,0,0,26,46046,46127,0,0,0,0,46127,46627,0,0,46627,46774,0,0,
30,0,1,27,46774,46835,0,0,0,0,46835,47335,0,0,0,0,47335,47803,
31,0,1,28,47803,47866,0,0,0,0,47866,48366,0,0,0,0,48366,48721,
32,0,0,29,48721,48786,0,0,0,0,48786,49286,0,0,49286,49341,0,0,
33,0,1,30,49341,49403,0,0,0,0,49403,49903,0,0,0,0,49903,50448,
34,3,1,31,50448,50517,0,0,0,0,50517,51017,0,0,0,0,51017,51139,
35,0,1,31,52139,52180,0,0,0,0,52180,52680,0,0,0,0,52680,52936,
36,0,0,32,52936,53027,0,0,0,0,53027,53527,0,0,53527,53645,0,0,
37,0,0,33,53645,53698,0,0,0,0,53698,54198,0,0,54198,54318,0,0,
38,0,1,34,54318,54382,0,0,0,0,54382,54882,0,0,0,0,54882,55607,
39,0,0,35,55607,55680,0,0,0,0,55680,56180,0,0,56180,56293,0,0,
40,0,1,36,56293,56343,0,0,0,0,56343,56843,0,0,0,0,56843,57940,
41,0,0,37,57940,58012,0,0,0,0,58012,58512,0,0,58512,58602,0,0,
42,0,0,38,58602,58655,0,0,0,0,58655,59155,0,0,59155,59367,0,0,
43,0,1,39,59367,59428,0,0,0,0,59428,59928,0,0,0,0,59928,61087,
44,4,1,40,61087,61184,0,0,61629,62129,61184,61629,0,1,0,0,0,0,
44,0,1,40,62129,62170,0,0,0,0,62170,62670,0,0,0,0,62670,62791,
45,0,0,41,62791,62864,0,0,0,0,62864,63364,0,0,63364,63451,0,0,
46,0,1,42,63451,63496,0,0,0,0,63496,63996,0,0,0,0,63996,64455,
47,0,1,43,64455,64515,0,0,0,0,64515,65015,0,0,0,0,65015,65122,
48,0,0,44,65122,65184,0,0,0,0,65184,65684,0,0,65684,65750,0,0,
49,0,0,45,65750,65814,0,0,0,0,65814,66314,0,0,66314,66544,0,0,
