STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,07-Mar-2019
Time,11:46
Box Index,1
ExptType,0
SessionRecord,39

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,171148
Pellet Count,220
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
56,61,
SensorTC
S(1),
308,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,
Control,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,
Frequency,8000,8000,2000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,2000,2000,2000,2000,8000,8000,8000,2000,8000,2000,8000,2000,8000,2000,8000,8000,2000,8000,2000,8000,8000,2000,2000,2000,2000,8000,8000,2000,8000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,8000,8000,8000,2000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,8000,2000,2000,2000,8000,2000,8000,8000,
Amplitude,66,66,83,66,83,83,66,66,83,83,66,83,66,66,83,66,83,83,66,83,66,83,83,83,83,66,66,66,83,66,83,66,83,66,83,66,66,83,66,83,66,66,83,83,83,83,66,66,83,66,83,83,66,66,83,83,83,66,66,66,83,66,66,66,83,66,83,66,83,83,83,66,66,66,83,66,83,83,66,83,83,66,83,66,83,83,66,66,66,83,83,66,66,83,83,83,66,83,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,239,0,1,633,1133,239,633,1,0,0,0,0,0,
0,4,1,0,1133,1587,0,0,1963,2463,1587,1963,0,1,0,0,0,0,
0,4,1,0,2463,2702,0,0,3079,3579,2702,3079,0,1,0,0,0,0,
0,4,1,0,3579,4724,0,0,4893,5393,4724,4893,0,1,0,0,0,0,
0,0,1,0,5393,6154,0,0,0,0,6154,6654,0,0,0,0,6654,6687,
1,0,1,1,6687,6775,0,0,0,0,6775,7275,0,0,0,0,7275,7277,
2,0,0,2,7277,7359,0,0,0,0,7359,7859,0,0,7859,7939,0,0,
3,0,1,3,7939,7971,0,0,0,0,7971,8471,0,0,0,0,8471,8683,
4,0,0,4,8683,8746,0,0,0,0,8746,9246,0,0,9246,9422,0,0,
5,0,0,5,9422,9457,0,0,0,0,9457,9957,0,0,9957,10133,0,0,
6,0,1,6,10133,10236,0,0,0,0,10236,10736,0,0,0,0,10736,11805,
7,0,1,7,11805,11873,0,0,0,0,11873,12373,0,0,0,0,12373,12625,
8,0,0,8,12625,12701,0,0,0,0,12701,13201,0,0,13201,13743,0,0,
9,0,0,9,13743,13791,0,0,0,0,13791,14291,0,0,14291,14350,0,0,
10,0,1,10,14350,14396,0,0,0,0,14396,14896,0,0,0,0,14896,15407,
11,0,0,11,15407,15463,0,0,0,0,15463,15963,0,0,15963,16074,0,0,
12,3,1,12,16074,16119,0,0,0,0,16119,16619,0,0,0,0,16619,17147,
13,4,1,12,18147,20949,0,0,21354,21854,20949,21354,0,1,0,0,0,0,
13,0,1,12,21854,22338,0,0,0,0,22338,22838,0,0,0,0,22838,23187,
14,0,1,13,23187,23276,0,0,0,0,23276,23776,0,0,0,0,23776,23828,
15,0,0,14,23828,23899,0,0,0,0,23899,24399,0,0,24399,24569,0,0,
16,0,1,15,24569,24609,0,0,0,0,24609,25109,0,0,0,0,25109,25207,
17,0,0,16,25207,25265,0,0,0,0,25265,25765,0,0,25765,26008,0,0,
18,0,0,17,26008,26059,0,0,0,0,26059,26559,0,0,26559,26666,0,0,
19,0,1,18,26666,26722,0,0,0,0,26722,27222,0,0,0,0,27222,28111,
20,0,0,19,28111,28178,0,0,0,0,28178,28678,0,0,28678,28876,0,0,
21,0,1,20,28876,28922,0,0,0,0,28922,29422,0,0,0,0,29422,30260,
22,0,0,21,30260,30374,0,0,0,0,30374,30874,0,0,30874,31006,0,0,
23,0,0,22,31006,31048,0,0,0,0,31048,31548,0,0,31548,32046,0,0,
24,0,0,23,32046,32096,0,0,0,0,32096,32596,0,0,32596,33375,0,0,
25,0,0,24,33375,33425,0,0,0,0,33425,33925,0,0,33925,34106,0,0,
26,0,1,25,34106,34163,0,0,0,0,34163,34663,0,0,0,0,34663,35626,
27,0,1,26,35626,35723,0,0,0,0,35723,36223,0,0,0,0,36223,36543,
28,0,1,27,36543,36621,0,0,0,0,36621,37121,0,0,0,0,37121,37962,
29,0,0,28,37962,38038,0,0,0,0,38038,38538,0,0,38538,38709,0,0,
30,0,1,29,38709,38744,0,0,0,0,38744,39244,0,0,0,0,39244,39744,
31,0,0,30,39744,39839,0,0,0,0,39839,40339,0,0,40339,40491,0,0,
32,0,1,31,40491,40530,0,0,0,0,40530,41030,0,0,0,0,41030,42422,
33,0,0,32,42422,42504,0,0,0,0,42504,43004,0,0,43004,43332,0,0,
34,3,1,33,43332,43376,0,0,0,0,43376,43876,0,0,0,0,43876,44641,
35,0,1,33,45641,50561,0,0,0,0,50561,51061,0,0,0,0,51061,51185,
36,0,0,34,51185,51246,0,0,0,0,51246,51746,0,0,51746,51853,0,0,
37,0,1,35,51853,51889,0,0,0,0,51889,52389,0,0,0,0,52389,52470,
38,0,1,36,52470,52525,0,0,0,0,52525,53025,0,0,0,0,53025,53985,
39,0,0,37,53985,54055,0,0,0,0,54055,54555,0,0,54555,54656,0,0,
40,0,1,38,54656,54689,0,0,0,0,54689,55189,0,0,0,0,55189,55665,
41,0,0,39,55665,55728,0,0,0,0,55728,56228,0,0,56228,56335,0,0,
42,0,1,40,56335,56368,0,0,0,0,56368,56868,0,0,0,0,56868,57518,
43,0,1,41,57518,57578,0,0,0,0,57578,58078,0,0,0,0,58078,59113,
44,0,0,42,59113,59178,0,0,0,0,59178,59678,0,0,59678,60082,0,0,
45,0,0,43,60082,60124,0,0,0,0,60124,60624,0,0,60624,60980,0,0,
46,0,0,44,60980,61045,0,0,0,0,61045,61545,0,0,61545,62408,0,0,
47,0,0,45,62408,62462,0,0,0,0,62462,62962,0,0,62962,63993,0,0,
48,0,1,46,63993,64040,0,0,0,0,64040,64540,0,0,0,0,64540,65073,
49,0,1,47,65073,65132,0,0,0,0,65132,65632,0,0,0,0,65632,66174,
50,0,0,48,66174,66251,0,0,0,0,66251,66751,0,0,66751,66875,0,0,
51,3,1,49,66875,66913,0,0,0,0,66913,67413,0,0,0,0,67413,68155,
52,0,1,49,69155,74091,0,0,0,0,74091,74591,0,0,0,0,74591,74652,
53,0,0,50,74652,74730,0,0,0,0,74730,75230,0,0,75230,75473,0,0,
