STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,11-Feb-2019
Time,13:1
Box Index,1
ExptType,0
SessionRecord,25

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,173167
Pellet Count,212
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
56,76,
SensorTC
S(1),
497,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,
Control,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,
Frequency,2000,2000,8000,8000,8000,2000,8000,2000,8000,2000,8000,2000,8000,2000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,2000,8000,2000,8000,2000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,2000,8000,8000,8000,8000,2000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,2000,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,2000,2000,2000,8000,8000,8000,2000,2000,2000,8000,8000,8000,8000,2000,2000,
Amplitude,83,83,66,66,66,83,66,83,66,83,66,83,66,83,66,83,66,83,83,66,83,66,66,66,83,83,66,83,66,83,83,83,66,66,83,83,66,66,83,66,83,66,66,66,66,83,83,66,83,83,66,83,66,66,66,83,66,83,83,83,66,83,66,83,66,66,83,83,66,83,66,83,83,66,66,66,66,83,83,83,66,66,66,83,83,83,83,83,66,66,66,83,83,83,66,66,66,66,83,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,0,0,0,117,0,0,240,740,117,240,1,0,0,0,0,0,
0,0,0,0,740,1384,0,1,0,0,1384,1884,0,0,1884,1955,0,0,
1,4,0,1,1955,2007,0,0,2497,2997,2007,2497,0,1,0,0,0,0,
1,4,0,1,2997,3698,0,0,4075,4575,3698,4075,0,1,0,0,0,0,
1,4,0,1,4575,4956,0,0,5292,5792,4956,5292,1,0,0,0,0,0,
1,0,0,1,5792,5894,0,0,0,0,5894,6394,0,0,6394,6479,0,0,
2,0,1,2,6479,6519,0,0,0,0,6519,7019,0,0,0,0,7019,7281,
3,3,1,3,7281,7335,0,0,0,0,7335,7835,0,0,0,0,7835,7876,
4,4,1,3,8876,9756,0,0,10125,10625,9756,10125,0,1,0,0,0,0,
4,4,1,3,10625,11060,0,0,11556,12056,11060,11556,0,1,0,0,0,0,
4,3,1,3,12056,12163,1,0,0,0,12163,12663,0,0,0,0,12663,12815,
5,0,1,3,13815,13911,0,0,0,0,13911,14411,0,0,0,0,14411,14497,
6,0,1,4,14497,14880,0,0,0,0,14880,15380,0,0,0,0,15380,15511,
7,0,0,5,15511,15615,0,0,0,0,15615,16115,0,0,16115,16198,0,0,
8,0,1,6,16198,16240,0,0,0,0,16240,16740,0,0,0,0,16740,17025,
9,0,0,7,17025,17097,0,0,0,0,17097,17597,0,0,17597,17673,0,0,
10,0,1,8,17673,17726,0,0,0,0,17726,18226,0,0,0,0,18226,18643,
11,0,0,9,18643,18717,0,0,0,0,18717,19217,0,0,19217,19285,0,0,
12,0,1,10,19285,19329,0,0,0,0,19329,19829,0,0,0,0,19829,20389,
13,0,0,11,20389,20453,0,0,0,0,20453,20953,0,0,20953,21059,0,0,
14,0,1,12,21059,21103,0,0,0,0,21103,21603,0,0,0,0,21603,21747,
15,4,0,13,21747,21821,0,0,22319,22819,21821,22319,0,1,0,0,0,0,
15,4,0,13,22819,25073,0,0,25524,26024,25073,25524,0,1,0,0,0,0,
15,0,0,13,26024,26597,0,0,0,0,26597,27097,0,0,27097,27175,0,0,
16,0,1,14,27175,27224,0,0,0,0,27224,27724,0,0,0,0,27724,27890,
17,0,0,15,27890,27945,0,0,0,0,27945,28445,0,0,28445,28550,0,0,
18,0,1,16,28550,28592,0,0,0,0,28592,29092,0,0,0,0,29092,29289,
19,0,0,17,29289,29363,0,0,0,0,29363,29863,0,0,29863,29976,0,0,
20,0,0,18,29976,30023,0,0,0,0,30023,30523,0,0,30523,30633,0,0,
21,2,1,19,30633,30692,0,0,0,0,30692,31192,0,0,0,0,31192,33192,
22,0,1,19,33692,36176,0,1,0,0,36176,36676,0,0,0,0,36676,36846,
23,0,0,20,36846,36948,0,0,0,0,36948,37448,0,0,37448,37537,0,0,
24,0,1,21,37537,37578,0,0,0,0,37578,38078,0,0,0,0,38078,38522,
25,0,1,22,38522,38580,0,0,0,0,38580,39080,0,0,0,0,39080,39550,
26,0,1,23,39550,39626,0,0,0,0,39626,40126,0,0,0,0,40126,40503,
27,0,0,24,40503,40604,0,0,0,0,40604,41104,0,0,41104,41194,0,0,
28,0,0,25,41194,41234,0,0,0,0,41234,41734,0,0,41734,41857,0,0,
29,0,1,26,41857,41920,0,0,0,0,41920,42420,0,0,0,0,42420,42789,
30,0,0,27,42789,42855,0,0,0,0,42855,43355,0,0,43355,43451,0,0,
31,0,1,28,43451,43502,0,0,0,0,43502,44002,0,0,0,0,44002,44646,
32,0,0,29,44646,44739,0,0,0,0,44739,45239,0,0,45239,45303,0,0,
33,0,0,30,45303,45353,0,0,0,0,45353,45853,0,0,45853,45972,0,0,
34,0,0,31,45972,46031,0,0,0,0,46031,46531,0,0,46531,46639,0,0,
35,2,1,32,46639,46735,0,0,0,0,46735,47235,0,0,0,0,47235,49235,
36,0,1,32,49735,51737,0,0,0,0,51737,52237,0,0,0,0,52237,52254,
37,3,1,33,52254,52320,0,0,0,0,52320,52820,0,0,0,0,52820,52979,
38,0,1,33,53979,55523,0,1,0,0,55523,56023,0,0,0,0,56023,56288,
39,0,0,34,56288,56372,0,0,0,0,56372,56872,0,0,56872,56964,0,0,
40,0,0,35,56964,57020,0,0,0,0,57020,57520,0,0,57520,57632,0,0,
41,0,1,36,57632,57691,0,0,0,0,57691,58191,0,0,0,0,58191,58488,
42,0,1,37,58488,58582,0,0,0,0,58582,59082,0,0,0,0,59082,59368,
43,0,0,38,59368,59507,0,0,0,0,59507,60007,0,0,60007,60120,0,0,
44,0,1,39,60120,60173,0,0,0,0,60173,60673,0,0,0,0,60673,60745,
45,1,0,40,60745,60801,0,0,0,0,60801,61301,0,0,61301,61307,0,0,
46,4,0,40,62307,65416,0,0,65913,66413,65416,65913,0,1,0,0,0,0,
46,0,0,40,66413,67547,0,2,0,0,67547,68047,0,0,68047,68125,0,0,
47,0,1,41,68125,68171,0,0,0,0,68171,68671,0,0,0,0,68671,68865,
48,0,1,42,68865,68935,0,0,0,0,68935,69435,0,0,0,0,69435,69754,
49,4,1,43,69754,69820,0,0,70308,70808,69820,70308,0,1,0,0,0,0,
