STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,14-Mar-2019
Time,11:51
Box Index,1
ExptType,0
SessionRecord,43

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,265881
Pellet Count,198
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
57,52,
SensorTC
S(1),
261,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,
Control,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,
Frequency,2000,8000,2000,2000,8000,8000,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,8000,2000,8000,8000,2000,2000,2000,2000,8000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,2000,2000,8000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,2000,8000,8000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,
Amplitude,83,66,83,83,66,66,66,66,83,83,83,66,83,66,66,83,83,66,66,83,66,83,83,83,83,66,66,83,66,66,83,83,83,66,66,83,66,66,83,66,66,83,83,83,66,66,66,83,66,83,66,83,66,66,83,83,83,83,66,66,66,83,83,83,66,66,66,83,83,66,83,83,66,66,66,83,83,83,66,66,83,83,83,66,66,83,66,83,66,66,83,66,66,83,66,66,83,83,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,0,0,0,1287,0,0,0,0,1287,1787,0,0,1787,2011,0,0,
1,0,1,1,2011,2079,0,0,0,0,2079,2579,0,0,0,0,2579,2593,
2,4,0,2,2593,2674,0,0,3103,3603,2674,3103,0,1,0,0,0,0,
2,0,0,2,3603,4787,0,0,0,0,4787,5287,0,0,5287,5359,0,0,
3,0,0,3,5359,5404,0,0,0,0,5404,5904,0,0,5904,6008,0,0,
4,0,1,4,6008,6054,0,0,0,0,6054,6554,0,0,0,0,6554,6850,
5,4,1,5,6850,6908,0,0,7130,7630,6908,7130,1,0,0,0,0,0,
5,0,1,5,7630,9441,0,0,0,0,9441,9941,0,0,0,0,9941,10015,
6,3,1,6,10015,10112,0,0,0,0,10112,10612,0,0,0,0,10612,10638,
7,0,1,6,11638,11747,0,0,0,0,11747,12247,0,0,0,0,12247,12561,
8,3,1,7,12561,12640,0,0,0,0,12640,13140,0,0,0,0,13140,13596,
9,0,1,7,14596,14895,0,0,0,0,14895,15395,0,0,0,0,15395,15569,
10,0,0,8,15569,15644,0,0,0,0,15644,16144,0,0,16144,16255,0,0,
11,0,0,9,16255,16293,0,0,0,0,16293,16793,0,0,16793,17015,0,0,
12,0,0,10,17015,17058,0,0,0,0,17058,17558,0,0,17558,17942,0,0,
13,0,1,11,17942,17983,0,0,0,0,17983,18483,0,0,0,0,18483,18772,
14,0,0,12,18772,18829,0,0,0,0,18829,19329,0,0,19329,19436,0,0,
15,0,1,13,19436,19487,0,0,0,0,19487,19987,0,0,0,0,19987,21088,
16,0,1,14,21088,21165,0,0,0,0,21165,21665,0,0,0,0,21665,21937,
17,4,0,15,21937,22015,0,0,22207,22707,22015,22207,1,0,0,0,0,0,
17,0,0,15,22707,22936,0,0,0,0,22936,23436,0,0,23436,23526,0,0,
18,0,0,16,23526,23563,0,0,0,0,23563,24063,0,0,24063,24275,0,0,
19,3,1,17,24275,24332,0,0,0,0,24332,24832,0,0,0,0,24832,25313,
20,4,1,17,26313,28613,0,0,29096,29596,28613,29096,0,1,0,0,0,0,
20,4,1,17,29596,30456,0,0,30943,31443,30456,30943,0,1,0,0,0,0,
20,0,1,17,31443,32841,0,0,0,0,32841,33341,0,0,0,0,33341,33671,
21,0,1,18,33671,33745,0,0,0,0,33745,34245,0,0,0,0,34245,34407,
22,0,0,19,34407,34476,0,0,0,0,34476,34976,0,0,34976,35142,0,0,
23,0,1,20,35142,35184,0,0,0,0,35184,35684,0,0,0,0,35684,36015,
24,0,0,21,36015,36075,0,0,0,0,36075,36575,0,0,36575,36675,0,0,
25,0,0,22,36675,36709,0,0,0,0,36709,37209,0,0,37209,37372,0,0,
26,0,0,23,37372,37421,0,0,0,0,37421,37921,0,0,37921,38498,0,0,
27,0,0,24,38498,38558,0,0,0,0,38558,39058,0,0,39058,39774,0,0,
28,0,1,25,39774,39851,0,0,0,0,39851,40351,0,0,0,0,40351,41033,
29,0,1,26,41033,41097,0,0,0,0,41097,41597,0,0,0,0,41597,42389,
30,0,0,27,42389,42473,0,0,0,0,42473,42973,0,0,42973,43074,0,0,
31,0,1,28,43074,43132,0,0,0,0,43132,43632,0,0,0,0,43632,44206,
32,0,1,29,44206,44322,0,0,0,0,44322,44822,0,0,0,0,44822,45106,
33,0,0,30,45106,45180,0,0,0,0,45180,45680,0,0,45680,45818,0,0,
34,0,0,31,45818,45864,0,0,0,0,45864,46364,0,0,46364,46792,0,0,
35,0,0,32,46792,46854,0,0,0,0,46854,47354,0,0,47354,47700,0,0,
36,3,1,33,47700,47748,0,0,0,0,47748,48248,0,0,0,0,48248,49312,
37,4,1,33,50312,57583,0,0,58006,58506,57583,58006,0,1,0,0,0,0,
37,4,1,33,58506,59059,0,0,59401,59901,59059,59401,0,1,0,0,0,0,
37,0,1,33,59901,60714,0,0,0,0,60714,61214,0,0,0,0,61214,61506,
38,0,1,34,61506,61602,0,0,0,0,61602,62102,0,0,0,0,62102,62302,
39,0,0,35,62302,62374,0,0,0,0,62374,62874,0,0,62874,62973,0,0,
40,0,1,36,62973,63007,0,0,0,0,63007,63507,0,0,0,0,63507,63993,
41,0,1,37,63993,64073,0,0,0,0,64073,64573,0,0,0,0,64573,65194,
42,0,0,38,65194,65258,0,0,0,0,65258,65758,0,0,65758,65842,0,0,
43,3,1,39,65842,65885,0,0,0,0,65885,66385,0,0,0,0,66385,67174,
44,0,1,39,68174,69908,0,0,0,0,69908,70408,0,0,0,0,70408,70999,
45,0,1,40,70999,71052,0,0,0,0,71052,71552,0,0,0,0,71552,71793,
46,0,0,41,71793,71857,0,0,0,0,71857,72357,0,0,72357,72361,0,0,
47,0,0,42,72361,72408,0,0,0,0,72408,72908,0,0,72908,73373,0,0,
48,0,0,43,73373,73424,0,0,0,0,73424,73924,0,0,73924,74448,0,0,
49,0,1,44,74448,74497,0,0,0,0,74497,74997,0,0,0,0,74997,76208,
50,0,1,45,76208,76315,0,0,0,0,76315,76815,0,0,0,0,76815,77150,
51,3,1,46,77150,77245,0,0,0,0,77245,77745,0,0,0,0,77745,77901,
