STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,28-Feb-2019
Time,11:37
Box Index,1
ExptType,0
SessionRecord,35

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,131067
Pellet Count,234
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
61,55,
SensorTC
S(1),
297,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,
Control,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,
Frequency,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,2000,8000,8000,8000,2000,8000,8000,2000,2000,2000,2000,2000,2000,8000,2000,8000,8000,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,8000,8000,2000,2000,2000,8000,8000,2000,2000,8000,8000,8000,2000,8000,2000,8000,8000,2000,2000,2000,2000,8000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,2000,2000,8000,8000,8000,2000,2000,8000,2000,8000,2000,2000,2000,2000,2000,8000,8000,8000,8000,8000,
Amplitude,66,66,83,83,66,66,83,83,66,83,83,66,66,66,83,66,66,83,83,83,83,83,83,66,83,66,66,66,83,66,66,83,83,66,66,83,83,66,66,83,83,83,66,66,83,83,66,66,66,83,66,83,66,66,83,83,83,83,66,66,66,66,83,66,83,83,66,83,83,66,66,66,66,83,66,83,83,66,83,83,83,83,66,66,66,83,83,66,83,66,83,83,83,83,83,66,66,66,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,1,0,0,297,1,1,0,0,297,797,0,0,0,0,797,937,
1,0,1,1,937,1026,0,0,0,0,1026,1526,0,0,0,0,1526,1532,
2,0,0,2,1532,1616,0,0,0,0,1616,2116,0,0,2116,2192,0,0,
3,0,0,3,2192,2228,0,0,0,0,2228,2728,0,0,2728,2914,0,0,
4,0,1,4,2914,2954,0,0,0,0,2954,3454,0,0,0,0,3454,4020,
5,0,1,5,4020,4113,0,0,0,0,4113,4613,0,0,0,0,4613,4793,
6,0,0,6,4793,4860,0,0,0,0,4860,5360,0,0,5360,5547,0,0,
7,0,0,7,5547,5602,0,0,0,0,5602,6102,0,0,6102,6212,0,0,
8,0,1,8,6212,6273,0,0,0,0,6273,6773,0,0,0,0,6773,7408,
9,0,0,9,7408,7466,0,0,0,0,7466,7966,0,0,7966,8053,0,0,
10,0,0,10,8053,8090,0,0,0,0,8090,8590,0,0,8590,8752,0,0,
11,0,1,11,8752,8799,0,0,0,0,8799,9299,0,0,0,0,9299,10477,
12,2,1,12,10477,10523,0,0,0,0,10523,11023,0,0,0,0,11023,13023,
13,4,1,12,13523,13843,0,0,14282,14782,13843,14282,0,1,0,0,0,0,
13,0,1,12,14782,14974,0,0,0,0,14974,15474,0,0,0,0,15474,15660,
14,0,1,13,15660,15769,0,0,0,0,15769,16269,0,0,0,0,16269,16371,
15,0,0,14,16371,16436,0,0,0,0,16436,16936,0,0,16936,17032,0,0,
16,0,1,15,17032,17074,0,0,0,0,17074,17574,0,0,0,0,17574,17825,
17,0,1,16,17825,17895,0,0,0,0,17895,18395,0,0,0,0,18395,18578,
18,0,0,17,18578,18637,0,0,0,0,18637,19137,0,0,19137,19285,0,0,
19,0,0,18,19285,19329,0,0,0,0,19329,19829,0,0,19829,20053,0,0,
20,0,0,19,20053,20109,0,0,0,0,20109,20609,0,0,20609,20745,0,0,
21,0,0,20,20745,20798,0,0,0,0,20798,21298,0,0,21298,21882,0,0,
22,0,0,21,21882,21954,0,0,0,0,21954,22454,0,0,22454,23660,0,0,
23,0,0,22,23660,23715,0,0,0,0,23715,24215,0,0,24215,24619,0,0,
24,0,1,23,24619,24676,0,0,0,0,24676,25176,0,0,0,0,25176,26595,
25,0,0,24,26595,26687,0,0,0,0,26687,27187,0,0,27187,27229,0,0,
26,0,1,25,27229,27284,0,0,0,0,27284,27784,0,0,0,0,27784,28348,
27,3,1,26,28348,28387,0,0,0,0,28387,28887,0,0,0,0,28887,28937,
28,4,1,26,29937,32827,0,0,33163,33663,32827,33163,0,1,0,0,0,0,
28,0,1,26,33663,33991,1,0,0,0,33991,34491,0,0,0,0,34491,35363,
29,0,1,27,35363,35427,0,0,0,0,35427,35927,0,0,0,0,35927,36035,
30,0,0,28,36035,36090,0,0,0,0,36090,36590,0,0,36590,36668,0,0,
31,0,1,29,36668,36713,0,0,0,0,36713,37213,0,0,0,0,37213,37573,
32,0,1,30,37573,37636,0,0,0,0,37636,38136,0,0,0,0,38136,38472,
33,0,0,31,38472,38535,0,0,0,0,38535,39035,0,0,39035,39110,0,0,
34,0,0,32,39110,39151,0,0,0,0,39151,39651,0,0,39651,39996,0,0,
35,0,1,33,39996,40048,0,0,0,0,40048,40548,0,0,0,0,40548,41128,
36,0,1,34,41128,41180,0,0,0,0,41180,41680,0,0,0,0,41680,41847,
37,0,0,35,41847,41906,0,0,0,0,41906,42406,0,0,42406,42498,0,0,
38,0,0,36,42498,42550,0,0,0,0,42550,43050,0,0,43050,43686,0,0,
39,0,1,37,43686,43742,0,0,0,0,43742,44242,0,0,0,0,44242,44936,
40,3,1,38,44936,44995,0,0,0,0,44995,45495,0,0,0,0,45495,45753,
41,4,1,38,46753,48395,0,0,48684,49184,48395,48684,0,1,0,0,0,0,
41,0,1,38,49184,51442,0,0,0,0,51442,51942,0,0,0,0,51942,52183,
42,0,0,39,52183,52258,0,0,0,0,52258,52758,0,0,52758,52867,0,0,
43,0,0,40,52867,52897,0,0,0,0,52897,53397,0,0,53397,53703,0,0,
44,0,0,41,53703,53755,0,0,0,0,53755,54255,0,0,54255,54873,0,0,
45,3,1,42,54873,54930,0,0,0,0,54930,55430,0,0,0,0,55430,56480,
46,0,1,42,57480,59544,1,1,0,0,59544,60044,0,0,0,0,60044,60259,
47,0,1,43,60259,60307,0,0,0,0,60307,60807,0,0,0,0,60807,61163,
48,0,0,44,61163,61223,0,0,0,0,61223,61723,0,0,61723,61846,0,0,
49,0,0,45,61846,61885,0,0,0,0,61885,62385,0,0,62385,62894,0,0,
50,3,1,46,62894,62947,0,0,0,0,62947,63447,0,0,0,0,63447,64129,
51,0,1,46,65129,65237,0,1,0,0,65237,65737,0,0,0,0,65737,66182,
52,0,1,47,66182,66236,0,0,0,0,66236,66736,0,0,0,0,66736,66936,
53,0,1,48,66936,67008,0,0,0,0,67008,67508,0,0,0,0,67508,67786,
54,0,0,49,67786,67862,0,0,0,0,67862,68362,0,0,68362,68441,0,0,
55,0,1,50,68441,68483,0,0,0,0,68483,68983,0,0,0,0,68983,69529,
