STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,05-Dec-2018
Time,10:31
Box Index,1
ExptType,0
SessionRecord,36

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,231629
Pellet Count,77
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
0,220,
SensorTC
S(1),
683,
AutoControl,Index,2,
AC Comment,,8kHz Training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19,
Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Control,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Frequency,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,
Amplitude,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,0,0,0,913,0,0,0,0,913,1213,0,0,0,0,1213,2456,
1,2,0,1,2456,3590,0,2,0,0,3590,3890,0,0,0,0,3890,5890,
2,4,0,1,6390,8171,0,1,8250,8750,8171,8250,0,1,0,0,0,0,
2,2,0,1,8750,10897,0,1,0,0,10897,11197,0,0,0,0,11197,13197,
3,2,0,1,13697,13878,0,0,0,0,13878,14178,0,0,0,0,14178,16178,
4,0,0,1,16678,18174,0,0,0,0,18174,18474,0,0,0,0,18474,18534,
5,0,0,2,18534,18707,0,0,0,0,18707,19007,0,0,0,0,19007,19329,
6,0,0,3,19329,19736,0,0,0,0,19736,20036,0,0,0,0,20036,20747,
7,2,0,4,20747,21066,0,0,0,0,21066,21366,0,0,0,0,21366,23366,
8,2,0,4,23866,24163,0,0,0,0,24163,24463,0,0,0,0,24463,26463,
9,0,0,4,26963,28563,0,1,0,0,28563,28863,0,0,0,0,28863,29406,
10,2,0,5,29406,30243,0,0,0,0,30243,30543,0,0,0,0,30543,32543,
11,2,0,5,33043,33333,0,0,0,0,33333,33633,0,0,0,0,33633,35633,
12,2,0,5,36133,36948,0,0,0,0,36948,37248,0,0,0,0,37248,39248,
13,4,0,5,39748,41784,0,2,42060,42560,41784,42060,0,1,0,0,0,0,
13,4,0,5,42560,43012,0,0,43236,43736,43012,43236,0,1,0,0,0,0,
13,2,0,5,43736,45001,0,1,0,0,45001,45301,0,0,0,0,45301,47301,
14,2,0,5,47801,48457,0,0,0,0,48457,48757,0,0,0,0,48757,50757,
15,2,0,5,51257,54859,0,2,0,0,54859,55159,0,0,0,0,55159,57159,
16,0,0,5,57659,58015,0,0,0,0,58015,58315,0,0,0,0,58315,59526,
17,0,0,6,59526,60049,0,0,0,0,60049,60349,0,0,0,0,60349,61012,
18,2,0,7,61012,61285,0,0,0,0,61285,61585,0,0,0,0,61585,63585,
19,2,0,7,64085,66463,0,0,0,0,66463,66763,0,0,0,0,66763,68763,
20,0,0,7,69263,70624,0,0,0,0,70624,70924,0,0,0,0,70924,71638,
21,0,0,8,71638,72233,0,0,0,0,72233,72533,0,0,0,0,72533,73329,
22,0,0,9,73329,73730,0,1,0,0,73730,74030,0,0,0,0,74030,74421,
23,0,0,10,74421,74640,0,0,0,0,74640,74940,0,0,0,0,74940,75781,
24,0,0,11,75781,76344,0,0,0,0,76344,76644,0,0,0,0,76644,77492,
25,0,0,12,77492,77830,0,1,0,0,77830,78130,0,0,0,0,78130,78501,
26,0,0,13,78501,78725,0,0,0,0,78725,79025,0,0,0,0,79025,79732,
27,0,0,14,79732,80163,0,0,0,0,80163,80463,0,0,0,0,80463,80661,
28,0,0,15,80661,80911,0,0,0,0,80911,81211,0,0,0,0,81211,81845,
29,0,0,16,81845,82000,0,0,0,0,82000,82300,0,0,0,0,82300,83818,
30,0,0,17,83818,84050,0,0,0,0,84050,84350,0,0,0,0,84350,84553,
31,0,0,18,84553,85123,0,0,0,0,85123,85423,0,0,0,0,85423,85660,
32,0,0,19,85660,85967,0,0,0,0,85967,86267,0,0,0,0,86267,86596,
33,4,0,20,86596,86774,0,0,87040,87540,86774,87040,0,1,0,0,0,0,
33,4,0,20,87540,87786,0,0,88054,88554,87786,88054,0,1,0,0,0,0,
33,4,0,20,88554,89123,0,0,89282,89782,89123,89282,0,1,0,0,0,0,
33,4,0,20,89782,90070,0,0,90230,90730,90070,90230,0,1,0,0,0,0,
33,4,0,20,90730,92087,0,1,92371,92871,92087,92371,0,1,0,0,0,0,
33,2,0,20,92871,93204,0,1,0,0,93204,93504,0,0,0,0,93504,95504,
34,0,0,20,96004,96567,0,0,0,0,96567,96867,0,0,0,0,96867,97156,
35,2,0,21,97156,97340,0,0,0,0,97340,97640,0,0,0,0,97640,99640,
36,2,0,21,100140,100389,0,0,0,0,100389,100689,0,0,0,0,100689,102689,
37,0,0,21,103189,103947,0,0,0,0,103947,104247,0,0,0,0,104247,104256,
38,0,0,22,104256,104457,0,0,0,0,104457,104757,0,0,0,0,104757,104788,
39,4,0,23,104788,104939,0,0,105233,105733,104939,105233,0,1,0,0,0,0,
39,4,0,23,105733,105794,0,0,105937,106437,105794,105937,0,1,0,0,0,0,
39,4,0,23,106437,106558,0,0,106800,107300,106558,106800,0,1,0,0,0,0,
39,4,0,23,107300,107550,0,0,107730,108230,107550,107730,0,1,0,0,0,0,
39,0,0,23,108230,108509,0,1,0,0,108509,108809,0,0,0,0,108809,109354,
40,0,0,24,109354,109553,0,0,0,0,109553,109853,0,0,0,0,109853,109960,
41,4,0,25,109960,110186,0,0,110446,110946,110186,110446,0,1,0,0,0,0,
41,0,0,25,110946,111236,0,0,0,0,111236,111536,0,0,0,0,111536,111573,
42,0,0,26,111573,111843,0,0,0,0,111843,112143,0,0,0,0,112143,112472,
43,0,0,27,112472,112641,0,0,0,0,112641,112941,0,0,0,0,112941,113907,
44,4,0,28,113907,114107,0,0,114356,114856,114107,114356,0,1,0,0,0,0,
44,4,0,28,114856,115043,0,0,115205,115705,115043,115205,0,1,0,0,0,0,
