STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,06-Dec-2018
Time,11:30
Box Index,1
ExptType,0
SessionRecord,37

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,HO2_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,323023
Pellet Count,84
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
309,0,
SensorTC
S(1),
687,
AutoControl,Index,1,
AC Comment,,2 kHz Training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19,
Group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Frequency,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
Amplitude,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
ITI,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,0,0,0,1134,0,0,0,0,1134,1434,0,0,1434,1730,0,0,
1,0,0,1,1730,3066,1,0,0,0,3066,3366,0,0,3366,4227,0,0,
2,0,0,2,4227,4918,1,0,0,0,4918,5218,0,0,5218,6174,0,0,
3,0,0,3,6174,6414,1,0,0,0,6414,6714,0,0,6714,7107,0,0,
4,0,0,4,7107,7462,1,0,0,0,7462,7762,0,0,7762,8308,0,0,
5,0,0,5,8308,8544,0,0,0,0,8544,8844,0,0,8844,9240,0,0,
6,0,0,6,9240,9799,0,0,0,0,9799,10099,0,0,10099,10195,0,0,
7,4,0,7,10195,10400,1,0,10646,11146,10400,10646,1,0,0,0,0,0,
7,2,0,7,11146,11281,0,0,0,0,11281,11581,0,0,11581,13581,0,0,
8,0,0,7,14081,14940,1,0,0,0,14940,15240,0,0,15240,15285,0,0,
9,4,0,8,15285,15476,1,0,15749,16249,15476,15749,1,0,0,0,0,0,
9,2,0,8,16249,16462,0,0,0,0,16462,16762,0,0,16762,18762,0,0,
10,0,0,8,19262,20711,1,0,0,0,20711,21011,0,0,21011,21129,0,0,
11,2,0,9,21129,21390,0,0,0,0,21390,21690,0,0,21690,23690,0,0,
12,0,0,9,24190,24669,0,0,0,0,24669,24969,0,0,24969,24975,0,0,
13,0,0,10,24975,25237,0,0,0,0,25237,25537,0,0,25537,26060,0,0,
14,2,0,11,26060,26358,1,0,0,0,26358,26658,0,0,26658,28658,0,0,
15,0,0,11,29158,32883,0,0,0,0,32883,33183,0,0,33183,33235,0,0,
16,0,0,12,33235,33428,0,0,0,0,33428,33728,0,0,33728,34529,0,0,
17,0,0,13,34529,34806,1,0,0,0,34806,35106,0,0,35106,35289,0,0,
18,0,0,14,35289,35523,0,0,0,0,35523,35823,0,0,35823,35997,0,0,
19,0,0,15,35997,36203,1,0,0,0,36203,36503,0,0,36503,36648,0,0,
20,0,0,16,36648,36847,0,0,0,0,36847,37147,0,0,37147,37374,0,0,
21,0,0,17,37374,37622,1,0,0,0,37622,37922,0,0,37922,37947,0,0,
22,0,0,18,37947,38135,0,0,0,0,38135,38435,0,0,38435,38819,0,0,
23,0,0,19,38819,39064,0,0,0,0,39064,39364,0,0,39364,39433,0,0,
24,4,0,20,39433,39734,1,0,40032,40532,39734,40032,1,0,0,0,0,0,
24,0,0,20,40532,40946,1,0,0,0,40946,41246,0,0,41246,41309,0,0,
25,4,0,21,41309,41798,2,0,42079,42579,41798,42079,1,0,0,0,0,0,
25,4,0,21,42579,43891,2,0,44182,44682,43891,44182,1,0,0,0,0,0,
25,2,0,21,44682,47973,9,0,0,0,47973,48273,0,0,48273,50273,0,0,
26,2,0,21,50773,51413,0,0,0,0,51413,51713,0,0,51713,53713,0,0,
27,4,0,21,54213,54357,0,0,54550,55050,54357,54550,1,0,0,0,0,0,
27,0,0,21,55050,55223,0,0,0,0,55223,55523,0,0,55523,56150,0,0,
28,0,0,22,56150,56495,0,0,0,0,56495,56795,0,0,56795,56909,0,0,
29,2,0,23,56909,57105,0,0,0,0,57105,57405,0,0,57405,59405,0,0,
30,0,0,23,59905,60521,0,0,0,0,60521,60821,0,0,60821,61179,0,0,
31,0,0,24,61179,61457,0,0,0,0,61457,61757,0,0,61757,62208,0,0,
32,0,0,25,62208,62383,0,0,0,0,62383,62683,0,0,62683,63090,0,0,
33,0,0,26,63090,63286,0,0,0,0,63286,63586,0,0,63586,64042,0,0,
34,0,0,27,64042,64213,0,0,0,0,64213,64513,0,0,64513,64755,0,0,
35,0,0,28,64755,64913,0,0,0,0,64913,65213,0,0,65213,65243,0,0,
36,0,0,29,65243,65547,0,0,0,0,65547,65847,0,0,65847,66540,0,0,
37,4,0,30,66540,66703,0,0,66996,67496,66703,66996,1,0,0,0,0,0,
37,4,0,30,67496,67855,1,0,67989,68489,67855,67989,1,0,0,0,0,0,
37,2,0,30,68489,69024,0,0,0,0,69024,69324,0,0,69324,71324,0,0,
38,4,0,30,71824,73778,0,0,73928,74428,73778,73928,1,0,0,0,0,0,
38,4,0,30,74428,76399,3,0,76597,77097,76399,76597,1,0,0,0,0,0,
38,4,0,30,77097,78121,2,0,78218,78718,78121,78218,1,0,0,0,0,0,
38,4,0,30,78718,86542,9,0,86805,87305,86542,86805,1,0,0,0,0,0,
38,4,0,30,87305,89243,1,0,89479,89979,89243,89479,1,0,0,0,0,0,
38,2,0,30,89979,91147,2,0,0,0,91147,91447,0,0,91447,93447,0,0,
39,0,0,30,93947,95013,0,0,0,0,95013,95313,0,0,95313,96234,0,0,
40,0,0,31,96234,96381,0,0,0,0,96381,96681,0,0,96681,96691,0,0,
41,4,0,32,96691,96879,0,0,97156,97656,96879,97156,1,0,0,0,0,0,
41,0,0,32,97656,97828,1,0,0,0,97828,98128,0,0,98128,98480,0,0,
