STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,04-Jul-2019
Time,9:27
Box Index,1
ExptType,0
SessionRecord,78

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB9_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,193997
Pellet Count,217
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
53,57,
SensorTC
S(1),
319,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,
Control,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,
Frequency,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,2000,2000,2000,8000,8000,2000,8000,2000,8000,8000,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,8000,8000,8000,2000,2000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,8000,2000,8000,2000,2000,2000,2000,2000,8000,8000,8000,2000,8000,2000,8000,2000,2000,2000,8000,8000,2000,2000,8000,8000,8000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,2000,2000,2000,8000,2000,2000,8000,
Amplitude,66,66,83,83,66,66,83,83,66,83,83,83,83,66,66,83,66,83,66,66,66,83,66,83,66,66,66,83,83,83,83,66,66,66,66,83,83,83,83,66,66,83,66,66,83,83,83,66,66,83,83,83,66,66,66,66,83,66,83,83,83,83,83,66,66,66,83,66,83,66,83,83,83,66,66,83,83,66,66,66,66,66,66,83,66,83,83,66,83,83,66,66,66,83,83,83,66,83,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,1673,0,1,1873,2873,1673,1873,0,1,0,0,0,0,
0,4,1,0,2873,3030,1,0,3428,4428,3030,3428,1,0,0,0,0,0,
0,0,1,0,4428,4550,0,0,0,0,4550,5000,0,0,0,0,5000,5169,
1,4,1,1,5169,5278,0,0,5704,6704,5278,5704,0,1,0,0,0,0,
1,0,1,1,6704,6981,0,0,0,0,6981,7431,0,0,0,0,7431,7476,
2,0,0,2,7476,7582,0,0,0,0,7582,8032,0,0,8032,8152,0,0,
3,0,0,3,8152,8207,0,0,0,0,8207,8657,0,0,8657,9208,0,0,
4,0,1,4,9208,9275,0,0,0,0,9275,9725,0,0,0,0,9725,10373,
5,2,1,5,10373,10516,0,0,0,0,10516,10966,0,0,0,0,10966,12966,
6,4,1,5,13466,16376,0,0,16768,17768,16376,16768,0,1,0,0,0,0,
6,0,1,5,17768,18790,0,0,0,0,18790,19240,0,0,0,0,19240,19476,
7,0,0,6,19476,19580,0,0,0,0,19580,20030,0,0,20030,20136,0,0,
8,0,0,7,20136,20189,0,0,0,0,20189,20639,0,0,20639,21201,0,0,
9,0,1,8,21201,21290,0,0,0,0,21290,21740,0,0,0,0,21740,22477,
10,0,0,9,22477,22607,0,0,0,0,22607,23057,0,0,23057,23198,0,0,
11,0,0,10,23198,23245,0,0,0,0,23245,23695,0,0,23695,24540,0,0,
12,0,0,11,24540,24603,0,0,0,0,24603,25053,0,0,25053,25833,0,0,
13,0,0,12,25833,25897,0,0,0,0,25897,26347,0,0,26347,27152,0,0,
14,0,1,13,27152,27246,0,0,0,0,27246,27696,0,0,0,0,27696,28648,
15,0,1,14,28648,28775,0,0,0,0,28775,29225,0,0,0,0,29225,29683,
16,0,0,15,29683,29792,0,0,0,0,29792,30242,0,0,30242,30336,0,0,
17,3,1,16,30336,30382,0,0,0,0,30382,30832,0,0,0,0,30832,31356,
18,0,1,16,32356,37218,0,0,0,0,37218,37668,0,0,0,0,37668,37918,
19,0,0,17,37918,38038,0,0,0,0,38038,38488,0,0,38488,38598,0,0,
20,0,1,18,38598,38652,0,0,0,0,38652,39102,0,0,0,0,39102,39662,
21,0,1,19,39662,39775,0,0,0,0,39775,40225,0,0,0,0,40225,40723,
22,0,1,20,40723,40857,0,0,0,0,40857,41307,0,0,0,0,41307,42089,
23,0,0,21,42089,42257,0,0,0,0,42257,42707,0,0,42707,42823,0,0,
24,0,1,22,42823,42880,0,0,0,0,42880,43330,0,0,0,0,43330,44021,
25,0,0,23,44021,44151,0,0,0,0,44151,44601,0,0,44601,44710,0,0,
26,0,1,24,44710,44770,0,0,0,0,44770,45220,0,0,0,0,45220,46909,
27,0,1,25,46909,47026,0,0,0,0,47026,47476,0,0,0,0,47476,48179,
28,0,1,26,48179,48273,0,0,0,0,48273,48723,0,0,0,0,48723,49484,
29,0,0,27,49484,49569,0,0,0,0,49569,50019,0,0,50019,50123,0,0,
30,0,0,28,50123,50180,0,0,0,0,50180,50630,0,0,50630,51246,0,0,
31,0,0,29,51246,51303,0,0,0,0,51303,51753,0,0,51753,52676,0,0,
32,0,0,30,52676,52762,0,0,0,0,52762,53212,0,0,53212,53890,0,0,
33,3,1,31,53890,53971,0,0,0,0,53971,54421,0,0,0,0,54421,55283,
34,0,1,31,56283,66958,0,1,0,0,66958,67408,0,0,0,0,67408,67652,
35,0,1,32,67652,67759,0,0,0,0,67759,68209,0,0,0,0,68209,68513,
36,0,1,33,68513,68640,0,0,0,0,68640,69090,0,0,0,0,69090,69337,
37,0,1,34,69337,69427,0,0,0,0,69427,69877,0,0,0,0,69877,70278,
38,0,0,35,70278,70398,0,0,0,0,70398,70848,0,0,70848,70943,0,0,
39,0,0,36,70943,70994,0,0,0,0,70994,71444,0,0,71444,72019,0,0,
40,0,0,37,72019,72084,0,0,0,0,72084,72534,0,0,72534,73351,0,0,
41,0,0,38,73351,73441,0,0,0,0,73441,73891,0,0,73891,74781,0,0,
42,0,1,39,74781,74863,0,0,0,0,74863,75313,0,0,0,0,75313,76275,
43,0,1,40,76275,76415,0,0,0,0,76415,76865,0,0,0,0,76865,77543,
44,0,0,41,77543,77680,0,0,0,0,77680,78130,0,0,78130,78246,0,0,
45,0,1,42,78246,78305,0,0,0,0,78305,78755,0,0,0,0,78755,79559,
46,4,1,43,79559,79692,0,0,79970,80970,79692,79970,1,0,0,0,0,0,
46,0,1,43,80970,86654,0,0,0,0,86654,87104,0,0,0,0,87104,87410,
47,0,0,44,87410,87529,0,0,0,0,87529,87979,0,0,87979,88095,0,0,
48,0,0,45,88095,88146,0,0,0,0,88146,88596,0,0,88596,89048,0,0,
49,0,0,46,89048,89129,0,0,0,0,89129,89579,0,0,89579,90457,0,0,
50,0,1,47,90457,90531,0,0,0,0,90531,90981,0,0,0,0,90981,92016,
51,0,1,48,92016,92130,0,0,0,0,92130,92580,0,0,0,0,92580,93143,
52,0,0,49,93143,93301,0,0,0,0,93301,93751,0,0,93751,93861,0,0,
53,0,0,50,93861,93915,0,0,0,0,93915,94365,0,0,94365,95000,0,0,
