STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,06-Jun-2019
Time,9:6
Box Index,1
ExptType,0
SessionRecord,60

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB9_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,242517
Pellet Count,200
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
70,60,
SensorTC
S(1),
330,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,
Control,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,
Frequency,8000,8000,8000,2000,8000,2000,2000,2000,2000,8000,8000,2000,2000,2000,8000,2000,8000,8000,8000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,2000,2000,8000,2000,8000,2000,8000,8000,2000,8000,2000,2000,2000,8000,8000,8000,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,2000,8000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,8000,2000,2000,8000,2000,
Amplitude,66,66,66,83,66,83,83,83,83,66,66,83,83,83,66,83,66,66,66,83,83,66,66,83,83,66,66,83,66,83,83,66,83,66,66,66,83,66,83,83,83,83,66,83,66,83,66,66,83,66,83,83,83,66,66,66,66,83,66,83,66,83,83,66,66,83,83,83,66,66,83,66,83,83,66,83,83,66,66,66,83,66,66,66,83,66,83,83,66,83,66,66,83,66,83,66,83,83,66,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,3,1,0,0,1403,0,1,0,0,1403,1853,0,0,0,0,1853,3192,
1,0,1,0,4192,5761,0,0,0,0,5761,6211,0,0,0,0,6211,6297,
2,0,1,1,6297,6411,0,0,0,0,6411,6861,0,0,0,0,6861,6935,
3,0,1,2,6935,7056,0,0,0,0,7056,7506,0,0,0,0,7506,7558,
4,0,0,3,7558,7670,0,0,0,0,7670,8120,0,0,8120,8276,0,0,
5,0,1,4,8276,8397,0,0,0,0,8397,8847,0,0,0,0,8847,9462,
6,0,0,5,9462,9660,0,0,0,0,9660,10110,0,0,10110,10232,0,0,
7,0,0,6,10232,10297,0,0,0,0,10297,10747,0,0,10747,11574,0,0,
8,1,0,7,11574,11651,0,0,0,0,11651,12101,0,0,12101,12804,0,0,
9,4,0,7,13804,20384,1,0,20795,21795,20384,20795,1,0,0,0,0,0,
9,4,0,7,21795,22539,0,0,22923,23923,22539,22923,0,1,0,0,0,0,
9,4,0,7,23923,24234,1,0,24579,25579,24234,24579,0,1,0,0,0,0,
9,0,0,7,25579,26575,0,0,0,0,26575,27025,0,0,27025,27344,0,0,
10,0,0,8,27344,27450,0,0,0,0,27450,27900,0,0,27900,28607,0,0,
11,0,1,9,28607,28675,0,0,0,0,28675,29125,0,0,0,0,29125,30113,
12,0,1,10,30113,30212,0,0,0,0,30212,30662,0,0,0,0,30662,30941,
13,4,0,11,30941,31069,0,0,31516,32516,31069,31516,1,0,0,0,0,0,
13,0,0,11,32516,36568,0,0,0,0,36568,37018,0,0,37018,37179,0,0,
14,0,0,12,37179,37237,0,0,0,0,37237,37687,0,0,37687,38363,0,0,
15,0,0,13,38363,38435,0,0,0,0,38435,38885,0,0,38885,39805,0,0,
16,0,1,14,39805,39891,0,0,0,0,39891,40341,0,0,0,0,40341,41644,
17,0,0,15,41644,41758,0,0,0,0,41758,42208,0,0,42208,42350,0,0,
18,0,1,16,42350,42431,0,0,0,0,42431,42881,0,0,0,0,42881,43514,
19,3,1,17,43514,43648,0,0,0,0,43648,44098,0,0,0,0,44098,44485,
20,4,1,17,45485,46209,0,0,46413,47413,46209,46413,0,1,0,0,0,0,
20,0,1,17,47413,49011,1,0,0,0,49011,49461,0,0,0,0,49461,49476,
21,4,1,18,49476,49598,0,0,49957,50957,49598,49957,0,1,0,0,0,0,
21,0,1,18,50957,51969,0,0,0,0,51969,52419,0,0,0,0,52419,52630,
22,0,0,19,52630,52735,0,0,0,0,52735,53185,0,0,53185,53368,0,0,
23,0,0,20,53368,53439,0,0,0,0,53439,53889,0,0,53889,54360,0,0,
24,0,1,21,54360,54433,0,0,0,0,54433,54883,0,0,0,0,54883,55942,
25,0,1,22,55942,56094,0,0,0,0,56094,56544,0,0,0,0,56544,56930,
26,0,0,23,56930,57029,0,0,0,0,57029,57479,0,0,57479,57601,0,0,
27,0,0,24,57601,57686,0,0,0,0,57686,58136,0,0,58136,58708,0,0,
28,3,1,25,58708,58802,0,0,0,0,58802,59252,0,0,0,0,59252,60446,
29,0,1,25,61446,64893,0,0,0,0,64893,65343,0,0,0,0,65343,65633,
30,3,1,26,65633,65737,0,0,0,0,65737,66187,0,0,0,0,66187,66351,
31,0,1,26,67351,67492,0,0,0,0,67492,67942,0,0,0,0,67942,68265,
32,0,0,27,68265,68408,0,0,0,0,68408,68858,0,0,68858,69016,0,0,
33,0,1,28,69016,69072,0,0,0,0,69072,69522,0,0,0,0,69522,70655,
34,0,0,29,70655,70820,0,0,0,0,70820,71270,0,0,71270,71409,0,0,
35,0,0,30,71409,71479,0,0,0,0,71479,71929,0,0,71929,72536,0,0,
36,3,1,31,72536,72612,0,0,0,0,72612,73062,0,0,0,0,73062,74320,
37,0,1,31,75320,77599,0,0,0,0,77599,78049,0,0,0,0,78049,78174,
38,0,0,32,78174,78277,0,0,0,0,78277,78727,0,0,78727,78901,0,0,
39,0,1,33,78901,78982,0,0,0,0,78982,79432,0,0,0,0,79432,80222,
40,0,1,34,80222,80329,0,0,0,0,80329,80779,0,0,0,0,80779,81165,
41,3,1,35,81165,81280,0,0,0,0,81280,81730,0,0,0,0,81730,82105,
42,0,1,35,83105,89304,0,0,0,0,89304,89754,0,0,0,0,89754,89922,
43,0,0,36,89922,90041,0,0,0,0,90041,90491,0,0,90491,90629,0,0,
44,0,1,37,90629,90696,0,0,0,0,90696,91146,0,0,0,0,91146,91991,
45,0,0,38,91991,92097,0,0,0,0,92097,92547,0,0,92547,92697,0,0,
46,0,0,39,92697,92767,0,0,0,0,92767,93217,0,0,93217,94006,0,0,
47,0,0,40,94006,94087,0,0,0,0,94087,94537,0,0,94537,95864,0,0,
48,0,0,41,95864,95948,0,0,0,0,95948,96398,0,0,96398,97681,0,0,
49,0,1,42,97681,97760,0,0,0,0,97760,98210,0,0,0,0,98210,99296,
50,0,0,43,99296,99413,0,0,0,0,99413,99863,0,0,99863,100062,0,0,
51,3,1,44,100062,100148,0,0,0,0,100148,100598,0,0,0,0,100598,101694,
52,0,1,44,102694,105775,0,0,0,0,105775,106225,0,0,0,0,106225,106792,
