STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,05-Aug-2019
Time,11:43
Box Index,1
ExptType,0
SessionRecord,94

Session Title,Pure tones testing 4 vs. 1
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB9_1
DB Ref,Testing
DB Group,-1
Day Table,Unassigned
Duration,189831
Pellet Count,215
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,1
SL Dummy,2
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
52,98,
SensorTC
S(1),
310,
AutoControl,Index,0,
AC Comment,,Pure tones testing
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,
Control,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,
Frequency,2000,2000,8000,2000,8000,2000,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,2000,8000,2000,8000,2000,2000,2000,2000,8000,8000,8000,8000,8000,2000,8000,2000,8000,2000,8000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,8000,2000,2000,8000,2000,8000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,2000,8000,2000,8000,8000,2000,8000,2000,2000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,
Amplitude,83,83,66,83,66,83,66,83,66,66,83,83,66,83,66,83,66,83,66,66,66,83,66,83,83,66,83,66,66,83,83,83,66,66,83,66,83,66,83,66,83,83,83,83,66,66,66,66,66,83,66,83,66,83,66,83,66,83,83,66,83,66,66,83,66,66,83,83,66,83,66,66,66,66,83,83,83,83,66,83,66,83,66,83,66,66,83,66,83,83,83,83,66,83,66,83,83,66,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,0,0,0,571,0,1,0,0,571,1021,0,0,1021,1101,0,0,
1,4,0,1,1101,1267,1,0,1653,2653,1267,1653,0,1,0,0,0,0,
1,4,0,1,2653,2850,0,1,3177,4177,2850,3177,1,0,0,0,0,0,
1,4,0,1,4177,5694,0,0,5808,6808,5694,5808,0,1,0,0,0,0,
1,0,0,1,6808,7778,2,0,0,0,7778,8228,0,0,8228,8351,0,0,
2,0,1,2,8351,8397,0,0,0,0,8397,8847,0,0,0,0,8847,8852,
3,0,0,3,8852,8952,0,0,0,0,8952,9402,0,0,9402,9635,0,0,
4,4,1,4,9635,9678,0,0,10077,11077,9678,10077,0,1,0,0,0,0,
4,0,1,4,11077,11318,0,0,0,0,11318,11768,0,0,0,0,11768,11778,
5,0,0,5,11778,11905,0,0,0,0,11905,12355,0,0,12355,12656,0,0,
6,4,1,6,12656,12716,0,0,12997,13997,12716,12997,0,1,0,0,0,0,
6,0,1,6,13997,19096,0,1,0,0,19096,19546,0,0,0,0,19546,19574,
7,1,0,7,19574,19669,0,0,0,0,19669,20119,0,0,20119,20140,0,0,
8,0,0,7,21140,22868,0,0,0,0,22868,23318,0,0,23318,23455,0,0,
9,4,1,8,23455,23514,0,0,23789,24789,23514,23789,0,1,0,0,0,0,
9,0,1,8,24789,27326,0,0,0,0,27326,27776,0,0,0,0,27776,27880,
10,0,1,9,27880,28069,0,0,0,0,28069,28519,0,0,0,0,28519,29127,
11,0,0,10,29127,29222,0,0,0,0,29222,29672,0,0,29672,30158,0,0,
12,0,0,11,30158,30241,0,0,0,0,30241,30691,0,0,30691,30849,0,0,
13,0,1,12,30849,30921,0,0,0,0,30921,31371,0,0,0,0,31371,31374,
14,0,0,13,31374,31471,0,0,0,0,31471,31921,0,0,31921,32478,0,0,
15,0,1,14,32478,32541,0,0,0,0,32541,32991,0,0,0,0,32991,33067,
16,0,0,15,33067,33177,0,0,0,0,33177,33627,0,0,33627,34073,0,0,
17,0,1,16,34073,34234,0,0,0,0,34234,34684,0,0,0,0,34684,35364,
18,0,0,17,35364,35491,0,0,0,0,35491,35941,0,0,35941,36468,0,0,
19,4,1,18,36468,36560,0,0,36964,37964,36560,36964,0,1,0,0,0,0,
19,0,1,18,37964,42862,0,0,0,0,42862,43312,0,0,0,0,43312,43835,
20,0,1,19,43835,43943,0,0,0,0,43943,44393,0,0,0,0,44393,44703,
21,0,1,20,44703,44801,0,0,0,0,44801,45251,0,0,0,0,45251,45854,
22,0,0,21,45854,45952,0,0,0,0,45952,46402,0,0,46402,47156,0,0,
23,0,1,22,47156,47216,0,0,0,0,47216,47666,0,0,0,0,47666,47780,
24,1,0,23,47780,47855,0,0,0,0,47855,48305,0,0,48305,49579,0,0,
25,0,0,23,50579,50796,0,0,0,0,50796,51246,0,0,51246,51403,0,0,
26,4,0,24,51403,51467,0,0,51869,52869,51467,51869,0,1,0,0,0,0,
26,4,0,24,52869,55194,0,0,55572,56572,55194,55572,0,1,0,0,0,0,
26,4,0,24,56572,56973,0,0,57361,58361,56973,57361,0,1,0,0,0,0,
26,4,0,24,58361,58717,0,0,59086,60086,58717,59086,0,1,0,0,0,0,
26,0,0,24,60086,60260,0,0,0,0,60260,60710,0,0,60710,60825,0,0,
27,4,1,25,60825,60879,0,0,61235,62235,60879,61235,0,1,0,0,0,0,
27,0,1,25,62235,62713,0,1,0,0,62713,63163,0,0,0,0,63163,63302,
28,0,0,26,63302,63415,0,0,0,0,63415,63865,0,0,63865,64031,0,0,
29,4,1,27,64031,64098,0,0,64419,65419,64098,64419,0,1,0,0,0,0,
29,0,1,27,65419,65459,0,0,0,0,65459,65909,0,0,0,0,65909,66307,
30,0,1,28,66307,66386,0,0,0,0,66386,66836,0,0,0,0,66836,67239,
31,0,0,29,67239,67322,0,0,0,0,67322,67772,0,0,67772,68304,0,0,
32,4,0,30,68304,68358,0,0,68723,69723,68358,68723,1,0,0,0,0,0,
32,0,0,30,69723,69784,0,0,0,0,69784,70234,0,0,70234,70335,0,0,
33,0,0,31,70335,70375,0,0,0,0,70375,70825,0,0,70825,70963,0,0,
34,0,1,32,70963,71013,0,0,0,0,71013,71463,0,0,0,0,71463,71774,
35,0,1,33,71774,71836,0,0,0,0,71836,72286,0,0,0,0,72286,72670,
36,0,0,34,72670,72828,0,0,0,0,72828,73278,0,0,73278,73661,0,0,
37,0,1,35,73661,73729,0,0,0,0,73729,74179,0,0,0,0,74179,74234,
38,0,0,36,74234,74306,0,0,0,0,74306,74756,0,0,74756,75497,0,0,
39,0,1,37,75497,75557,0,0,0,0,75557,76007,0,0,0,0,76007,76865,
40,0,0,38,76865,76958,0,0,0,0,76958,77408,0,0,77408,77850,0,0,
41,0,1,39,77850,77927,0,0,0,0,77927,78377,0,0,0,0,78377,79229,
42,0,0,40,79229,79320,0,0,0,0,79320,79770,0,0,79770,80093,0,0,
43,4,0,41,80093,80193,0,0,80564,81564,80193,80564,0,1,0,0,0,0,
43,4,0,41,81564,86671,0,0,87045,88045,86671,87045,1,0,0,0,0,0,
