STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,06-Mar-2017
Time,12:41
Box Index,1
ExptType,0
SessionRecord,37

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH6_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,335557
Pellet Count,53
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
247,246,
SensorTC
S(1),
541,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,
Control,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,
Frequency,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,8000,8000,2000,8000,2000,2000,2000,2000,8000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,2000,2000,8000,8000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,8000,8000,2000,2000,8000,8000,8000,8000,2000,2000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,2000,8000,8000,2000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,
Amplitude,66,66,83,83,83,66,66,66,83,83,66,66,66,83,66,83,83,83,83,66,66,83,83,66,83,66,66,83,66,83,83,83,66,66,83,66,83,83,66,66,66,83,83,66,83,83,66,66,83,66,83,83,83,66,66,66,83,66,66,83,83,66,66,66,66,83,83,66,83,83,66,83,66,83,83,66,66,66,83,83,83,83,66,83,66,66,83,66,66,83,66,83,83,66,66,83,83,66,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,3,1,0,0,110,1,0,0,0,110,510,0,0,0,0,510,645,
1,4,1,0,1645,1905,0,0,1992,2492,1905,1992,1,0,0,0,0,0,
1,2,1,0,2492,2535,0,0,0,0,2535,2935,0,0,0,0,2935,4935,
2,4,1,0,5435,7567,2,0,7939,8439,7567,7939,0,1,0,0,0,0,
2,4,1,0,8439,9517,0,1,9627,10127,9517,9627,1,0,0,0,0,0,
2,4,1,0,10127,11019,1,0,11160,11660,11019,11160,1,0,0,0,0,0,
2,4,1,0,11660,14811,0,3,14911,15411,14811,14911,1,0,0,0,0,0,
2,0,1,0,15411,15579,0,0,0,0,15579,15979,0,0,0,0,15979,16326,
3,4,1,1,16326,16559,0,1,16931,17431,16559,16931,1,0,0,0,0,0,
3,4,1,1,17431,19311,0,1,19542,20042,19311,19542,0,1,0,0,0,0,
3,4,1,1,20042,20947,1,0,21056,21556,20947,21056,1,0,0,0,0,0,
3,3,1,1,21556,23241,4,0,0,0,23241,23641,0,0,0,0,23641,24981,
4,4,1,1,25981,28061,4,0,28360,28860,28061,28360,0,1,0,0,0,0,
4,4,1,1,28860,29167,0,1,29344,29844,29167,29344,1,0,0,0,0,0,
4,3,1,1,29844,30228,0,0,0,0,30228,30628,0,0,0,0,30628,30632,
5,3,1,1,31632,31742,0,0,0,0,31742,32142,0,0,0,0,32142,32275,
6,4,1,1,33275,33859,0,0,34121,34621,33859,34121,0,1,0,0,0,0,
6,4,1,1,34621,35382,0,0,35468,35968,35382,35468,1,0,0,0,0,0,
6,4,1,1,35968,38024,0,1,38123,38623,38024,38123,0,1,0,0,0,0,
6,3,1,1,38623,38848,1,0,0,0,38848,39248,0,0,0,0,39248,39556,
7,0,1,1,40556,41521,2,0,0,0,41521,41921,0,0,0,0,41921,42160,
8,4,0,2,42160,42285,0,0,42626,43126,42285,42626,1,0,0,0,0,0,
8,4,0,2,43126,43886,0,0,44016,44516,43886,44016,1,0,0,0,0,0,
8,0,0,2,44516,45047,1,1,0,0,45047,45447,0,0,45447,46415,0,0,
9,0,0,3,46415,46495,0,0,0,0,46495,46895,0,0,46895,47721,0,0,
10,4,0,4,47721,47812,0,0,48123,48623,47812,48123,1,0,0,0,0,0,
10,4,0,4,48623,48831,0,0,48960,49460,48831,48960,0,1,0,0,0,0,
10,4,0,4,49460,49546,0,0,49724,50224,49546,49724,1,0,0,0,0,0,
10,4,0,4,50224,55234,0,0,55374,55874,55234,55374,0,1,0,0,0,0,
10,4,0,4,55874,56836,1,0,57146,57646,56836,57146,1,0,0,0,0,0,
10,4,0,4,57646,57821,0,0,57987,58487,57821,57987,1,0,0,0,0,0,
10,0,0,4,58487,58589,1,0,0,0,58589,58989,0,0,58989,59128,0,0,
11,4,1,5,59128,59165,0,0,59507,60007,59165,59507,1,0,0,0,0,0,
11,4,1,5,60007,60082,0,0,60192,60692,60082,60192,0,1,0,0,0,0,
11,4,1,5,60692,60772,0,0,60954,61454,60772,60954,0,1,0,0,0,0,
11,4,1,5,61454,61728,0,0,61851,62351,61728,61851,0,1,0,0,0,0,
11,0,1,5,62351,64291,2,0,0,0,64291,64691,0,0,0,0,64691,64821,
12,4,1,6,64821,65089,0,0,65352,65852,65089,65352,1,0,0,0,0,0,
12,4,1,6,65852,65861,0,0,66187,66687,65861,66187,1,0,0,0,0,0,
12,4,1,6,66687,66872,0,0,67131,67631,66872,67131,1,0,0,0,0,0,
12,4,1,6,67631,67808,0,1,68203,68703,67808,68203,1,0,0,0,0,0,
12,4,1,6,68703,68786,0,0,69013,69513,68786,69013,1,0,0,0,0,0,
12,0,1,6,69513,69834,0,0,0,0,69834,70234,0,0,0,0,70234,70448,
13,4,1,7,70448,70706,0,1,70996,71496,70706,70996,0,1,0,0,0,0,
13,4,1,7,71496,71681,1,0,72048,72548,71681,72048,1,0,0,0,0,0,
13,4,1,7,72548,73162,2,0,73255,73755,73162,73255,0,1,0,0,0,0,
13,4,1,7,73755,75262,5,1,75401,75901,75262,75401,0,1,0,0,0,0,
13,4,1,7,75901,78584,0,3,78738,79238,78584,78738,1,0,0,0,0,0,
13,4,1,7,79238,80445,2,0,80747,81247,80445,80747,1,0,0,0,0,0,
13,4,1,7,81247,84796,0,0,84972,85472,84796,84972,1,0,0,0,0,0,
13,4,1,7,85472,85590,0,0,85931,86431,85590,85931,1,0,0,0,0,0,
13,4,1,7,86431,88718,1,2,88820,89320,88718,88820,1,0,0,0,0,0,
13,0,1,7,89320,90020,1,0,0,0,90020,90420,0,0,0,0,90420,90472,
14,0,0,8,90472,90608,0,0,0,0,90608,91008,0,0,91008,91142,0,0,
15,0,0,9,91142,91210,0,0,0,0,91210,91610,0,0,91610,91683,0,0,
16,3,1,10,91683,91742,0,0,0,0,91742,92142,0,0,0,0,92142,92165,
17,4,1,10,93165,94372,0,1,94572,95072,94372,94572,1,0,0,0,0,0,
17,4,1,10,95072,96114,0,0,96199,96699,96114,96199,0,1,0,0,0,0,
17,3,1,10,96699,97596,0,2,0,0,97596,97996,0,0,0,0,97996,98099,
