STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,15-Aug-2017
Time,9:46
Box Index,1
ExptType,0
SessionRecord,8

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH8_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,195364
Pellet Count,63
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
126,160,
SensorTC
S(1),
559,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,
Control,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,
Frequency,2000,2000,2000,8000,2000,8000,8000,2000,8000,8000,8000,8000,2000,8000,8000,2000,2000,2000,2000,8000,8000,2000,8000,2000,8000,8000,2000,2000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,2000,2000,8000,8000,8000,8000,8000,2000,2000,8000,2000,8000,2000,8000,2000,
Amplitude,83,83,83,66,83,66,66,83,66,66,66,66,83,66,66,83,83,83,83,66,66,83,66,83,66,66,83,83,83,66,83,66,83,83,66,66,83,66,83,66,83,83,66,66,83,66,66,83,66,83,83,66,83,66,66,66,83,83,83,66,66,66,83,83,83,66,83,66,66,83,83,66,66,83,83,83,66,66,66,83,66,83,83,83,66,83,83,66,66,66,66,66,83,83,66,83,66,83,66,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,0,0,0,253,0,0,0,0,253,603,0,0,603,798,0,0,
1,0,0,1,798,902,0,0,0,0,902,1252,0,0,1252,1445,0,0,
2,4,0,2,1445,1608,0,0,1864,2364,1608,1864,0,1,0,0,0,0,
2,4,0,2,2364,2485,0,0,2573,3073,2485,2573,1,0,0,0,0,0,
2,4,0,2,3073,3189,0,0,3460,3960,3189,3460,0,1,0,0,0,0,
2,4,0,2,3960,5249,1,1,5402,5902,5249,5402,1,0,0,0,0,0,
2,4,0,2,5902,6306,0,0,6388,6888,6306,6388,1,0,0,0,0,0,
2,0,0,2,6888,7056,0,0,0,0,7056,7406,0,0,7406,7809,0,0,
3,0,1,3,7809,7906,0,0,0,0,7906,8256,0,0,0,0,8256,8300,
4,0,0,4,8300,8394,0,0,0,0,8394,8744,0,0,8744,8919,0,0,
5,4,1,5,8919,9041,0,0,9281,9781,9041,9281,1,0,0,0,0,0,
5,0,1,5,9781,10665,0,3,0,0,10665,11015,0,0,0,0,11015,11125,
6,4,1,6,11125,11245,0,0,11351,11851,11245,11351,1,0,0,0,0,0,
6,0,1,6,11851,11907,0,0,0,0,11907,12257,0,0,0,0,12257,12312,
7,0,0,7,12312,12444,0,0,0,0,12444,12794,0,0,12794,12956,0,0,
8,0,1,8,12956,13048,0,0,0,0,13048,13398,0,0,0,0,13398,13446,
9,4,1,9,13446,13560,0,0,13862,14362,13560,13862,1,0,0,0,0,0,
9,4,1,9,14362,14654,1,0,14907,15407,14654,14907,1,0,0,0,0,0,
9,0,1,9,15407,15553,0,0,0,0,15553,15903,0,0,0,0,15903,16075,
10,4,1,10,16075,16146,0,0,16467,16967,16146,16467,1,0,0,0,0,0,
10,4,1,10,16967,17255,0,1,17454,17954,17255,17454,1,0,0,0,0,0,
10,3,1,10,17954,18491,0,0,0,0,18491,18841,0,0,0,0,18841,18910,
11,0,1,10,19910,20541,0,0,0,0,20541,20891,0,0,0,0,20891,20911,
12,4,1,11,20911,21029,0,0,21338,21838,21029,21338,1,0,0,0,0,0,
12,3,1,11,21838,21942,0,0,0,0,21942,22292,0,0,0,0,22292,22361,
13,4,1,11,23361,27080,0,8,27215,27715,27080,27215,0,1,0,0,0,0,
13,4,1,11,27715,29971,0,1,30123,30623,29971,30123,1,0,0,0,0,0,
13,4,1,11,30623,30846,0,1,31128,31628,30846,31128,0,1,0,0,0,0,
13,4,1,11,31628,31794,0,0,32014,32514,31794,32014,0,1,0,0,0,0,
13,4,1,11,32514,32533,0,0,32739,33239,32533,32739,0,1,0,0,0,0,
13,0,1,11,33239,33859,0,1,0,0,33859,34209,0,0,0,0,34209,34282,
14,4,0,12,34282,34372,0,0,34669,35169,34372,34669,1,0,0,0,0,0,
14,4,0,12,35169,35476,0,0,35765,36265,35476,35765,0,1,0,0,0,0,
14,1,0,12,36265,36700,0,0,0,0,36700,37050,0,0,37050,37215,0,0,
15,0,0,12,38215,39257,0,0,0,0,39257,39607,0,0,39607,39977,0,0,
16,3,1,13,39977,40070,0,0,0,0,40070,40420,0,0,0,0,40420,40508,
17,3,1,13,41508,42057,0,1,0,0,42057,42407,0,0,0,0,42407,42490,
18,0,1,13,43490,43723,0,0,0,0,43723,44073,0,0,0,0,44073,44231,
19,0,1,14,44231,44362,0,0,0,0,44362,44712,0,0,0,0,44712,44933,
20,0,0,15,44933,45075,0,0,0,0,45075,45425,0,0,45425,45688,0,0,
21,1,0,16,45688,45785,0,0,0,0,45785,46135,0,0,46135,46156,0,0,
22,0,0,16,47156,47379,0,0,0,0,47379,47729,0,0,47729,48040,0,0,
23,1,0,17,48040,48135,0,0,0,0,48135,48485,0,0,48485,48692,0,0,
24,4,0,17,49692,51598,0,0,51808,52308,51598,51808,1,0,0,0,0,0,
24,0,0,17,52308,52768,0,2,0,0,52768,53118,0,0,53118,53303,0,0,
25,4,0,18,53303,53404,0,0,53732,54232,53404,53732,1,0,0,0,0,0,
25,4,0,18,54232,54761,0,0,55111,55611,54761,55111,0,1,0,0,0,0,
25,4,0,18,55611,56369,1,0,56638,57138,56369,56638,0,1,0,0,0,0,
25,1,0,18,57138,57228,0,0,0,0,57228,57578,0,0,57578,58316,0,0,
26,4,0,18,59316,59778,0,2,59934,60434,59778,59934,1,0,0,0,0,0,
26,1,0,18,60434,61104,0,0,0,0,61104,61454,0,0,61454,61542,0,0,
27,4,0,18,62542,62802,0,0,63089,63589,62802,63089,1,0,0,0,0,0,
27,1,0,18,63589,63733,0,0,0,0,63733,64083,0,0,64083,64195,0,0,
28,0,0,18,65195,65300,0,0,0,0,65300,65650,0,0,65650,65996,0,0,
29,3,1,19,65996,66102,0,0,0,0,66102,66452,0,0,0,0,66452,66575,
30,4,1,19,67575,68346,1,0,68690,69190,68346,68690,0,1,0,0,0,0,
30,4,1,19,69190,69686,0,1,69966,70466,69686,69966,1,0,0,0,0,0,
30,4,1,19,70466,70791,0,1,71105,71605,70791,71105,1,0,0,0,0,0,
30,3,1,19,71605,72499,0,2,0,0,72499,72849,0,0,0,0,72849,73034,
