STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,18-Jul-2017
Time,13:8
Box Index,1
ExptType,0
SessionRecord,61

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB2_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,166060
Pellet Count,64
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
99,151,
SensorTC
S(1),
420,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,
Control,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,
Frequency,8000,2000,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,2000,8000,8000,2000,8000,8000,2000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,8000,2000,2000,2000,8000,8000,2000,8000,2000,8000,8000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,8000,2000,2000,8000,2000,2000,2000,8000,8000,2000,2000,8000,8000,8000,2000,2000,2000,8000,8000,8000,8000,2000,2000,2000,2000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,8000,
Amplitude,66,83,66,66,83,83,83,66,83,66,66,83,66,83,83,66,66,83,66,83,83,83,83,66,66,83,66,66,83,66,83,83,83,83,66,83,66,66,66,66,83,83,83,66,66,83,66,83,66,66,66,83,66,66,66,83,83,83,83,66,83,66,66,66,66,83,83,66,83,83,83,66,66,83,83,66,66,66,83,83,83,66,66,66,66,83,83,83,83,66,83,83,66,66,83,83,66,83,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,1,0,0,632,0,0,0,0,632,932,0,0,0,0,932,2838,
1,0,0,1,2838,3055,0,0,0,0,3055,3355,0,0,3355,4097,0,0,
2,4,1,2,4097,4216,0,0,4496,4996,4216,4496,1,0,0,0,0,0,
2,3,1,2,4996,5251,0,0,0,0,5251,5551,0,0,0,0,5551,6199,
3,3,1,2,7199,7249,0,0,0,0,7249,7549,0,0,0,0,7549,8181,
4,0,1,2,9181,9288,0,0,0,0,9288,9588,0,0,0,0,9588,9619,
5,4,1,3,9619,9685,0,0,9906,10406,9685,9906,0,1,0,0,0,0,
5,3,1,3,10406,11183,0,3,0,0,11183,11483,0,0,0,0,11483,11603,
6,0,1,3,12603,13012,1,0,0,0,13012,13312,0,0,0,0,13312,14356,
7,4,0,4,14356,14471,0,1,14650,15150,14471,14650,1,0,0,0,0,0,
7,4,0,4,15150,15942,0,2,16234,16734,15942,16234,1,0,0,0,0,0,
7,0,0,4,16734,16845,0,0,0,0,16845,17145,0,0,17145,17532,0,0,
8,0,0,5,17532,17590,0,0,0,0,17590,17890,0,0,17890,18010,0,0,
9,0,0,6,18010,18080,0,0,0,0,18080,18380,0,0,18380,18542,0,0,
10,4,1,7,18542,18602,0,0,18867,19367,18602,18867,1,0,0,0,0,0,
10,3,1,7,19367,19395,0,0,0,0,19395,19695,0,0,0,0,19695,19833,
11,4,1,7,20833,27220,1,1,27323,27823,27220,27323,0,1,0,0,0,0,
11,3,1,7,27823,27932,0,0,0,0,27932,28232,0,0,0,0,28232,28300,
12,3,1,7,29300,29480,0,1,0,0,29480,29780,0,0,0,0,29780,29963,
13,0,1,7,30963,31110,0,0,0,0,31110,31410,0,0,0,0,31410,31427,
14,4,0,8,31427,31539,0,0,31741,32241,31539,31741,0,1,0,0,0,0,
14,1,0,8,32241,32649,0,1,0,0,32649,32949,0,0,32949,33189,0,0,
15,0,0,8,34189,34463,2,0,0,0,34463,34763,0,0,34763,34907,0,0,
16,3,1,9,34907,34997,0,0,0,0,34997,35297,0,0,0,0,35297,35416,
17,4,1,9,36416,36813,1,0,37052,37552,36813,37052,0,1,0,0,0,0,
17,4,1,9,37552,37874,0,0,38037,38537,37874,38037,0,1,0,0,0,0,
17,3,1,9,38537,38649,0,0,0,0,38649,38949,0,0,0,0,38949,39271,
18,3,1,9,40271,40420,0,0,0,0,40420,40720,0,0,0,0,40720,40953,
19,4,1,9,41953,48254,0,3,48473,48973,48254,48473,0,1,0,0,0,0,
19,3,1,9,48973,49069,0,0,0,0,49069,49369,0,0,0,0,49369,49415,
20,3,1,9,50415,50665,0,0,0,0,50665,50965,0,0,0,0,50965,51212,
21,3,1,9,52212,52351,0,0,0,0,52351,52651,0,0,0,0,52651,53126,
22,0,1,9,54126,54269,0,0,0,0,54269,54569,0,0,0,0,54569,54607,
23,3,1,10,54607,54690,0,0,0,0,54690,54990,0,0,0,0,54990,55026,
24,2,1,10,56026,56879,1,0,0,0,56879,57179,0,0,0,0,57179,59179,
25,0,1,10,59679,66656,1,4,0,0,66656,66956,0,0,0,0,66956,67179,
26,0,0,11,67179,67276,0,0,0,0,67276,67576,0,0,67576,67710,0,0,
27,4,1,12,67710,67782,0,0,68072,68572,67782,68072,1,0,0,0,0,0,
27,0,1,12,68572,69528,1,0,0,0,69528,69828,0,0,0,0,69828,70014,
28,1,0,13,70014,70082,0,0,0,0,70082,70382,0,0,70382,70569,0,0,
29,1,0,13,71569,72198,0,1,0,0,72198,72498,0,0,72498,73014,0,0,
30,0,0,13,74014,75222,0,1,0,0,75222,75522,0,0,75522,75526,0,0,
31,4,0,14,75526,75643,0,0,75925,76425,75643,75925,1,0,0,0,0,0,
31,4,0,14,76425,76514,0,1,76639,77139,76514,76639,0,1,0,0,0,0,
31,1,0,14,77139,78444,1,1,0,0,78444,78744,0,0,78744,79215,0,0,
32,0,0,14,80215,80385,0,0,0,0,80385,80685,0,0,80685,80689,0,0,
33,4,1,15,80689,80794,0,0,81087,81587,80794,81087,1,0,0,0,0,0,
33,0,1,15,81587,81738,0,1,0,0,81738,82038,0,0,0,0,82038,82126,
34,4,1,16,82126,82222,0,0,82493,82993,82222,82493,1,0,0,0,0,0,
34,4,1,16,82993,83140,0,0,83422,83922,83140,83422,0,1,0,0,0,0,
34,0,1,16,83922,85236,0,2,0,0,85236,85536,0,0,0,0,85536,85582,
35,0,0,17,85582,85646,0,0,0,0,85646,85946,0,0,85946,86060,0,0,
36,3,1,18,86060,86150,0,0,0,0,86150,86450,0,0,0,0,86450,86547,
37,0,1,18,87547,87687,1,0,0,0,87687,87987,0,0,0,0,87987,88154,
38,0,0,19,88154,88222,0,0,0,0,88222,88522,0,0,88522,88638,0,0,
39,1,0,20,88638,88743,0,0,0,0,88743,89043,0,0,89043,89064,0,0,
40,0,0,20,90064,92079,0,3,0,0,92079,92379,0,0,92379,92436,0,0,
41,4,0,21,92436,92552,0,0,92842,93342,92552,92842,1,0,0,0,0,0,
41,0,0,21,93342,93355,0,0,0,0,93355,93655,0,0,93655,93769,0,0,
