STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,21-Nov-2017
Time,9:57
Box Index,1
ExptType,0
SessionRecord,47

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH9_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,330655
Pellet Count,48
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
282,278,
SensorTC
S(1),
696,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,
Control,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,
Frequency,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,8000,2000,8000,2000,2000,2000,2000,8000,2000,8000,8000,2000,8000,8000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,2000,
Amplitude,66,66,83,83,83,66,83,66,66,83,83,83,66,66,83,66,66,83,66,83,83,83,83,66,83,66,66,83,66,66,66,83,83,83,66,66,66,83,66,83,83,83,66,66,66,83,83,66,66,83,83,66,83,66,83,66,66,83,83,66,83,66,83,83,66,66,83,66,66,83,66,66,66,83,83,83,83,66,66,83,83,66,66,83,66,66,83,83,66,83,66,83,83,66,83,66,66,66,83,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,3,1,0,0,6879,11,6,0,0,6879,7229,0,0,0,0,7229,7516,
1,3,1,0,8516,9619,2,0,0,0,9619,9969,0,0,0,0,9969,10550,
2,0,1,0,11550,12770,2,0,0,0,12770,13120,0,0,0,0,13120,13320,
3,3,1,1,13320,13445,0,0,0,0,13445,13795,0,0,0,0,13795,13798,
4,0,1,1,14798,14960,0,0,0,0,14960,15310,0,0,0,0,15310,15483,
5,0,0,2,15483,16213,0,2,0,0,16213,16563,0,0,16563,16900,0,0,
6,4,0,3,16900,16999,0,0,17314,17814,16999,17314,0,1,0,0,0,0,
6,1,0,3,17814,19321,1,0,0,0,19321,19671,0,0,19671,19739,0,0,
7,1,0,3,20739,20936,1,0,0,0,20936,21286,0,0,21286,21790,0,0,
8,0,0,3,22790,23082,1,1,0,0,23082,23432,0,0,23432,23630,0,0,
9,4,0,4,23630,23730,0,0,23953,24453,23730,23953,1,0,0,0,0,0,
9,0,0,4,24453,24498,0,0,0,0,24498,24848,0,0,24848,25437,0,0,
10,4,1,5,25437,25524,0,0,25796,26296,25524,25796,1,0,0,0,0,0,
10,4,1,5,26296,26458,0,0,26634,27134,26458,26634,1,0,0,0,0,0,
10,4,1,5,27134,28326,1,1,28612,29112,28326,28612,0,1,0,0,0,0,
10,4,1,5,29112,29929,2,0,30268,30768,29929,30268,1,0,0,0,0,0,
10,4,1,5,30768,30882,1,0,31192,31692,30882,31192,1,0,0,0,0,0,
10,3,1,5,31692,31929,1,0,0,0,31929,32279,0,0,0,0,32279,32328,
11,4,1,5,33328,39429,3,14,39586,40086,39429,39586,1,0,0,0,0,0,
11,4,1,5,40086,40966,1,0,41142,41642,40966,41142,1,0,0,0,0,0,
11,4,1,5,41642,41860,1,0,42085,42585,41860,42085,1,0,0,0,0,0,
11,0,1,5,42585,42690,1,0,0,0,42690,43040,0,0,0,0,43040,43079,
12,4,0,6,43079,43209,0,0,43460,43960,43209,43460,0,1,0,0,0,0,
12,4,0,6,43960,44829,3,0,45083,45583,44829,45083,1,0,0,0,0,0,
12,1,0,6,45583,45789,0,0,0,0,45789,46139,0,0,46139,47042,0,0,
13,4,0,6,48042,52929,1,3,53193,53693,52929,53193,1,0,0,0,0,0,
13,0,0,6,53693,53798,0,0,0,0,53798,54148,0,0,54148,54561,0,0,
14,4,1,7,54561,54680,0,0,54904,55404,54680,54904,1,0,0,0,0,0,
14,4,1,7,55404,55468,0,0,55645,56145,55468,55645,1,0,0,0,0,0,
14,3,1,7,56145,56321,1,0,0,0,56321,56671,0,0,0,0,56671,56818,
15,4,1,7,57818,62991,1,4,63178,63678,62991,63178,1,0,0,0,0,0,
15,4,1,7,63678,63857,0,1,63960,64460,63857,63960,0,1,0,0,0,0,
15,4,1,7,64460,64621,0,0,64720,65220,64621,64720,1,0,0,0,0,0,
15,3,1,7,65220,65421,0,0,0,0,65421,65771,0,0,0,0,65771,65904,
16,3,1,7,66904,70229,3,0,0,0,70229,70579,0,0,0,0,70579,70583,
17,4,1,7,71583,72758,2,0,72926,73426,72758,72926,1,0,0,0,0,0,
17,3,1,7,73426,73795,1,0,0,0,73795,74145,0,0,0,0,74145,74857,
18,0,1,7,75857,76015,0,0,0,0,76015,76365,0,0,0,0,76365,76470,
19,4,1,8,76470,76599,0,0,76910,77410,76599,76910,1,0,0,0,0,0,
19,0,1,8,77410,77851,0,1,0,0,77851,78201,0,0,0,0,78201,78286,
20,4,0,9,78286,78388,0,0,78696,79196,78388,78696,1,0,0,0,0,0,
20,4,0,9,79196,81540,5,2,81716,82216,81540,81716,1,0,0,0,0,0,
20,4,0,9,82216,86024,1,9,86036,86536,86024,86036,1,0,0,0,0,0,
20,1,0,9,86536,93940,3,1,0,0,93940,94290,0,0,94290,94494,0,0,
21,4,0,9,95494,97681,0,1,98014,98514,97681,98014,0,1,0,0,0,0,
21,0,0,9,98514,98550,0,0,0,0,98550,98900,0,0,98900,99197,0,0,
22,1,0,10,99197,99274,0,0,0,0,99274,99624,0,0,99624,100122,0,0,
23,4,0,10,101122,101123,0,0,101462,101962,101123,101462,0,1,0,0,0,0,
23,1,0,10,101962,103812,0,1,0,0,103812,104162,0,0,104162,104717,0,0,
24,0,0,10,105717,106040,1,0,0,0,106040,106390,0,0,106390,106729,0,0,
25,0,0,11,106729,106795,0,0,0,0,106795,107145,0,0,107145,107331,0,0,
26,4,1,12,107331,107394,0,0,107681,108181,107394,107681,1,0,0,0,0,0,
26,4,1,12,108181,108919,0,1,109142,109642,108919,109142,0,1,0,0,0,0,
26,3,1,12,109642,109652,0,0,0,0,109652,110002,0,0,0,0,110002,110138,
27,3,1,12,111138,111336,1,0,0,0,111336,111686,0,0,0,0,111686,111991,
28,0,1,12,112991,113137,1,0,0,0,113137,113487,0,0,0,0,113487,113563,
29,4,1,13,113563,113664,0,0,113980,114480,113664,113980,1,0,0,0,0,0,
29,4,1,13,114480,115042,1,0,115337,115837,115042,115337,0,1,0,0,0,0,
29,4,1,13,115837,116072,1,0,116230,116730,116072,116230,0,1,0,0,0,0,
