STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,23-Jan-2017
Time,10:26
Box Index,1
ExptType,0
SessionRecord,10

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH5_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,214701
Pellet Count,46
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
158,182,
SensorTC
S(1),
819,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,
Control,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,
Frequency,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,8000,8000,2000,8000,2000,8000,2000,2000,8000,2000,8000,2000,8000,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,2000,2000,8000,8000,8000,2000,8000,2000,2000,2000,2000,2000,8000,8000,8000,8000,8000,2000,2000,8000,8000,2000,8000,2000,8000,2000,8000,8000,2000,8000,2000,8000,2000,8000,8000,2000,2000,
Amplitude,64,75,64,64,75,64,75,75,64,75,64,75,75,64,64,75,75,75,64,64,75,75,75,64,64,64,75,64,64,75,64,75,64,75,75,64,75,64,75,64,64,75,64,75,64,64,64,75,75,75,75,64,75,64,75,75,75,64,64,64,75,75,64,75,75,64,64,64,75,64,75,75,75,75,75,64,64,64,64,64,75,75,64,64,75,64,75,64,75,64,64,75,64,75,64,75,64,64,75,75,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,1,0,0,231,2,0,0,0,231,531,0,0,0,0,531,710,
1,4,0,1,710,1187,0,4,1438,1938,1187,1438,1,0,0,0,0,0,
1,0,0,1,1938,3324,0,0,0,0,3324,3624,0,0,3624,3672,0,0,
2,3,1,2,3672,3800,0,0,0,0,3800,4100,0,0,0,0,4100,4107,
3,4,1,2,4607,4818,2,0,4932,5432,4818,4932,1,0,0,0,0,0,
3,4,1,2,5432,6737,0,0,7031,7531,6737,7031,1,0,0,0,0,0,
3,4,1,2,7531,7703,0,0,7933,8433,7703,7933,1,0,0,0,0,0,
3,4,1,2,8433,11069,2,0,11321,11821,11069,11321,1,0,0,0,0,0,
3,4,1,2,11821,12868,4,0,13124,13624,12868,13124,1,0,0,0,0,0,
3,3,1,2,13624,15271,0,1,0,0,15271,15571,0,0,0,0,15571,15576,
4,3,1,2,16076,17116,0,0,0,0,17116,17416,0,0,0,0,17416,17474,
5,3,1,2,17974,18286,0,0,0,0,18286,18586,0,0,0,0,18586,18691,
6,4,1,2,19191,19299,0,0,19482,19982,19299,19482,1,0,0,0,0,0,
6,4,1,2,19982,20510,0,3,20702,21202,20510,20702,1,0,0,0,0,0,
6,3,1,2,21202,24283,0,0,0,0,24283,24583,0,0,0,0,24583,24623,
7,4,1,2,25123,25847,0,3,26058,26558,25847,26058,1,0,0,0,0,0,
7,3,1,2,26558,27312,0,0,0,0,27312,27612,0,0,0,0,27612,27784,
8,4,1,2,28284,29002,0,0,29157,29657,29002,29157,1,0,0,0,0,0,
8,4,1,2,29657,30239,0,0,30382,30882,30239,30382,1,0,0,0,0,0,
8,4,1,2,30882,32744,3,0,32870,33370,32744,32870,0,1,0,0,0,0,
8,4,1,2,33370,36418,0,2,36634,37134,36418,36634,1,0,0,0,0,0,
8,0,1,2,37134,37740,1,0,0,0,37740,38040,0,0,0,0,38040,38205,
9,3,1,3,38205,38386,0,0,0,0,38386,38686,0,0,0,0,38686,38692,
10,3,1,3,39192,39534,2,0,0,0,39534,39834,0,0,0,0,39834,39866,
11,0,1,3,40366,40664,0,0,0,0,40664,40964,0,0,0,0,40964,41019,
12,4,0,4,41019,41119,0,0,41373,41873,41119,41373,0,1,0,0,0,0,
12,0,0,4,41873,43166,0,0,0,0,43166,43466,0,0,43466,43638,0,0,
13,3,1,5,43638,43769,0,0,0,0,43769,44069,0,0,0,0,44069,44106,
14,0,1,5,44606,45107,1,0,0,0,45107,45407,0,0,0,0,45407,45611,
15,4,0,6,45611,45701,0,0,45864,46364,45701,45864,0,1,0,0,0,0,
15,0,0,6,46364,46733,0,0,0,0,46733,47033,0,0,47033,47100,0,0,
16,4,0,7,47100,47193,0,0,47439,47939,47193,47439,1,0,0,0,0,0,
16,4,0,7,47939,48054,0,0,48148,48648,48054,48148,1,0,0,0,0,0,
16,0,0,7,48648,50556,0,1,0,0,50556,50856,0,0,50856,50982,0,0,
17,4,1,8,50982,51085,0,0,51273,51773,51085,51273,1,0,0,0,0,0,
17,3,1,8,51773,51853,0,0,0,0,51853,52153,0,0,0,0,52153,52280,
18,4,1,8,52780,54244,0,1,54457,54957,54244,54457,1,0,0,0,0,0,
18,4,1,8,54957,55238,0,0,55476,55976,55238,55476,1,0,0,0,0,0,
18,3,1,8,55976,56092,0,0,0,0,56092,56392,0,0,0,0,56392,56481,
19,3,1,8,56981,57237,1,0,0,0,57237,57537,0,0,0,0,57537,57576,
20,4,1,8,58076,58518,0,0,58743,59243,58518,58743,0,1,0,0,0,0,
20,4,1,8,59243,59310,0,0,59519,60019,59310,59519,0,1,0,0,0,0,
20,3,1,8,60019,60167,0,0,0,0,60167,60467,0,0,0,0,60467,60537,
21,0,1,8,61037,61531,0,0,0,0,61531,61831,0,0,0,0,61831,62353,
22,0,0,9,62353,62515,0,0,0,0,62515,62815,0,0,62815,62866,0,0,
23,3,1,10,62866,62991,0,0,0,0,62991,63291,0,0,0,0,63291,63759,
24,3,1,10,64259,64430,0,1,0,0,64430,64730,0,0,0,0,64730,64887,
25,4,1,10,65387,66479,0,0,66616,67116,66479,66616,0,1,0,0,0,0,
25,4,1,10,67116,67354,0,0,67586,68086,67354,67586,1,0,0,0,0,0,
25,4,1,10,68086,68329,0,0,68520,69020,68329,68520,1,0,0,0,0,0,
25,4,1,10,69020,69729,0,0,69891,70391,69729,69891,0,1,0,0,0,0,
25,4,1,10,70391,73155,0,0,73354,73854,73155,73354,1,0,0,0,0,0,
25,4,1,10,73854,74026,0,0,74279,74779,74026,74279,1,0,0,0,0,0,
25,4,1,10,74779,74803,0,0,75073,75573,74803,75073,0,1,0,0,0,0,
25,3,1,10,75573,75668,0,0,0,0,75668,75968,0,0,0,0,75968,76143,
26,3,1,10,76643,77101,0,0,0,0,77101,77401,0,0,0,0,77401,77476,
27,4,1,10,77976,78324,0,0,78584,79084,78324,78584,0,1,0,0,0,0,
27,3,1,10,79084,79238,0,1,0,0,79238,79538,0,0,0,0,79538,79988,
28,3,1,10,80488,80669,0,1,0,0,80669,80969,0,0,0,0,80969,81206,
