STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,23-Oct-2017
Time,12:15
Box Index,1
ExptType,0
SessionRecord,25

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB3_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,360000
Pellet Count,7
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
192,107,
SensorTC
S(1),
233,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,
Control,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,
Frequency,8000,2000,2000,8000,2000,2000,2000,8000,8000,8000,8000,8000,2000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,2000,8000,8000,8000,2000,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,8000,2000,8000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,2000,8000,2000,8000,2000,2000,2000,2000,8000,8000,2000,8000,8000,2000,8000,2000,8000,2000,8000,2000,8000,8000,2000,8000,2000,2000,2000,2000,8000,8000,8000,2000,2000,8000,8000,
Amplitude,66,83,83,66,83,83,83,66,66,66,66,66,83,66,83,83,83,66,66,83,83,83,66,83,66,66,66,83,66,83,66,66,83,83,66,66,83,83,66,83,83,83,66,66,66,83,83,66,66,83,66,66,66,83,83,66,83,66,83,83,66,83,83,66,66,83,66,83,66,83,83,83,83,66,66,83,66,66,83,66,83,66,83,66,83,66,66,83,66,83,83,83,83,66,66,66,83,83,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,297,0,1,459,959,297,459,0,1,0,0,0,0,
0,4,1,0,959,1241,1,0,1398,1898,1241,1398,1,0,0,0,0,0,
0,4,1,0,1898,2954,1,0,3157,3657,2954,3157,1,0,0,0,0,0,
0,4,1,0,3657,5290,0,2,5377,5877,5290,5377,1,0,0,0,0,0,
0,4,1,0,5877,7457,1,0,7647,8147,7457,7647,1,0,0,0,0,0,
0,4,1,0,8147,8279,0,0,8633,9133,8279,8633,1,0,0,0,0,0,
0,4,1,0,9133,9244,1,0,9617,10117,9244,9617,1,0,0,0,0,0,
0,3,1,0,10117,12475,0,0,0,0,12475,12875,0,0,0,0,12875,12884,
1,4,1,0,13884,13911,0,0,14185,14685,13911,14185,1,0,0,0,0,0,
1,0,1,0,14685,14784,0,0,0,0,14784,15184,0,0,0,0,15184,15458,
2,4,0,1,15458,15564,0,0,15809,16309,15564,15809,1,0,0,0,0,0,
2,4,0,1,16309,17613,2,0,17825,18325,17613,17825,1,0,0,0,0,0,
2,4,0,1,18325,18885,1,0,19121,19621,18885,19121,0,1,0,0,0,0,
2,0,0,1,19621,20945,2,0,0,0,20945,21345,0,0,21345,21993,0,0,
3,0,0,2,21993,22093,0,0,0,0,22093,22493,0,0,22493,22723,0,0,
4,4,1,3,22723,22826,0,0,23156,23656,22826,23156,1,0,0,0,0,0,
4,3,1,3,23656,23799,1,0,0,0,23799,24199,0,0,0,0,24199,24336,
5,4,1,3,25336,26783,0,0,26942,27442,26783,26942,1,0,0,0,0,0,
5,4,1,3,27442,30809,1,2,31130,31630,30809,31130,1,0,0,0,0,0,
5,4,1,3,31630,32511,2,0,32688,33188,32511,32688,1,0,0,0,0,0,
5,3,1,3,33188,33386,0,0,0,0,33386,33786,0,0,0,0,33786,33815,
6,4,1,3,34815,36020,0,1,36160,36660,36020,36160,1,0,0,0,0,0,
6,3,1,3,36660,37287,0,0,0,0,37287,37687,0,0,0,0,37687,38315,
7,4,1,3,39315,42894,0,0,43242,43742,42894,43242,1,0,0,0,0,0,
7,3,1,3,43742,43848,0,0,0,0,43848,44248,0,0,0,0,44248,44702,
8,4,1,3,45702,45977,0,0,46127,46627,45977,46127,1,0,0,0,0,0,
8,3,1,3,46627,46679,0,0,0,0,46679,47079,0,0,0,0,47079,47491,
9,3,1,3,48491,51058,0,0,0,0,51058,51458,0,0,0,0,51458,52771,
10,4,1,3,53771,56989,0,1,57264,57764,56989,57264,1,0,0,0,0,0,
10,3,1,3,57764,59605,1,1,0,0,59605,60005,0,0,0,0,60005,60043,
11,4,1,3,61043,63323,1,0,63477,63977,63323,63477,1,0,0,0,0,0,
11,4,1,3,63977,66344,1,0,66649,67149,66344,66649,1,0,0,0,0,0,
11,0,1,3,67149,67230,0,0,0,0,67230,67630,0,0,0,0,67630,67700,
12,4,0,4,67700,67840,0,0,68192,68692,67840,68192,1,0,0,0,0,0,
12,4,0,4,68692,68846,0,0,69141,69641,68846,69141,1,0,0,0,0,0,
12,4,0,4,69641,69780,0,0,69958,70458,69780,69958,1,0,0,0,0,0,
12,4,0,4,70458,70528,0,0,70816,71316,70528,70816,1,0,0,0,0,0,
12,4,0,4,71316,71363,0,0,71660,72160,71363,71660,1,0,0,0,0,0,
12,4,0,4,72160,74435,0,0,74762,75262,74435,74762,1,0,0,0,0,0,
12,4,0,4,75262,79725,0,2,79922,80422,79725,79922,1,0,0,0,0,0,
12,4,0,4,80422,81326,0,2,81538,82038,81326,81538,1,0,0,0,0,0,
12,4,0,4,82038,82386,0,0,82727,83227,82386,82727,1,0,0,0,0,0,
12,0,0,4,83227,83993,1,0,0,0,83993,84393,0,0,84393,85134,0,0,
13,4,0,5,85134,85229,0,0,85439,85939,85229,85439,1,0,0,0,0,0,
13,0,0,5,85939,86012,0,0,0,0,86012,86412,0,0,86412,86767,0,0,
14,4,0,6,86767,86892,0,0,87214,87714,86892,87214,1,0,0,0,0,0,
14,4,0,6,87714,88199,1,0,88519,89019,88199,88519,1,0,0,0,0,0,
14,4,0,6,89019,89236,0,0,89610,90110,89236,89610,1,0,0,0,0,0,
14,0,0,6,90110,90248,0,0,0,0,90248,90648,0,0,90648,90852,0,0,
15,4,1,7,90852,90926,0,0,91255,91755,90926,91255,1,0,0,0,0,0,
15,3,1,7,91755,91823,0,0,0,0,91823,92223,0,0,0,0,92223,92332,
16,3,1,7,93332,98535,1,0,0,0,98535,98935,0,0,0,0,98935,98983,
17,4,1,7,99983,109969,1,4,110135,110635,109969,110135,1,0,0,0,0,0,
17,3,1,7,110635,111538,0,1,0,0,111538,111938,0,0,0,0,111938,111975,
18,3,1,7,112975,116542,0,4,0,0,116542,116942,0,0,0,0,116942,117246,
19,4,1,7,118246,118687,0,0,118894,119394,118687,118894,1,0,0,0,0,0,
19,4,1,7,119394,120318,1,0,120539,121039,120318,120539,1,0,0,0,0,0,
19,4,1,7,121039,121052,0,0,121443,121943,121052,121443,1,0,0,0,0,0,
19,4,1,7,121943,122236,0,0,122506,123006,122236,122506,1,0,0,0,0,0,
