STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,29-Jan-2019
Time,9:16
Box Index,1
ExptType,0
SessionRecord,12

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB7_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,315556
Pellet Count,42
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
211,215,
SensorTC
S(1),
619,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,
Control,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,
Frequency,8000,2000,2000,2000,2000,8000,8000,2000,8000,8000,8000,8000,2000,8000,2000,2000,2000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,2000,8000,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,8000,8000,2000,2000,2000,2000,8000,8000,2000,8000,8000,8000,8000,2000,8000,2000,8000,2000,2000,2000,8000,2000,8000,2000,2000,2000,8000,8000,2000,8000,2000,8000,2000,8000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,2000,8000,8000,8000,2000,8000,2000,8000,2000,8000,2000,2000,8000,
Amplitude,66,83,83,83,83,66,66,83,66,66,66,66,83,66,83,83,83,66,83,66,83,83,66,83,66,66,66,83,83,66,66,66,83,83,83,66,83,66,66,83,66,66,83,83,83,83,66,66,83,66,66,66,66,83,66,83,66,83,83,83,66,83,66,83,83,83,66,66,83,66,83,66,83,66,83,66,66,83,83,66,66,83,66,66,83,83,83,83,66,66,66,83,66,83,66,83,66,83,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,124,0,0,199,699,124,199,0,1,0,0,0,0,
0,4,1,0,699,1184,0,1,1321,1821,1184,1321,1,0,0,0,0,0,
0,3,1,0,1821,3397,0,3,0,0,3397,3797,0,0,0,0,3797,3803,
1,4,1,0,4803,7145,1,0,7209,7709,7145,7209,1,0,0,0,0,0,
1,3,1,0,7709,8195,0,0,0,0,8195,8595,0,0,0,0,8595,9377,
2,4,1,0,10377,10483,0,0,10843,11343,10483,10843,1,0,0,0,0,0,
2,4,1,0,11343,12045,1,0,12215,12715,12045,12215,1,0,0,0,0,0,
2,4,1,0,12715,12974,0,1,13218,13718,12974,13218,0,1,0,0,0,0,
2,4,1,0,13718,13972,0,0,14313,14813,13972,14313,1,0,0,0,0,0,
2,0,1,0,14813,14815,0,0,0,0,14815,15215,0,0,0,0,15215,15223,
3,4,0,1,15223,15322,0,0,15687,16187,15322,15687,0,1,0,0,0,0,
3,4,0,1,16187,16414,0,0,16593,17093,16414,16593,1,0,0,0,0,0,
3,4,0,1,17093,18204,1,0,18405,18905,18204,18405,0,1,0,0,0,0,
3,4,0,1,18905,19328,0,0,19542,20042,19328,19542,0,1,0,0,0,0,
3,4,0,1,20042,20516,0,0,20727,21227,20516,20727,0,1,0,0,0,0,
3,4,0,1,21227,21796,2,0,21874,22374,21796,21874,1,0,0,0,0,0,
3,4,0,1,22374,23284,1,0,23413,23913,23284,23413,1,0,0,0,0,0,
3,0,0,1,23913,25693,0,3,0,0,25693,26093,0,0,26093,26229,0,0,
4,1,0,2,26229,26301,0,0,0,0,26301,26701,0,0,26701,26712,0,0,
5,4,0,2,27712,27851,1,0,28049,28549,27851,28049,1,0,0,0,0,0,
5,4,0,2,28549,29131,1,0,29356,29856,29131,29356,0,1,0,0,0,0,
5,4,0,2,29856,30023,0,0,30216,30716,30023,30216,1,0,0,0,0,0,
5,4,0,2,30716,30780,0,0,31021,31521,30780,31021,0,1,0,0,0,0,
5,0,0,2,31521,31827,1,0,0,0,31827,32227,0,0,32227,32523,0,0,
6,0,0,3,32523,32615,0,0,0,0,32615,33015,0,0,33015,33033,0,0,
7,0,0,4,33033,33112,0,0,0,0,33112,33512,0,0,33512,33618,0,0,
8,3,1,5,33618,33713,0,0,0,0,33713,34113,0,0,0,0,34113,34325,
9,4,1,5,35325,35964,2,0,36145,36645,35964,36145,0,1,0,0,0,0,
9,4,1,5,36645,36893,0,0,37039,37539,36893,37039,1,0,0,0,0,0,
9,4,1,5,37539,40080,2,0,40233,40733,40080,40233,1,0,0,0,0,0,
9,4,1,5,40733,41092,0,1,41359,41859,41092,41359,1,0,0,0,0,0,
9,3,1,5,41859,42188,0,1,0,0,42188,42588,0,0,0,0,42588,42763,
10,4,1,5,43763,44340,2,0,44562,45062,44340,44562,0,1,0,0,0,0,
10,4,1,5,45062,45071,0,0,45334,45834,45071,45334,1,0,0,0,0,0,
10,3,1,5,45834,46840,0,1,0,0,46840,47240,0,0,0,0,47240,47388,
11,3,1,5,48388,48705,0,1,0,0,48705,49105,0,0,0,0,49105,49132,
12,4,1,5,50132,50178,0,0,50250,50750,50178,50250,0,1,0,0,0,0,
12,4,1,5,50750,51055,0,0,51178,51678,51055,51178,0,1,0,0,0,0,
12,4,1,5,51678,51896,0,0,52202,52702,51896,52202,1,0,0,0,0,0,
12,4,1,5,52702,52978,0,0,53200,53700,52978,53200,0,1,0,0,0,0,
12,4,1,5,53700,53845,0,0,54244,54744,53845,54244,0,1,0,0,0,0,
12,3,1,5,54744,54930,0,0,0,0,54930,55330,0,0,0,0,55330,55357,
13,3,1,5,56357,56822,0,1,0,0,56822,57222,0,0,0,0,57222,57696,
14,3,1,5,58696,58774,0,0,0,0,58774,59174,0,0,0,0,59174,59581,
15,3,1,5,60581,60758,0,0,0,0,60758,61158,0,0,0,0,61158,61641,
16,3,1,5,62641,63720,0,0,0,0,63720,64120,0,0,0,0,64120,64341,
17,0,1,5,65341,66444,0,0,0,0,66444,66844,0,0,0,0,66844,67773,
18,0,1,6,67773,67838,0,0,0,0,67838,68238,0,0,0,0,68238,68366,
19,1,0,7,68366,68425,0,0,0,0,68425,68825,0,0,68825,69804,0,0,
20,4,0,7,70804,82011,0,10,82215,82715,82011,82215,1,0,0,0,0,0,
20,4,0,7,82715,83438,0,0,83634,84134,83438,83634,1,0,0,0,0,0,
20,1,0,7,84134,84563,0,0,0,0,84563,84963,0,0,84963,85023,0,0,
21,4,0,7,86023,88521,0,2,88870,89370,88521,88870,1,0,0,0,0,0,
21,4,0,7,89370,89585,0,0,89950,90450,89585,89950,0,1,0,0,0,0,
21,4,0,7,90450,90811,0,0,91197,91697,90811,91197,0,1,0,0,0,0,
21,4,0,7,91697,92438,1,0,92830,93330,92438,92830,1,0,0,0,0,0,
21,4,0,7,93330,93892,0,1,94281,94781,93892,94281,0,1,0,0,0,0,
21,4,0,7,94781,95146,0,0,95372,95872,95146,95372,1,0,0,0,0,0,
21,4,0,7,95872,97622,0,2,97862,98362,97622,97862,1,0,0,0,0,0,
