STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,02-Nov-2017
Time,11:49
Box Index,1
ExptType,0
SessionRecord,37

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB3_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,171262
Pellet Count,84
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
73,105,
SensorTC
S(1),
442,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,
Control,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,
Frequency,8000,2000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,8000,2000,2000,8000,8000,2000,2000,2000,2000,2000,8000,8000,8000,8000,2000,2000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,8000,2000,2000,8000,2000,2000,2000,8000,8000,8000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,8000,2000,8000,2000,2000,8000,8000,2000,2000,8000,2000,2000,2000,8000,8000,2000,8000,8000,2000,8000,
Amplitude,66,83,83,66,83,83,66,83,66,66,83,66,66,83,66,83,83,66,83,66,66,66,66,83,83,66,66,83,83,83,83,83,66,66,66,66,83,83,66,83,83,83,83,66,83,66,66,66,66,83,83,66,83,83,83,66,66,66,66,83,83,66,66,83,66,66,83,83,83,66,66,83,83,83,66,66,66,83,83,66,66,83,66,83,83,66,66,83,83,66,83,83,83,66,66,83,66,66,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,1,0,0,620,0,3,0,0,620,1020,0,0,0,0,1020,1100,
1,4,0,1,1100,1231,0,0,1611,2111,1231,1611,1,0,0,0,0,0,
1,1,0,1,2111,5629,5,0,0,0,5629,6029,0,0,6029,6079,0,0,
2,0,0,1,7079,9468,0,1,0,0,9468,9868,0,0,9868,10125,0,0,
3,0,0,2,10125,10233,0,0,0,0,10233,10633,0,0,10633,10739,0,0,
4,0,1,3,10739,10940,0,0,0,0,10940,11340,0,0,0,0,11340,11516,
5,0,0,4,11516,11611,0,0,0,0,11611,12011,0,0,12011,12155,0,0,
6,4,0,5,12155,12255,0,0,12635,13135,12255,12635,1,0,0,0,0,0,
6,0,0,5,13135,13436,0,1,0,0,13436,13836,0,0,13836,13966,0,0,
7,4,1,6,13966,14155,0,0,14553,15053,14155,14553,0,1,0,0,0,0,
7,3,1,6,15053,15509,0,0,0,0,15509,15909,0,0,0,0,15909,16479,
8,0,1,6,17479,18076,0,1,0,0,18076,18476,0,0,0,0,18476,18819,
9,4,0,7,18819,18909,0,0,19288,19788,18909,19288,0,1,0,0,0,0,
9,1,0,7,19788,20434,0,1,0,0,20434,20834,0,0,20834,20840,0,0,
10,4,0,7,21840,22856,4,0,23253,23753,22856,23253,1,0,0,0,0,0,
10,0,0,7,23753,24587,0,1,0,0,24587,24987,0,0,24987,25099,0,0,
11,3,1,8,25099,25186,0,0,0,0,25186,25586,0,0,0,0,25586,25907,
12,0,1,8,26907,26970,0,0,0,0,26970,27370,0,0,0,0,27370,27797,
13,4,1,9,27797,27904,0,0,28210,28710,27904,28210,0,1,0,0,0,0,
13,0,1,9,28710,29792,0,1,0,0,29792,30192,0,0,0,0,30192,30213,
14,0,0,10,30213,30295,0,0,0,0,30295,30695,0,0,30695,30869,0,0,
15,0,1,11,30869,31022,0,0,0,0,31022,31422,0,0,0,0,31422,31675,
16,4,1,12,31675,31814,0,0,32046,32546,31814,32046,0,1,0,0,0,0,
16,0,1,12,32546,33765,1,2,0,0,33765,34165,0,0,0,0,34165,34331,
17,4,0,13,34331,34468,0,0,34852,35352,34468,34852,0,1,0,0,0,0,
17,4,0,13,35352,37330,1,1,37567,38067,37330,37567,0,1,0,0,0,0,
17,4,0,13,38067,42981,2,0,43343,43843,42981,43343,0,1,0,0,0,0,
17,0,0,13,43843,44713,0,1,0,0,44713,45113,0,0,45113,45232,0,0,
18,3,1,14,45232,45326,0,0,0,0,45326,45726,0,0,0,0,45726,45766,
19,0,1,14,46766,47358,0,1,0,0,47358,47758,0,0,0,0,47758,47933,
20,0,0,15,47933,48085,0,0,0,0,48085,48485,0,0,48485,48654,0,0,
21,0,0,16,48654,48748,0,0,0,0,48748,49148,0,0,49148,49418,0,0,
22,0,1,17,49418,49621,0,0,0,0,49621,50021,0,0,0,0,50021,50071,
23,0,0,18,50071,50167,0,0,0,0,50167,50567,0,0,50567,50722,0,0,
24,0,1,19,50722,50824,0,0,0,0,50824,51224,0,0,0,0,51224,51408,
25,4,1,20,51408,51492,0,0,51870,52370,51492,51870,0,1,0,0,0,0,
25,0,1,20,52370,53175,0,1,0,0,53175,53575,0,0,0,0,53575,53854,
26,0,1,21,53854,53995,0,0,0,0,53995,54395,0,0,0,0,54395,54403,
27,4,1,22,54403,54484,0,0,54857,55357,54484,54857,0,1,0,0,0,0,
27,4,1,22,55357,55661,0,0,55981,56481,55661,55981,1,0,0,0,0,0,
27,0,1,22,56481,57188,0,1,0,0,57188,57588,0,0,0,0,57588,57756,
28,0,0,23,57756,57835,0,0,0,0,57835,58235,0,0,58235,58380,0,0,
29,0,0,24,58380,58514,0,0,0,0,58514,58914,0,0,58914,59157,0,0,
30,0,1,25,59157,59315,0,0,0,0,59315,59715,0,0,0,0,59715,59942,
31,0,1,26,59942,60031,0,0,0,0,60031,60431,0,0,0,0,60431,60643,
32,4,0,27,60643,60864,0,0,61246,61746,60864,61246,0,1,0,0,0,0,
32,1,0,27,61746,62090,0,0,0,0,62090,62490,0,0,62490,62499,0,0,
33,4,0,27,63499,64781,0,0,65166,65666,64781,65166,0,1,0,0,0,0,
33,0,0,27,65666,66582,0,1,0,0,66582,66982,0,0,66982,67097,0,0,
34,4,0,28,67097,67203,0,0,67576,68076,67203,67576,0,1,0,0,0,0,
34,0,0,28,68076,68132,0,0,0,0,68132,68532,0,0,68532,68635,0,0,
35,0,0,29,68635,68890,0,0,0,0,68890,69290,0,0,69290,69405,0,0,
36,1,0,30,69405,69529,0,0,0,0,69529,69929,0,0,69929,69970,0,0,
37,0,0,30,70970,71541,1,0,0,0,71541,71941,0,0,71941,72074,0,0,
38,0,0,31,72074,72180,0,0,0,0,72180,72580,0,0,72580,72769,0,0,
39,0,1,32,72769,72884,0,0,0,0,72884,73284,0,0,0,0,73284,73489,
40,0,1,33,73489,73576,0,0,0,0,73576,73976,0,0,0,0,73976,74092,
41,0,1,34,74092,74172,0,0,0,0,74172,74572,0,0,0,0,74572,74593,
42,4,1,35,74593,74686,0,0,74943,75443,74686,74943,0,1,0,0,0,0,
