STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,07-Feb-2019
Time,9:14
Box Index,1
ExptType,0
SessionRecord,19

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB7_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,256661
Pellet Count,68
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
84,186,
SensorTC
S(1),
650,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,
Control,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,
Frequency,2000,2000,2000,8000,8000,8000,8000,8000,2000,2000,8000,2000,2000,2000,8000,2000,2000,8000,8000,8000,8000,2000,8000,2000,8000,2000,2000,8000,2000,8000,2000,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,8000,2000,2000,2000,2000,8000,8000,2000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,8000,8000,2000,8000,2000,8000,8000,8000,2000,8000,2000,8000,2000,2000,2000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,8000,
Amplitude,83,83,83,66,66,66,66,66,83,83,66,83,83,83,66,83,83,66,66,66,66,83,66,83,66,83,83,66,83,66,83,66,83,66,83,66,66,66,83,83,83,83,66,83,66,66,66,66,83,83,83,83,66,66,83,66,83,83,66,66,83,66,66,83,83,66,66,83,66,83,66,66,66,83,66,83,66,83,83,83,83,66,83,83,66,83,66,66,83,66,83,83,66,83,66,66,83,66,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,0,0,0,161,0,0,375,1375,161,375,1,0,0,0,0,0,
0,4,0,0,1375,1456,0,0,1592,2592,1456,1592,1,0,0,0,0,0,
0,4,0,0,2592,2705,1,0,2830,3830,2705,2830,1,0,0,0,0,0,
0,4,0,0,3830,3892,0,0,4104,5104,3892,4104,1,0,0,0,0,0,
0,4,0,0,5104,11682,0,3,11819,12819,11682,11819,0,1,0,0,0,0,
0,2,0,0,12819,17981,0,0,0,0,17981,18281,0,0,18281,20281,0,0,
1,2,0,0,20781,21624,0,3,0,0,21624,21924,0,0,21924,23924,0,0,
2,0,0,0,24424,24582,0,1,0,0,24582,24882,0,0,24882,26034,0,0,
3,0,0,1,26034,26112,0,0,0,0,26112,26412,0,0,26412,26659,0,0,
4,0,0,2,26659,26758,0,0,0,0,26758,27058,0,0,27058,27125,0,0,
5,3,1,3,27125,27240,0,0,0,0,27240,27540,0,0,0,0,27540,27650,
6,4,1,3,28650,29174,4,0,29270,30270,29174,29270,0,1,0,0,0,0,
6,3,1,3,30270,31412,0,1,0,0,31412,31712,0,0,0,0,31712,31958,
7,0,1,3,32958,36348,0,1,0,0,36348,36648,0,0,0,0,36648,36679,
8,4,1,4,36679,36736,0,0,36941,37941,36736,36941,0,1,0,0,0,0,
8,3,1,4,37941,38264,0,0,0,0,38264,38564,0,0,0,0,38564,38566,
9,0,1,4,39566,39729,0,1,0,0,39729,40029,0,0,0,0,40029,41006,
10,4,1,5,41006,41061,0,0,41298,42298,41061,41298,0,1,0,0,0,0,
10,4,1,5,42298,42317,0,0,42558,43558,42317,42558,1,0,0,0,0,0,
10,4,1,5,43558,44137,0,2,44412,45412,44137,44412,1,0,0,0,0,0,
10,4,1,5,45412,45706,0,2,45926,46926,45706,45926,0,1,0,0,0,0,
10,4,1,5,46926,48466,0,1,48636,49636,48466,48636,0,1,0,0,0,0,
10,3,1,5,49636,50309,0,1,0,0,50309,50609,0,0,0,0,50609,51198,
11,3,1,5,52198,53367,0,1,0,0,53367,53667,0,0,0,0,53667,53734,
12,4,1,5,54734,55253,0,1,55491,56491,55253,55491,0,1,0,0,0,0,
12,4,1,5,56491,56666,0,0,56912,57912,56666,56912,1,0,0,0,0,0,
12,4,1,5,57912,58082,0,1,58287,59287,58082,58287,0,1,0,0,0,0,
12,4,1,5,59287,59427,0,0,59638,60638,59427,59638,0,1,0,0,0,0,
12,4,1,5,60638,60657,0,0,60790,61790,60657,60790,0,1,0,0,0,0,
12,3,1,5,61790,62076,0,1,0,0,62076,62376,0,0,0,0,62376,62512,
13,4,1,5,63512,66647,0,0,66813,67813,66647,66813,0,1,0,0,0,0,
13,4,1,5,67813,67928,0,0,67999,68999,67928,67999,0,1,0,0,0,0,
13,4,1,5,68999,70974,1,0,71232,72232,70974,71232,0,1,0,0,0,0,
13,3,1,5,72232,72670,0,1,0,0,72670,72970,0,0,0,0,72970,73114,
14,4,1,5,74114,74120,0,0,74189,75189,74120,74189,0,1,0,0,0,0,
14,4,1,5,75189,75475,0,2,75743,76743,75475,75743,0,1,0,0,0,0,
14,4,1,5,76743,76874,0,0,76958,77958,76874,76958,0,1,0,0,0,0,
14,4,1,5,77958,78309,0,1,78558,79558,78309,78558,0,1,0,0,0,0,
14,0,1,5,79558,80180,0,1,0,0,80180,80480,0,0,0,0,80480,80601,
15,0,1,6,80601,80658,0,0,0,0,80658,80958,0,0,0,0,80958,81025,
16,0,1,7,81025,81086,0,0,0,0,81086,81386,0,0,0,0,81386,81860,
17,1,0,8,81860,81922,0,0,0,0,81922,82222,0,0,82222,82238,0,0,
18,4,0,8,83238,83493,0,0,83718,84718,83493,83718,0,1,0,0,0,0,
18,4,0,8,84718,86887,0,0,86971,87971,86887,86971,0,1,0,0,0,0,
18,4,0,8,87971,88053,0,0,88328,89328,88053,88328,0,1,0,0,0,0,
18,0,0,8,89328,89994,0,0,0,0,89994,90294,0,0,90294,90457,0,0,
19,0,0,9,90457,90499,0,0,0,0,90499,90799,0,0,90799,91116,0,0,
20,0,1,10,91116,91171,0,0,0,0,91171,91471,0,0,0,0,91471,91822,
21,1,0,11,91822,91873,0,0,0,0,91873,92173,0,0,92173,92370,0,0,
22,0,0,11,93370,93579,0,1,0,0,93579,93879,0,0,93879,94062,0,0,
23,0,0,12,94062,94120,0,0,0,0,94120,94420,0,0,94420,94729,0,0,
24,1,0,13,94729,94821,0,0,0,0,94821,95121,0,0,95121,95256,0,0,
25,4,0,13,96256,96523,0,0,96618,97618,96523,96618,0,1,0,0,0,0,
25,0,0,13,97618,98174,0,1,0,0,98174,98474,0,0,98474,98585,0,0,
26,0,1,14,98585,98641,0,0,0,0,98641,98941,0,0,0,0,98941,99034,
27,4,0,15,99034,99090,0,0,99219,100219,99090,99219,0,1,0,0,0,0,
27,4,0,15,100219,102375,0,1,102635,103635,102375,102635,0,1,0,0,0,0,
27,0,0,15,103635,104102,0,0,0,0,104102,104402,0,0,104402,104500,0,0,
28,0,0,16,104500,104553,0,0,0,0,104553,104853,0,0,104853,105021,0,0,
