STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,10-Feb-2017
Time,10:14
Box Index,1
ExptType,0
SessionRecord,24

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH5_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,183012
Pellet Count,66
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
75,100,
SensorTC
S(1),
457,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,
Control,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,
Frequency,2000,2000,8000,2000,8000,8000,2000,8000,2000,8000,2000,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,8000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,2000,8000,2000,8000,8000,2000,8000,8000,2000,2000,2000,2000,2000,8000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,2000,
Amplitude,83,83,66,83,66,66,83,66,83,66,83,66,83,66,66,83,83,66,83,66,83,83,66,83,66,66,83,66,83,66,66,66,83,83,83,83,66,66,66,83,83,66,83,66,66,83,66,83,83,66,83,83,66,83,66,83,66,66,83,66,66,83,83,83,83,83,66,66,66,66,83,66,83,83,66,83,83,66,66,66,66,66,66,83,66,83,83,66,83,83,66,83,66,66,66,83,66,83,83,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,0,0,0,643,0,0,0,0,643,993,0,0,993,1184,0,0,
1,0,0,1,1184,1298,0,0,0,0,1298,1648,0,0,1648,1766,0,0,
2,4,1,2,1766,1885,0,0,2174,2674,1885,2174,1,0,0,0,0,0,
2,0,1,2,2674,3427,0,0,0,0,3427,3777,0,0,0,0,3777,3848,
3,4,0,3,3848,3945,0,0,4181,4681,3945,4181,1,0,0,0,0,0,
3,0,0,3,4681,6025,1,0,0,0,6025,6375,0,0,6375,6545,0,0,
4,4,1,4,6545,6641,0,0,6889,7389,6641,6889,0,1,0,0,0,0,
4,0,1,4,7389,10261,0,0,0,0,10261,10611,0,0,0,0,10611,10614,
5,4,1,5,10614,10707,0,0,11043,11543,10707,11043,0,1,0,0,0,0,
5,0,1,5,11543,11796,1,2,0,0,11796,12146,0,0,0,0,12146,12148,
6,4,0,6,12148,12265,0,0,12507,13007,12265,12507,0,1,0,0,0,0,
6,4,0,6,13007,14658,0,0,14976,15476,14658,14976,0,1,0,0,0,0,
6,4,0,6,15476,15889,0,0,16214,16714,15889,16214,0,1,0,0,0,0,
6,4,0,6,16714,17030,0,1,17348,17848,17030,17348,0,1,0,0,0,0,
6,0,0,6,17848,18652,2,0,0,0,18652,19002,0,0,19002,19133,0,0,
7,0,1,7,19133,19241,0,0,0,0,19241,19591,0,0,0,0,19591,19740,
8,4,0,8,19740,19825,0,0,20116,20616,19825,20116,0,1,0,0,0,0,
8,4,0,8,20616,20689,0,0,20884,21384,20689,20884,0,1,0,0,0,0,
8,0,0,8,21384,21646,0,0,0,0,21646,21996,0,0,21996,22110,0,0,
9,0,1,9,22110,22220,0,0,0,0,22220,22570,0,0,0,0,22570,22621,
10,0,0,10,22621,22722,0,0,0,0,22722,23072,0,0,23072,23088,0,0,
11,0,1,11,23088,23184,0,0,0,0,23184,23534,0,0,0,0,23534,23554,
12,1,0,12,23554,23597,0,0,0,0,23597,23947,0,0,23947,24028,0,0,
13,0,0,12,25028,25392,0,3,0,0,25392,25742,0,0,25742,25876,0,0,
14,0,1,13,25876,25962,0,0,0,0,25962,26312,0,0,0,0,26312,26493,
15,0,1,14,26493,26592,0,0,0,0,26592,26942,0,0,0,0,26942,26971,
16,0,0,15,26971,27073,0,0,0,0,27073,27423,0,0,27423,27442,0,0,
17,0,0,16,27442,27552,0,0,0,0,27552,27902,0,0,27902,27963,0,0,
18,3,1,17,27963,28107,0,0,0,0,28107,28457,0,0,0,0,28457,28997,
19,3,1,17,29997,30136,0,1,0,0,30136,30486,0,0,0,0,30486,30763,
20,4,1,17,31763,32467,0,0,32742,33242,32467,32742,0,1,0,0,0,0,
20,4,1,17,33242,33654,0,0,33780,34280,33654,33780,0,1,0,0,0,0,
20,0,1,17,34280,34459,0,0,0,0,34459,34809,0,0,0,0,34809,34855,
21,0,0,18,34855,34939,0,0,0,0,34939,35289,0,0,35289,35347,0,0,
22,0,1,19,35347,35468,0,0,0,0,35468,35818,0,0,0,0,35818,35873,
23,4,0,20,35873,35967,0,0,36198,36698,35967,36198,0,1,0,0,0,0,
23,4,0,20,36698,37200,0,0,37485,37985,37200,37485,0,1,0,0,0,0,
23,4,0,20,37985,38377,0,1,38706,39206,38377,38706,1,0,0,0,0,0,
23,0,0,20,39206,39559,0,0,0,0,39559,39909,0,0,39909,40015,0,0,
24,1,0,21,40015,40119,0,0,0,0,40119,40469,0,0,40469,40528,0,0,
25,4,0,21,41528,41736,0,0,41830,42330,41736,41830,0,1,0,0,0,0,
25,1,0,21,42330,43586,1,0,0,0,43586,43936,0,0,43936,44157,0,0,
26,4,0,21,45157,45725,0,0,45982,46482,45725,45982,0,1,0,0,0,0,
26,1,0,21,46482,46779,0,1,0,0,46779,47129,0,0,47129,47231,0,0,
27,0,0,21,48231,48636,0,0,0,0,48636,48986,0,0,48986,49046,0,0,
28,3,1,22,49046,49143,0,0,0,0,49143,49493,0,0,0,0,49493,49528,
29,4,1,22,50528,51012,0,0,51307,51807,51012,51307,0,1,0,0,0,0,
29,0,1,22,51807,53479,0,0,0,0,53479,53829,0,0,0,0,53829,54001,
30,1,0,23,54001,54103,0,0,0,0,54103,54453,0,0,54453,54498,0,0,
31,0,0,23,55498,55892,0,0,0,0,55892,56242,0,0,56242,56531,0,0,
32,3,1,24,56531,56611,0,0,0,0,56611,56961,0,0,0,0,56961,56966,
33,4,1,24,57966,58570,0,0,58904,59404,58570,58904,0,1,0,0,0,0,
33,4,1,24,59404,59999,0,0,60271,60771,59999,60271,1,0,0,0,0,0,
33,0,1,24,60771,61094,0,0,0,0,61094,61444,0,0,0,0,61444,61673,
34,0,1,25,61673,61880,0,0,0,0,61880,62230,0,0,0,0,62230,62332,
35,0,0,26,62332,62434,0,0,0,0,62434,62784,0,0,62784,62921,0,0,
36,3,1,27,62921,63008,0,0,0,0,63008,63358,0,0,0,0,63358,63525,
37,3,1,27,64525,64634,0,0,0,0,64634,64984,0,0,0,0,64984,65237,
38,0,1,27,66237,66300,0,0,0,0,66300,66650,0,0,0,0,66650,67173,
