STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,12-Oct-2018
Time,9:13
Box Index,1
ExptType,0
SessionRecord,75

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB6_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,193916
Pellet Count,45
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
92,121,
SensorTC
S(1),
589,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,
Control,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,
Frequency,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,2000,2000,8000,8000,2000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,8000,8000,8000,8000,2000,2000,2000,8000,2000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,8000,8000,2000,8000,2000,2000,2000,2000,8000,8000,
Amplitude,66,83,66,83,66,66,66,83,83,83,83,83,66,66,83,66,83,83,66,66,83,66,66,83,83,66,66,83,66,83,83,83,66,66,83,83,66,66,83,66,66,83,83,66,66,66,66,83,83,83,66,83,83,66,66,66,83,66,83,83,83,66,66,66,83,83,83,66,83,66,83,83,66,66,66,83,83,66,66,83,66,83,83,83,66,66,66,83,83,66,66,66,83,66,83,83,83,83,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,1,1,0,0,265,0,1,0,0,265,615,0,0,615,1825,0,0,
1,1,1,0,2825,2955,0,1,0,0,2955,3305,0,0,3305,3324,0,0,
2,4,1,0,4324,4861,1,0,5088,5588,4861,5088,1,0,0,0,0,0,
2,4,1,0,5588,6596,3,0,6886,7386,6596,6886,0,1,0,0,0,0,
2,0,1,0,7386,7778,0,2,0,0,7778,8128,0,0,8128,8419,0,0,
3,0,0,1,8419,8541,0,0,0,0,8541,8891,0,0,0,0,8891,8912,
4,1,1,2,8912,8974,0,0,0,0,8974,9324,0,0,9324,9407,0,0,
5,0,1,2,10407,11184,0,1,0,0,11184,11534,0,0,11534,11725,0,0,
6,4,0,3,11725,11843,0,0,12031,12531,11843,12031,1,0,0,0,0,0,
6,3,0,3,12531,12952,0,0,0,0,12952,13302,0,0,0,0,13302,13486,
7,4,0,3,14486,14496,0,0,14753,15253,14496,14753,1,0,0,0,0,0,
7,3,0,3,15253,15746,0,2,0,0,15746,16096,0,0,0,0,16096,16619,
8,3,0,3,17619,18082,0,0,0,0,18082,18432,0,0,0,0,18432,18734,
9,0,0,3,19734,19923,0,1,0,0,19923,20273,0,0,0,0,20273,20663,
10,4,1,4,20663,20730,0,0,21064,21564,20730,21064,0,1,0,0,0,0,
10,4,1,4,21564,21891,0,0,21987,22487,21891,21987,0,1,0,0,0,0,
10,0,1,4,22487,22830,0,1,0,0,22830,23180,0,0,23180,23407,0,0,
11,0,1,5,23407,23475,0,0,0,0,23475,23825,0,0,23825,23852,0,0,
12,0,1,6,23852,23952,0,0,0,0,23952,24302,0,0,24302,24933,0,0,
13,0,0,7,24933,25004,0,0,0,0,25004,25354,0,0,0,0,25354,25416,
14,4,0,8,25416,25482,0,0,25830,26330,25482,25830,0,1,0,0,0,0,
14,4,0,8,26330,26681,1,0,26808,27308,26681,26808,1,0,0,0,0,0,
14,3,0,8,27308,27406,0,0,0,0,27406,27756,0,0,0,0,27756,28133,
15,0,0,8,29133,29197,0,0,0,0,29197,29547,0,0,0,0,29547,29975,
16,0,0,9,29975,30030,0,0,0,0,30030,30380,0,0,0,0,30380,30520,
17,0,0,10,30520,30589,0,0,0,0,30589,30939,0,0,0,0,30939,31084,
18,0,0,11,31084,31195,0,0,0,0,31195,31545,0,0,0,0,31545,31606,
19,1,1,12,31606,31684,0,0,0,0,31684,32034,0,0,32034,32091,0,0,
20,1,1,12,33091,33237,0,0,0,0,33237,33587,0,0,33587,33598,0,0,
21,0,1,12,34598,39993,0,0,0,0,39993,40343,0,0,40343,40583,0,0,
22,1,1,13,40583,40649,0,0,0,0,40649,40999,0,0,40999,41535,0,0,
23,4,1,13,42535,42592,0,0,42876,43376,42592,42876,0,1,0,0,0,0,
23,0,1,13,43376,43452,0,0,0,0,43452,43802,0,0,43802,44084,0,0,
24,4,0,14,44084,44149,0,0,44440,44940,44149,44440,1,0,0,0,0,0,
24,4,0,14,44940,45109,0,0,45182,45682,45109,45182,0,1,0,0,0,0,
24,3,0,14,45682,46432,0,0,0,0,46432,46782,0,0,0,0,46782,47188,
25,4,0,14,48188,48192,0,0,48532,49032,48192,48532,0,1,0,0,0,0,
25,3,0,14,49032,49120,0,0,0,0,49120,49470,0,0,0,0,49470,49493,
26,0,0,14,50493,50722,0,0,0,0,50722,51072,0,0,0,0,51072,51350,
27,1,1,15,51350,51452,0,0,0,0,51452,51802,0,0,51802,52280,0,0,
28,4,1,15,53280,53394,0,0,53634,54134,53394,53634,1,0,0,0,0,0,
28,4,1,15,54134,54177,0,0,54319,54819,54177,54319,0,1,0,0,0,0,
28,4,1,15,54819,55069,0,0,55322,55822,55069,55322,1,0,0,0,0,0,
28,1,1,15,55822,55905,0,0,0,0,55905,56255,0,0,56255,56461,0,0,
29,1,1,15,57461,58490,0,0,0,0,58490,58840,0,0,58840,59146,0,0,
30,4,1,15,60146,60280,0,0,60397,60897,60280,60397,0,1,0,0,0,0,
30,1,1,15,60897,60938,0,0,0,0,60938,61288,0,0,61288,61969,0,0,
31,4,1,15,62969,63631,0,0,63973,64473,63631,63973,1,0,0,0,0,0,
31,0,1,15,64473,65357,0,1,0,0,65357,65707,0,0,65707,66028,0,0,
32,0,0,16,66028,66096,0,0,0,0,66096,66446,0,0,0,0,66446,66454,
33,4,0,17,66454,66527,0,0,66873,67373,66527,66873,0,1,0,0,0,0,
33,3,0,17,67373,67916,1,0,0,0,67916,68266,0,0,0,0,68266,68400,
34,3,0,17,69400,69568,0,0,0,0,69568,69918,0,0,0,0,69918,70173,
35,4,0,17,71173,71619,0,0,71806,72306,71619,71806,1,0,0,0,0,0,
35,3,0,17,72306,72535,0,2,0,0,72535,72885,0,0,0,0,72885,72991,
36,3,0,17,73991,74286,0,0,0,0,74286,74636,0,0,0,0,74636,74857,
37,0,0,17,75857,76214,0,1,0,0,76214,76564,0,0,0,0,76564,76819,
38,4,1,18,76819,76881,0,0,77214,77714,76881,77214,0,1,0,0,0,0,
38,1,1,18,77714,78367,0,0,0,0,78367,78717,0,0,78717,78747,0,0,
