STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,23-Mar-2017
Time,13:16
Box Index,1
ExptType,0
SessionRecord,50

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH6_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,145484
Pellet Count,78
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
64,116,
SensorTC
S(1),
354,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,
Control,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,
Frequency,2000,8000,8000,2000,2000,8000,2000,8000,2000,8000,8000,8000,2000,8000,2000,8000,2000,8000,2000,2000,2000,2000,8000,2000,2000,8000,2000,8000,8000,8000,8000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,2000,2000,8000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,8000,2000,8000,8000,2000,8000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,8000,8000,2000,2000,2000,
Amplitude,83,66,66,83,83,66,83,66,83,66,66,66,83,66,83,66,83,66,83,83,83,83,66,83,83,66,83,66,66,66,66,66,66,83,83,83,66,66,83,83,83,66,66,83,66,83,83,66,83,66,83,83,66,83,66,83,66,66,66,83,66,83,83,83,66,66,83,66,66,83,66,66,66,66,83,83,83,83,66,83,66,66,66,83,83,83,83,66,66,83,83,83,66,66,66,66,66,83,83,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,0,0,0,102,0,0,221,721,102,221,1,0,0,0,0,0,
0,4,0,0,721,890,0,1,1236,1736,890,1236,0,1,0,0,0,0,
0,0,0,0,1736,1889,0,3,0,0,1889,2289,0,0,2289,2673,0,0,
1,0,1,1,2673,2713,0,0,0,0,2713,3113,0,0,0,0,3113,3175,
2,0,1,2,3175,3255,0,0,0,0,3255,3655,0,0,0,0,3655,3681,
3,4,0,3,3681,3751,0,0,4031,4531,3751,4031,0,1,0,0,0,0,
3,4,0,3,4531,4713,0,0,4922,5422,4713,4922,0,1,0,0,0,0,
3,0,0,3,5422,6020,0,0,0,0,6020,6420,0,0,6420,6549,0,0,
4,4,0,4,6549,6586,0,0,6952,7452,6586,6952,0,1,0,0,0,0,
4,4,0,4,7452,7517,0,0,7839,8339,7517,7839,0,1,0,0,0,0,
4,0,0,4,8339,8544,0,0,0,0,8544,8944,0,0,8944,9065,0,0,
5,3,1,5,9065,9099,0,0,0,0,9099,9499,0,0,0,0,9499,9519,
6,0,1,5,10519,10611,0,0,0,0,10611,11011,0,0,0,0,11011,11077,
7,4,0,6,11077,11132,0,0,11459,11959,11132,11459,0,1,0,0,0,0,
7,4,0,6,11959,13764,0,0,14121,14621,13764,14121,0,1,0,0,0,0,
7,4,0,6,14621,15082,0,2,15469,15969,15082,15469,0,1,0,0,0,0,
7,4,0,6,15969,16082,0,0,16409,16909,16082,16409,0,1,0,0,0,0,
7,0,0,6,16909,16931,0,0,0,0,16931,17331,0,0,17331,17540,0,0,
8,0,1,7,17540,17576,0,0,0,0,17576,17976,0,0,0,0,17976,18300,
9,4,0,8,18300,18363,0,0,18657,19157,18363,18657,0,1,0,0,0,0,
9,4,0,8,19157,19750,0,0,20125,20625,19750,20125,0,1,0,0,0,0,
9,0,0,8,20625,21119,0,1,0,0,21119,21519,0,0,21519,21618,0,0,
10,4,1,9,21618,21660,0,0,22045,22545,21660,22045,1,0,0,0,0,0,
10,4,1,9,22545,23573,0,0,23911,24411,23573,23911,0,1,0,0,0,0,
10,4,1,9,24411,26558,0,0,26858,27358,26558,26858,0,1,0,0,0,0,
10,4,1,9,27358,27480,0,0,27804,28304,27480,27804,0,1,0,0,0,0,
10,0,1,9,28304,30095,0,0,0,0,30095,30495,0,0,0,0,30495,30625,
11,0,1,10,30625,30694,0,0,0,0,30694,31094,0,0,0,0,31094,31157,
12,0,1,11,31157,31238,0,0,0,0,31238,31638,0,0,0,0,31638,31733,
13,4,0,12,31733,31825,0,0,32182,32682,31825,32182,0,1,0,0,0,0,
13,0,0,12,32682,33057,0,1,0,0,33057,33457,0,0,33457,33564,0,0,
14,3,1,13,33564,33598,0,0,0,0,33598,33998,0,0,0,0,33998,34021,
15,4,1,13,35021,37502,0,0,37826,38326,37502,37826,0,1,0,0,0,0,
15,4,1,13,38326,38704,0,0,38985,39485,38704,38985,0,1,0,0,0,0,
15,4,1,13,39485,39570,0,0,39951,40451,39570,39951,0,1,0,0,0,0,
15,0,1,13,40451,40507,0,0,0,0,40507,40907,0,0,0,0,40907,41064,
16,4,0,14,41064,41124,0,0,41469,41969,41124,41469,0,1,0,0,0,0,
16,0,0,14,41969,42582,0,0,0,0,42582,42982,0,0,42982,43075,0,0,
17,0,1,15,43075,43124,0,0,0,0,43124,43524,0,0,0,0,43524,43699,
18,0,0,16,43699,43773,0,0,0,0,43773,44173,0,0,44173,44263,0,0,
19,0,1,17,44263,44318,0,0,0,0,44318,44718,0,0,0,0,44718,44729,
20,1,0,18,44729,44829,0,0,0,0,44829,45229,0,0,45229,45241,0,0,
21,0,0,18,46241,46676,0,2,0,0,46676,47076,0,0,47076,47196,0,0,
22,1,0,19,47196,47239,0,0,0,0,47239,47639,0,0,47639,47659,0,0,
23,0,0,19,48659,49305,0,0,0,0,49305,49705,0,0,49705,49862,0,0,
24,0,0,20,49862,49910,0,0,0,0,49910,50310,0,0,50310,50412,0,0,
25,4,0,21,50412,50482,0,0,50877,51377,50482,50877,0,1,0,0,0,0,
25,4,0,21,51377,51959,0,0,52270,52770,51959,52270,1,0,0,0,0,0,
25,1,0,21,52770,54003,0,0,0,0,54003,54403,0,0,54403,54411,0,0,
26,4,0,21,55411,55633,0,1,56023,56523,55633,56023,0,1,0,0,0,0,
26,0,0,21,56523,56735,0,0,0,0,56735,57135,0,0,57135,57238,0,0,
27,0,1,22,57238,57283,0,0,0,0,57283,57683,0,0,0,0,57683,57742,
28,4,0,23,57742,57800,0,0,58151,58651,57800,58151,0,1,0,0,0,0,
28,0,0,23,58651,58921,1,1,0,0,58921,59321,0,0,59321,59450,0,0,
29,1,0,24,59450,59493,0,0,0,0,59493,59893,0,0,59893,59902,0,0,
30,0,0,24,60902,61230,0,0,0,0,61230,61630,0,0,61630,61711,0,0,
31,0,1,25,61711,61768,0,0,0,0,61768,62168,0,0,0,0,62168,62253,
32,4,0,26,62253,62314,0,0,62711,63211,62314,62711,0,1,0,0,0,0,
32,0,0,26,63211,63265,0,0,0,0,63265,63665,0,0,63665,63770,0,0,
