STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,25-Aug-2017
Time,10:25
Box Index,1
ExptType,0
SessionRecord,16

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH8_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,120219
Pellet Count,92
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
62,98,
SensorTC
S(1),
551,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,
Control,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,
Frequency,2000,2000,8000,8000,8000,2000,8000,8000,2000,2000,2000,2000,8000,8000,8000,8000,8000,2000,2000,2000,2000,2000,8000,2000,8000,8000,2000,8000,2000,8000,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,2000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,8000,8000,2000,2000,8000,8000,8000,2000,2000,8000,2000,2000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,
Amplitude,83,83,66,66,66,83,66,66,83,83,83,83,66,66,66,66,66,83,83,83,83,83,66,83,66,66,83,66,83,66,66,83,66,66,83,83,66,66,83,83,66,66,83,83,83,83,66,83,66,66,66,83,83,66,66,83,83,83,66,66,83,66,83,83,83,66,66,66,83,66,83,66,66,83,83,66,66,66,83,83,66,83,83,83,66,66,83,83,66,66,83,66,66,83,83,83,66,66,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,0,0,0,761,0,1,0,0,761,1111,0,0,1111,1186,0,0,
1,0,0,1,1186,1296,0,0,0,0,1296,1646,0,0,1646,1860,0,0,
2,0,1,2,1860,1979,0,0,0,0,1979,2329,0,0,0,0,2329,2368,
3,4,1,3,2368,2572,0,0,2901,3401,2572,2901,0,1,0,0,0,0,
3,3,1,3,3401,3540,0,0,0,0,3540,3890,0,0,0,0,3890,3987,
4,4,1,3,4987,6338,0,1,6575,7075,6338,6575,0,1,0,0,0,0,
4,0,1,3,7075,7233,0,2,0,0,7233,7583,0,0,0,0,7583,7773,
5,4,1,4,7773,7885,0,0,8200,8700,7885,8200,0,1,0,0,0,0,
5,0,1,4,8700,9898,0,1,0,0,9898,10248,0,0,0,0,10248,10565,
6,4,0,5,10565,10740,0,0,11076,11576,10740,11076,0,1,0,0,0,0,
6,0,0,5,11576,11900,0,0,0,0,11900,12250,0,0,12250,12362,0,0,
7,0,1,6,12362,12454,0,0,0,0,12454,12804,0,0,0,0,12804,12859,
8,0,1,7,12859,12984,0,0,0,0,12984,13334,0,0,0,0,13334,13569,
9,1,0,8,13569,13668,0,0,0,0,13668,14018,0,0,14018,14067,0,0,
10,4,0,8,15067,16309,0,0,16596,17096,16309,16596,1,0,0,0,0,0,
10,0,0,8,17096,17343,0,2,0,0,17343,17693,0,0,17693,17911,0,0,
11,0,0,9,17911,18050,0,0,0,0,18050,18400,0,0,18400,18484,0,0,
12,4,0,10,18484,18572,0,0,18878,19378,18572,18878,0,1,0,0,0,0,
12,0,0,10,19378,19512,0,1,0,0,19512,19862,0,0,19862,20010,0,0,
13,4,0,11,20010,20102,0,0,20442,20942,20102,20442,0,1,0,0,0,0,
13,4,0,11,20942,21050,0,0,21221,21721,21050,21221,0,1,0,0,0,0,
13,4,0,11,21721,24029,1,0,24218,24718,24029,24218,0,1,0,0,0,0,
13,0,0,11,24718,24993,0,1,0,0,24993,25343,0,0,25343,25561,0,0,
14,0,1,12,25561,25655,0,0,0,0,25655,26005,0,0,0,0,26005,26009,
15,4,1,13,26009,26096,0,0,26408,26908,26096,26408,0,1,0,0,0,0,
15,0,1,13,26908,27422,0,1,0,0,27422,27772,0,0,0,0,27772,28053,
16,0,1,14,28053,28199,0,0,0,0,28199,28549,0,0,0,0,28549,28715,
17,0,1,15,28715,28909,0,0,0,0,28909,29259,0,0,0,0,29259,29427,
18,0,1,16,29427,29615,0,0,0,0,29615,29965,0,0,0,0,29965,29966,
19,0,0,17,29966,30168,0,1,0,0,30168,30518,0,0,30518,30660,0,0,
20,4,0,18,30660,30755,0,0,31104,31604,30755,31104,0,1,0,0,0,0,
20,0,0,18,31604,32633,0,0,0,0,32633,32983,0,0,32983,34218,0,0,
21,4,0,19,34218,34317,0,0,34606,35106,34317,34606,0,1,0,0,0,0,
21,1,0,19,35106,35580,0,0,0,0,35580,35930,0,0,35930,35934,0,0,
22,0,0,19,36934,38587,0,0,0,0,38587,38937,0,0,38937,39145,0,0,
23,0,0,20,39145,39394,0,0,0,0,39394,39744,0,0,39744,39815,0,0,
24,0,0,21,39815,39913,0,0,0,0,39913,40263,0,0,40263,40475,0,0,
25,0,1,22,40475,40583,0,0,0,0,40583,40933,0,0,0,0,40933,40963,
26,0,0,23,40963,41077,0,0,0,0,41077,41427,0,0,41427,41530,0,0,
27,0,1,24,41530,41642,0,0,0,0,41642,41992,0,0,0,0,41992,42020,
28,0,1,25,42020,42148,0,0,0,0,42148,42498,0,0,0,0,42498,42619,
29,0,0,26,42619,42726,0,0,0,0,42726,43076,0,0,43076,43214,0,0,
30,4,1,27,43214,43385,0,0,43733,44233,43385,43733,1,0,0,0,0,0,
30,0,1,27,44233,45595,0,1,0,0,45595,45945,0,0,0,0,45945,46136,
31,0,0,28,46136,46233,0,0,0,0,46233,46583,0,0,46583,46670,0,0,
32,3,1,29,46670,46834,0,0,0,0,46834,47184,0,0,0,0,47184,47309,
33,0,1,29,48309,48587,0,1,0,0,48587,48937,0,0,0,0,48937,49268,
34,0,1,30,49268,49370,0,0,0,0,49370,49720,0,0,0,0,49720,49801,
35,4,0,31,49801,49915,0,0,50230,50730,49915,50230,0,1,0,0,0,0,
35,0,0,31,50730,51168,0,1,0,0,51168,51518,0,0,51518,51728,0,0,
36,0,1,32,51728,51825,0,0,0,0,51825,52175,0,0,0,0,52175,52322,
37,0,1,33,52322,52436,0,0,0,0,52436,52786,0,0,0,0,52786,52912,
38,0,0,34,52912,53002,0,0,0,0,53002,53352,0,0,53352,53558,0,0,
39,0,0,35,53558,53679,0,0,0,0,53679,54029,0,0,54029,54135,0,0,
40,0,1,36,54135,54231,0,0,0,0,54231,54581,0,0,0,0,54581,54628,
41,0,1,37,54628,54728,0,0,0,0,54728,55078,0,0,0,0,55078,55219,
42,0,0,38,55219,55352,0,0,0,0,55352,55702,0,0,55702,55816,0,0,
43,0,0,39,55816,57739,0,0,0,0,57739,58089,0,0,58089,58189,0,0,
44,0,1,40,58189,58325,0,0,0,0,58325,58675,0,0,0,0,58675,58765,
