STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,28-Jul-2017
Time,11:40
Box Index,1
ExptType,0
SessionRecord,69

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB2_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,130943
Pellet Count,81
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
68,111,
SensorTC
S(1),
354,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,
Control,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,
Frequency,8000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,8000,2000,8000,8000,2000,2000,2000,8000,2000,8000,2000,8000,8000,8000,8000,2000,2000,2000,2000,8000,8000,2000,8000,2000,2000,2000,2000,8000,8000,2000,8000,8000,8000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,2000,8000,2000,8000,8000,2000,2000,8000,2000,2000,8000,8000,8000,8000,8000,2000,2000,2000,8000,2000,2000,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,
Amplitude,66,83,66,66,66,83,66,83,83,83,66,83,66,83,83,66,83,83,66,66,66,66,83,66,66,83,83,83,66,83,66,83,66,66,66,66,83,83,83,83,66,66,83,66,83,83,83,83,66,66,83,66,66,66,66,83,66,83,83,83,66,66,66,83,66,83,83,83,66,83,66,83,66,66,83,83,66,83,83,66,66,66,66,66,83,83,83,66,83,83,66,83,66,66,83,83,66,83,66,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,1,0,0,1934,0,0,0,0,1934,2234,0,0,0,0,2234,2240,
1,1,0,1,2240,2330,0,0,0,0,2330,2630,0,0,2630,3292,0,0,
2,4,0,1,4292,5705,0,0,5928,6428,5705,5928,0,1,0,0,0,0,
2,0,0,1,6428,7019,0,1,0,0,7019,7319,0,0,7319,7706,0,0,
3,4,1,2,7706,7793,0,0,8045,8545,7793,8045,0,1,0,0,0,0,
3,3,1,2,8545,10907,0,0,0,0,10907,11207,0,0,0,0,11207,11465,
4,0,1,2,12465,13148,0,1,0,0,13148,13448,0,0,0,0,13448,13864,
5,0,1,3,13864,13957,0,0,0,0,13957,14257,0,0,0,0,14257,14293,
6,0,1,4,14293,14370,0,0,0,0,14370,14670,0,0,0,0,14670,14839,
7,0,0,5,14839,14891,0,0,0,0,14891,15191,0,0,15191,15321,0,0,
8,4,1,6,15321,15408,0,0,15651,16151,15408,15651,0,1,0,0,0,0,
8,0,1,6,16151,16199,0,0,0,0,16199,16499,0,0,0,0,16499,16555,
9,0,0,7,16555,16620,0,0,0,0,16620,16920,0,0,16920,17072,0,0,
10,4,0,8,17072,17173,0,0,17442,17942,17173,17442,0,1,0,0,0,0,
10,0,0,8,17942,20937,1,2,0,0,20937,21237,0,0,21237,21476,0,0,
11,0,0,9,21476,21577,0,0,0,0,21577,21877,0,0,21877,21977,0,0,
12,4,1,10,21977,22078,0,0,22369,22869,22078,22369,0,1,0,0,0,0,
12,4,1,10,22869,23068,1,0,23333,23833,23068,23333,1,0,0,0,0,0,
12,4,1,10,23833,23976,0,0,24213,24713,23976,24213,0,1,0,0,0,0,
12,0,1,10,24713,24968,0,2,0,0,24968,25268,0,0,0,0,25268,25504,
13,4,0,11,25504,25595,0,0,25829,26329,25595,25829,1,0,0,0,0,0,
13,0,0,11,26329,28497,0,0,0,0,28497,28797,0,0,28797,28925,0,0,
14,0,1,12,28925,29021,0,0,0,0,29021,29321,0,0,0,0,29321,29370,
15,4,0,13,29370,29426,0,0,29681,30181,29426,29681,0,1,0,0,0,0,
15,4,0,13,30181,30671,0,1,30913,31413,30671,30913,0,1,0,0,0,0,
15,0,0,13,31413,32660,0,0,0,0,32660,32960,0,0,32960,33126,0,0,
16,0,0,14,33126,33205,0,0,0,0,33205,33505,0,0,33505,33582,0,0,
17,4,1,15,33582,33674,0,0,33953,34453,33674,33953,0,1,0,0,0,0,
17,3,1,15,34453,35116,2,1,0,0,35116,35416,0,0,0,0,35416,35562,
18,0,1,15,36562,36695,0,0,0,0,36695,36995,0,0,0,0,36995,37120,
19,0,0,16,37120,37175,0,0,0,0,37175,37475,0,0,37475,37599,0,0,
20,0,0,17,37599,37700,0,0,0,0,37700,38000,0,0,38000,38190,0,0,
21,4,1,18,38190,38287,0,0,38587,39087,38287,38587,0,1,0,0,0,0,
21,0,1,18,39087,39560,0,1,0,0,39560,39860,0,0,0,0,39860,40211,
22,0,1,19,40211,40264,0,0,0,0,40264,40564,0,0,0,0,40564,40855,
23,0,1,20,40855,40909,0,0,0,0,40909,41209,0,0,0,0,41209,41372,
24,0,1,21,41372,41423,0,0,0,0,41423,41723,0,0,0,0,41723,41864,
25,1,0,22,41864,41913,0,0,0,0,41913,42213,0,0,42213,42215,0,0,
26,0,0,22,43215,43360,0,1,0,0,43360,43660,0,0,43660,43708,0,0,
27,0,1,23,43708,43802,0,0,0,0,43802,44102,0,0,0,0,44102,44315,
28,3,1,24,44315,44369,0,0,0,0,44369,44669,0,0,0,0,44669,44792,
29,4,1,24,45792,45867,0,0,46139,46639,45867,46139,0,1,0,0,0,0,
29,0,1,24,46639,46823,0,1,0,0,46823,47123,0,0,0,0,47123,47146,
30,4,0,25,47146,47224,0,0,47516,48016,47224,47516,0,1,0,0,0,0,
30,0,0,25,48016,48083,0,0,0,0,48083,48383,0,0,48383,48409,0,0,
31,4,0,26,48409,48507,0,0,48771,49271,48507,48771,1,0,0,0,0,0,
31,4,0,26,49271,49451,0,2,49713,50213,49451,49713,1,0,0,0,0,0,
31,4,0,26,50213,50332,0,0,50567,51067,50332,50567,1,0,0,0,0,0,
31,0,0,26,51067,51600,0,0,0,0,51600,51900,0,0,51900,52069,0,0,
32,0,0,27,52069,52143,0,0,0,0,52143,52443,0,0,52443,52880,0,0,
33,0,1,28,52880,52975,0,0,0,0,52975,53275,0,0,0,0,53275,53349,
34,4,0,29,53349,53401,0,0,53677,54177,53401,53677,0,1,0,0,0,0,
34,0,0,29,54177,54254,0,0,0,0,54254,54554,0,0,54554,54785,0,0,
35,4,1,30,54785,54894,0,0,55132,55632,54894,55132,0,1,0,0,0,0,
35,4,1,30,55632,57813,0,0,58066,58566,57813,58066,0,1,0,0,0,0,
35,4,1,30,58566,60850,0,0,61136,61636,60850,61136,0,1,0,0,0,0,
35,4,1,30,61636,62341,0,1,62612,63112,62341,62612,1,0,0,0,0,0,
35,3,1,30,63112,63562,0,2,0,0,63562,63862,0,0,0,0,63862,64015,
36,0,1,30,65015,65165,0,1,0,0,65165,65465,0,0,0,0,65465,65522,
