STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,30-Nov-2017
Time,11:13
Box Index,1
ExptType,0
SessionRecord,54

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH9_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,171535
Pellet Count,77
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
66,121,
SensorTC
S(1),
496,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,
Control,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,
Frequency,2000,8000,2000,8000,2000,2000,8000,8000,8000,2000,8000,2000,8000,8000,2000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,2000,2000,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,2000,2000,8000,2000,2000,2000,8000,8000,8000,8000,2000,2000,2000,8000,2000,8000,8000,8000,2000,8000,
Amplitude,83,66,83,66,83,83,66,66,66,83,66,83,66,66,83,66,83,66,83,83,83,66,66,66,83,66,83,66,83,83,66,66,83,66,83,83,66,66,83,83,83,66,83,66,66,83,83,83,66,66,66,83,66,83,83,83,66,66,83,66,66,83,66,83,83,66,83,66,66,83,66,83,66,83,66,66,66,83,83,83,83,83,66,83,83,83,66,66,66,66,83,83,83,66,83,66,66,66,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,0,0,0,891,0,0,0,0,891,1291,0,0,1291,1755,0,0,
1,0,1,1,1755,1811,0,0,0,0,1811,2211,0,0,0,0,2211,2679,
2,1,0,2,2679,2742,0,0,0,0,2742,3142,0,0,3142,3347,0,0,
3,4,0,2,4347,4538,0,0,4903,5403,4538,4903,0,1,0,0,0,0,
3,4,0,2,5403,6233,1,0,6418,6918,6233,6418,1,0,0,0,0,0,
3,4,0,2,6918,8816,1,0,9191,9691,8816,9191,0,1,0,0,0,0,
3,4,0,2,9691,11375,0,0,11650,12150,11375,11650,0,1,0,0,0,0,
3,4,0,2,12150,12497,0,2,12784,13284,12497,12784,0,1,0,0,0,0,
3,4,0,2,13284,15690,6,0,15725,16225,15690,15725,1,0,0,0,0,0,
3,4,0,2,16225,16402,0,1,16659,17159,16402,16659,0,1,0,0,0,0,
3,0,0,2,17159,17166,0,0,0,0,17166,17566,0,0,17566,17663,0,0,
4,0,1,3,17663,17705,0,0,0,0,17705,18105,0,0,0,0,18105,18141,
5,0,0,4,18141,18215,0,0,0,0,18215,18615,0,0,18615,18740,0,0,
6,1,0,5,18740,18789,0,0,0,0,18789,19189,0,0,19189,19201,0,0,
7,0,0,5,20201,20980,0,1,0,0,20980,21380,0,0,21380,22937,0,0,
8,4,1,6,22937,23063,0,0,23455,23955,23063,23455,0,1,0,0,0,0,
8,4,1,6,23955,24073,0,0,24327,24827,24073,24327,0,1,0,0,0,0,
8,0,1,6,24827,25223,0,2,0,0,25223,25623,0,0,0,0,25623,25739,
9,0,1,7,25739,25807,0,0,0,0,25807,26207,0,0,0,0,26207,26314,
10,3,1,8,26314,26380,0,0,0,0,26380,26780,0,0,0,0,26780,26984,
11,0,1,8,27984,28031,0,0,0,0,28031,28431,0,0,0,0,28431,28889,
12,0,0,9,28889,28948,0,0,0,0,28948,29348,0,0,29348,29450,0,0,
13,0,1,10,29450,29507,0,0,0,0,29507,29907,0,0,0,0,29907,29987,
14,4,0,11,29987,30056,0,0,30406,30906,30056,30406,0,1,0,0,0,0,
14,4,0,11,30906,33102,0,0,33238,33738,33102,33238,0,1,0,0,0,0,
14,0,0,11,33738,34902,0,0,0,0,34902,35302,0,0,35302,35698,0,0,
15,4,1,12,35698,35749,0,0,36106,36606,35749,36106,0,1,0,0,0,0,
15,0,1,12,36606,36686,0,0,0,0,36686,37086,0,0,0,0,37086,37120,
16,4,1,13,37120,37196,0,0,37546,38046,37196,37546,0,1,0,0,0,0,
16,4,1,13,38046,39558,1,0,39859,40359,39558,39859,0,1,0,0,0,0,
16,4,1,13,40359,41077,0,1,41427,41927,41077,41427,0,1,0,0,0,0,
16,4,1,13,41927,42204,0,0,42442,42942,42204,42442,1,0,0,0,0,0,
16,0,1,13,42942,43120,0,0,0,0,43120,43520,0,0,0,0,43520,43550,
17,0,0,14,43550,43614,0,0,0,0,43614,44014,0,0,44014,44166,0,0,
18,0,1,15,44166,44229,0,0,0,0,44229,44629,0,0,0,0,44629,44844,
19,1,0,16,44844,44931,0,0,0,0,44931,45331,0,0,45331,45336,0,0,
20,0,0,16,46336,46372,0,0,0,0,46372,46772,0,0,46772,46931,0,0,
21,0,1,17,46931,46982,0,0,0,0,46982,47382,0,0,0,0,47382,47447,
22,0,0,18,47447,47527,0,0,0,0,47527,47927,0,0,47927,48082,0,0,
23,4,0,19,48082,48132,0,0,48305,48805,48132,48305,0,1,0,0,0,0,
23,4,0,19,48805,49104,0,0,49266,49766,49104,49266,0,1,0,0,0,0,
23,0,0,19,49766,50607,0,1,0,0,50607,51007,0,0,51007,51131,0,0,
24,0,0,20,51131,51194,0,0,0,0,51194,51594,0,0,51594,51840,0,0,
25,0,1,21,51840,51899,0,0,0,0,51899,52299,0,0,0,0,52299,52761,
26,0,1,22,52761,52848,0,0,0,0,52848,53248,0,0,0,0,53248,53478,
27,0,1,23,53478,53561,0,0,0,0,53561,53961,0,0,0,0,53961,54057,
28,0,0,24,54057,54137,0,0,0,0,54137,54537,0,0,54537,54676,0,0,
29,4,1,25,54676,54736,0,0,55110,55610,54736,55110,0,1,0,0,0,0,
29,3,1,25,55610,58657,0,0,0,0,58657,59057,0,0,0,0,59057,59409,
30,0,1,25,60409,62698,0,0,0,0,62698,63098,0,0,0,0,63098,64398,
31,4,0,26,64398,64541,0,0,64797,65297,64541,64797,0,1,0,0,0,0,
31,0,0,26,65297,66694,0,0,0,0,66694,67094,0,0,67094,67477,0,0,
32,0,1,27,67477,67536,0,0,0,0,67536,67936,0,0,0,0,67936,68062,
33,4,0,28,68062,68148,0,0,68512,69012,68148,68512,0,1,0,0,0,0,
33,0,0,28,69012,69025,0,0,0,0,69025,69425,0,0,69425,69534,0,0,
34,0,0,29,69534,69584,0,0,0,0,69584,69984,0,0,69984,70060,0,0,
35,0,1,30,70060,70118,0,0,0,0,70118,70518,0,0,0,0,70518,70558,
36,0,1,31,70558,70650,0,0,0,0,70650,71050,0,0,0,0,71050,71168,
37,0,0,32,71168,71239,0,0,0,0,71239,71639,0,0,71639,71789,0,0,
