STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,01-Feb-2019
Time,9:8
Box Index,1
ExptType,0
SessionRecord,15

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB7_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,360000
Pellet Count,41
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
108,260,
SensorTC
S(1),
621,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,
Control,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,
Frequency,2000,2000,8000,8000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,8000,2000,8000,2000,2000,2000,2000,2000,8000,8000,8000,8000,2000,2000,8000,2000,2000,2000,2000,2000,8000,2000,8000,8000,2000,8000,8000,8000,8000,2000,8000,8000,8000,2000,2000,2000,2000,2000,8000,2000,8000,8000,2000,8000,2000,8000,2000,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,2000,8000,8000,2000,2000,2000,8000,
Amplitude,83,83,66,66,66,66,83,83,83,66,66,66,83,83,83,83,66,83,66,66,66,83,66,66,83,66,83,83,66,83,66,66,66,66,83,66,83,83,83,83,83,66,66,66,66,83,83,66,83,83,83,83,83,66,83,66,66,83,66,66,66,66,83,66,66,66,83,83,83,83,83,66,83,66,66,83,66,83,66,83,66,83,66,66,83,83,66,66,83,83,66,83,66,83,66,66,83,83,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,1,0,0,0,494,0,1,0,0,494,894,0,0,894,2221,0,0,
1,4,0,0,3221,3285,0,0,3485,3985,3285,3485,1,0,0,0,0,0,
1,1,0,0,3985,4608,0,1,0,0,4608,5008,0,0,5008,5121,0,0,
2,1,0,0,6121,6261,0,0,0,0,6261,6661,0,0,6661,6795,0,0,
3,1,0,0,7795,9743,1,1,0,0,9743,10143,0,0,10143,10499,0,0,
4,4,0,0,11499,12644,0,3,12900,13400,12644,12900,1,0,0,0,0,0,
4,1,0,0,13400,16312,5,0,0,0,16312,16712,0,0,16712,18627,0,0,
5,0,0,0,19627,19895,0,1,0,0,19895,20295,0,0,20295,20676,0,0,
6,4,0,1,20676,22568,2,0,22692,23192,22568,22692,0,1,0,0,0,0,
6,4,0,1,23192,26530,1,0,26836,27336,26530,26836,0,1,0,0,0,0,
6,4,0,1,27336,28261,0,1,28528,29028,28261,28528,0,1,0,0,0,0,
6,4,0,1,29028,30872,0,1,31156,31656,30872,31156,1,0,0,0,0,0,
6,1,0,1,31656,33306,1,2,0,0,33306,33706,0,0,33706,33936,0,0,
7,4,0,1,34936,35920,0,1,36284,36784,35920,36284,0,1,0,0,0,0,
7,4,0,1,36784,37114,0,0,37461,37961,37114,37461,1,0,0,0,0,0,
7,4,0,1,37961,38485,0,0,38676,39176,38485,38676,0,1,0,0,0,0,
7,1,0,1,39176,44863,0,2,0,0,44863,45263,0,0,45263,45411,0,0,
8,1,0,1,46411,47712,1,1,0,0,47712,48112,0,0,48112,48315,0,0,
9,4,0,1,49315,49610,0,1,49964,50464,49610,49964,1,0,0,0,0,0,
9,1,0,1,50464,50777,0,1,0,0,50777,51177,0,0,51177,51248,0,0,
10,4,0,1,52248,52995,0,0,53216,53716,52995,53216,0,1,0,0,0,0,
10,4,0,1,53716,54347,0,0,54608,55108,54347,54608,1,0,0,0,0,0,
10,1,0,1,55108,55953,0,0,0,0,55953,56353,0,0,56353,56594,0,0,
11,1,0,1,57594,57823,0,0,0,0,57823,58223,0,0,58223,58230,0,0,
12,4,0,1,59230,59628,0,0,59911,60411,59628,59911,0,1,0,0,0,0,
12,1,0,1,60411,61704,0,0,0,0,61704,62104,0,0,62104,62197,0,0,
13,4,0,1,63197,68605,14,8,68696,69196,68605,68696,0,1,0,0,0,0,
13,4,0,1,69196,72509,0,2,72750,73250,72509,72750,1,0,0,0,0,0,
13,4,0,1,73250,77845,2,1,78044,78544,77845,78044,0,1,0,0,0,0,
13,0,0,1,78544,81775,0,1,0,0,81775,82175,0,0,82175,82385,0,0,
14,3,1,2,82385,82498,0,0,0,0,82498,82898,0,0,0,0,82898,82929,
15,4,1,2,83929,85136,0,2,85208,85708,85136,85208,0,1,0,0,0,0,
15,4,1,2,85708,86359,1,0,86500,87000,86359,86500,1,0,0,0,0,0,
15,4,1,2,87000,87718,0,1,87969,88469,87718,87969,0,1,0,0,0,0,
15,4,1,2,88469,88622,0,0,89004,89504,88622,89004,1,0,0,0,0,0,
15,3,1,2,89504,90142,0,1,0,0,90142,90542,0,0,0,0,90542,90693,
16,0,1,2,91693,92246,0,1,0,0,92246,92646,0,0,0,0,92646,92798,
17,4,1,3,92798,92853,0,0,93244,93744,92853,93244,1,0,0,0,0,0,
17,4,1,3,93744,93856,0,0,94228,94728,93856,94228,0,1,0,0,0,0,
17,4,1,3,94728,95513,0,2,95889,96389,95513,95889,0,1,0,0,0,0,
17,0,1,3,96389,96893,0,2,0,0,96893,97293,0,0,0,0,97293,97396,
18,4,1,4,97396,97446,0,0,97831,98331,97446,97831,0,1,0,0,0,0,
18,4,1,4,98331,98340,0,0,98573,99073,98340,98573,0,1,0,0,0,0,
18,4,1,4,99073,99345,0,0,99417,99917,99345,99417,0,1,0,0,0,0,
18,4,1,4,99917,101587,1,2,101847,102347,101587,101847,0,1,0,0,0,0,
18,3,1,4,102347,102839,1,0,0,0,102839,103239,0,0,0,0,103239,103908,
19,4,1,4,104908,105242,0,1,105483,105983,105242,105483,0,1,0,0,0,0,
19,4,1,4,105983,106702,0,1,107003,107503,106702,107003,0,1,0,0,0,0,
19,4,1,4,107503,108190,0,1,108547,109047,108190,108547,0,1,0,0,0,0,
19,4,1,4,109047,109181,0,0,109500,110000,109181,109500,0,1,0,0,0,0,
19,4,1,4,110000,110237,0,0,110474,110974,110237,110474,0,1,0,0,0,0,
19,0,1,4,110974,111095,0,0,0,0,111095,111495,0,0,0,0,111495,111714,
20,4,1,5,111714,111775,0,0,112113,112613,111775,112113,0,1,0,0,0,0,
20,4,1,5,112613,112747,0,0,113079,113579,112747,113079,0,1,0,0,0,0,
20,2,1,5,113579,113781,0,0,0,0,113781,114181,0,0,0,0,114181,116181,
21,0,1,5,116681,120400,0,1,0,0,120400,120800,0,0,0,0,120800,120895,
22,4,0,6,120895,120985,0,0,121129,121629,120985,121129,0,1,0,0,0,0,
22,4,0,6,121629,122111,0,0,122486,122986,122111,122486,1,0,0,0,0,0,
22,0,0,6,122986,123681,0,1,0,0,123681,124081,0,0,124081,124412,0,0,
