STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,04-Feb-2019
Time,10:21
Box Index,1
ExptType,0
SessionRecord,15

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH14_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,360000
Pellet Count,64
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
131,284,
SensorTC
S(1),
659,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,
Control,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,
Frequency,2000,8000,2000,2000,2000,8000,2000,8000,8000,8000,2000,8000,8000,8000,2000,2000,2000,8000,2000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,8000,2000,8000,2000,8000,2000,2000,2000,2000,8000,2000,8000,2000,8000,8000,8000,2000,8000,2000,8000,8000,2000,2000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,2000,2000,8000,8000,2000,8000,2000,8000,2000,8000,8000,8000,2000,2000,2000,8000,2000,2000,8000,8000,8000,2000,8000,2000,8000,2000,2000,2000,8000,8000,
Amplitude,83,66,83,83,83,66,83,66,66,66,83,66,66,66,83,83,83,66,83,66,83,66,66,83,66,83,83,66,83,66,66,66,83,66,83,66,83,66,83,83,83,83,66,83,66,83,66,66,66,83,66,83,66,66,83,83,66,83,83,66,83,66,83,83,66,66,66,83,83,66,83,83,66,66,83,66,83,66,83,66,66,66,83,83,83,66,83,83,66,66,66,83,66,83,66,83,83,83,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,0,0,0,176,0,0,334,1334,176,334,1,0,0,0,0,0,
0,4,0,0,1334,1579,1,0,1779,2779,1579,1779,0,1,0,0,0,0,
0,1,0,0,2779,3850,0,0,0,0,3850,4250,0,0,4250,4808,0,0,
1,4,0,0,5808,7968,0,0,8130,9130,7968,8130,0,1,0,0,0,0,
1,0,0,0,9130,12409,0,2,0,0,12409,12809,0,0,12809,12918,0,0,
2,4,1,1,12918,13009,0,0,13377,14377,13009,13377,1,0,0,0,0,0,
2,3,1,1,14377,14396,0,0,0,0,14396,14796,0,0,0,0,14796,14864,
3,4,1,1,15864,18632,1,0,18929,19929,18632,18929,0,1,0,0,0,0,
3,4,1,1,19929,21232,0,1,21581,22581,21232,21581,1,0,0,0,0,0,
3,4,1,1,22581,22668,0,0,23038,24038,22668,23038,1,0,0,0,0,0,
3,4,1,1,24038,24209,0,0,24396,25396,24209,24396,0,1,0,0,0,0,
3,4,1,1,25396,33006,3,0,33235,34235,33006,33235,0,1,0,0,0,0,
3,3,1,1,34235,34328,0,0,0,0,34328,34728,0,0,0,0,34728,34770,
4,4,1,1,35770,37916,0,3,38251,39251,37916,38251,0,1,0,0,0,0,
4,0,1,1,39251,39450,0,1,0,0,39450,39850,0,0,0,0,39850,40083,
5,4,0,2,40083,40179,0,0,40494,41494,40179,40494,0,1,0,0,0,0,
5,4,0,2,41494,41582,0,0,41758,42758,41582,41758,1,0,0,0,0,0,
5,0,0,2,42758,44019,0,3,0,0,44019,44419,0,0,44419,44591,0,0,
6,0,0,3,44591,44648,0,0,0,0,44648,45048,0,0,45048,45085,0,0,
7,4,0,4,45085,45145,0,0,45544,46544,45145,45544,1,0,0,0,0,0,
7,4,0,4,46544,48933,0,2,49076,50076,48933,49076,0,1,0,0,0,0,
7,4,0,4,50076,51787,2,1,52169,53169,51787,52169,1,0,0,0,0,0,
7,4,0,4,53169,53421,0,1,53732,54732,53421,53732,0,1,0,0,0,0,
7,0,0,4,54732,57896,1,1,0,0,57896,58296,0,0,58296,58604,0,0,
8,3,1,5,58604,58664,0,0,0,0,58664,59064,0,0,0,0,59064,59093,
9,4,1,5,60093,60337,0,1,60644,61644,60337,60644,0,1,0,0,0,0,
9,4,1,5,61644,65268,0,1,65511,66511,65268,65511,0,1,0,0,0,0,
9,4,1,5,66511,66573,0,0,66843,67843,66573,66843,0,1,0,0,0,0,
9,4,1,5,67843,68353,1,1,68740,69740,68353,68740,0,1,0,0,0,0,
9,3,1,5,69740,69788,0,0,0,0,69788,70188,0,0,0,0,70188,70237,
10,4,1,5,71237,71905,1,1,72280,73280,71905,72280,0,1,0,0,0,0,
10,0,1,5,73280,74098,0,1,0,0,74098,74498,0,0,0,0,74498,75007,
11,4,0,6,75007,75108,0,0,75372,76372,75108,75372,0,1,0,0,0,0,
11,4,0,6,76372,76636,0,2,76797,77797,76636,76797,1,0,0,0,0,0,
11,4,0,6,77797,80219,1,1,80458,81458,80219,80458,1,0,0,0,0,0,
11,0,0,6,81458,83035,0,2,0,0,83035,83435,0,0,83435,83669,0,0,
12,4,1,7,83669,83723,0,0,84093,85093,83723,84093,1,0,0,0,0,0,
12,4,1,7,85093,86924,1,1,87239,88239,86924,87239,0,1,0,0,0,0,
12,3,1,7,88239,88806,0,1,0,0,88806,89206,0,0,0,0,89206,89684,
13,3,1,7,90684,91074,0,1,0,0,91074,91474,0,0,0,0,91474,91946,
14,4,1,7,92946,93026,0,0,93379,94379,93026,93379,0,1,0,0,0,0,
14,4,1,7,94379,94698,0,2,95041,96041,94698,95041,0,1,0,0,0,0,
14,4,1,7,96041,96386,0,1,96683,97683,96386,96683,1,0,0,0,0,0,
14,0,1,7,97683,97687,0,0,0,0,97687,98087,0,0,0,0,98087,98427,
15,0,1,8,98427,98494,0,0,0,0,98494,98894,0,0,0,0,98894,99034,
16,4,1,9,99034,99134,0,0,99434,100434,99134,99434,0,1,0,0,0,0,
16,0,1,9,100434,100677,0,1,0,0,100677,101077,0,0,0,0,101077,101344,
17,0,0,10,101344,101433,0,0,0,0,101433,101833,0,0,101833,101993,0,0,
18,3,1,11,101993,102040,0,0,0,0,102040,102440,0,0,0,0,102440,102648,
19,4,1,11,103648,105101,0,1,105496,106496,105101,105496,0,1,0,0,0,0,
19,3,1,11,106496,106750,0,0,0,0,106750,107150,0,0,0,0,107150,108434,
20,4,1,11,109434,110154,0,1,110433,111433,110154,110433,0,1,0,0,0,0,
20,4,1,11,111433,111656,0,0,111864,112864,111656,111864,1,0,0,0,0,0,
20,3,1,11,112864,115158,0,2,0,0,115158,115558,0,0,0,0,115558,115746,
21,0,1,11,116746,117354,0,1,0,0,117354,117754,0,0,0,0,117754,117850,
22,4,1,12,117850,117917,0,0,118256,119256,117917,118256,1,0,0,0,0,0,
22,0,1,12,119256,119681,0,2,0,0,119681,120081,0,0,0,0,120081,120414,
23,0,1,13,120414,120484,0,0,0,0,120484,120884,0,0,0,0,120884,120985,
24,1,0,14,120985,121048,0,0,0,0,121048,121448,0,0,121448,121500,0,0,
