STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,14-Mar-2017
Time,10:49
Box Index,1
ExptType,0
SessionRecord,43

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH6_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,182754
Pellet Count,75
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
60,100,
SensorTC
S(1),
608,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,
Control,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,
Frequency,8000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,8000,8000,8000,2000,2000,2000,8000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,8000,2000,2000,2000,8000,8000,2000,8000,8000,8000,2000,2000,2000,2000,8000,8000,8000,2000,8000,8000,2000,8000,2000,8000,2000,2000,2000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,8000,8000,8000,2000,2000,8000,2000,2000,8000,2000,8000,
Amplitude,66,66,83,83,66,66,83,66,83,83,83,66,83,83,66,83,83,66,66,66,83,83,66,83,66,83,66,66,66,83,66,83,83,83,66,66,66,66,83,83,83,66,66,83,83,83,66,66,66,83,83,66,66,83,83,83,66,66,83,66,66,66,83,83,83,83,66,66,66,83,66,66,83,66,83,66,83,83,83,66,83,83,66,66,83,66,66,83,83,66,66,66,83,83,66,83,83,66,83,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,0,1,0,0,508,3,0,0,0,508,908,0,0,0,0,908,2192,
1,4,1,1,2192,2273,0,0,2627,3127,2273,2627,0,1,0,0,0,0,
1,4,1,1,3127,3217,0,0,3534,4034,3217,3534,0,1,0,0,0,0,
1,2,1,1,4034,4278,0,0,0,0,4278,4678,0,0,0,0,4678,6678,
2,4,1,1,7178,7834,0,1,8047,8547,7834,8047,1,0,0,0,0,0,
2,4,1,1,8547,10423,0,0,10574,11074,10423,10574,0,1,0,0,0,0,
2,4,1,1,11074,11720,2,0,11956,12456,11720,11956,0,1,0,0,0,0,
2,4,1,1,12456,14860,0,0,15122,15622,14860,15122,0,1,0,0,0,0,
2,0,1,1,15622,15828,0,1,0,0,15828,16228,0,0,0,0,16228,16295,
3,4,0,2,16295,16354,0,0,16735,17235,16354,16735,0,1,0,0,0,0,
3,0,0,2,17235,17346,0,0,0,0,17346,17746,0,0,17746,17816,0,0,
4,0,0,3,17816,17861,0,0,0,0,17861,18261,0,0,18261,18384,0,0,
5,3,1,4,18384,18445,0,0,0,0,18445,18845,0,0,0,0,18845,18885,
6,4,1,4,19885,20165,0,0,20524,21024,20165,20524,0,1,0,0,0,0,
6,4,1,4,21024,23225,0,0,23590,24090,23225,23590,0,1,0,0,0,0,
6,4,1,4,24090,24637,0,0,25021,25521,24637,25021,0,1,0,0,0,0,
6,4,1,4,25521,25647,0,0,25882,26382,25647,25882,0,1,0,0,0,0,
6,4,1,4,26382,27976,0,0,28257,28757,27976,28257,1,0,0,0,0,0,
6,4,1,4,28757,29537,0,1,29933,30433,29537,29933,1,0,0,0,0,0,
6,4,1,4,30433,30476,0,0,30834,31334,30476,30834,0,1,0,0,0,0,
6,0,1,4,31334,31461,0,0,0,0,31461,31861,0,0,0,0,31861,31901,
7,4,1,5,31901,31965,0,0,32326,32826,31965,32326,0,1,0,0,0,0,
7,0,1,5,32826,34682,0,4,0,0,34682,35082,0,0,0,0,35082,36264,
8,0,0,6,36264,36361,0,0,0,0,36361,36761,0,0,36761,36860,0,0,
9,3,1,7,36860,36924,0,0,0,0,36924,37324,0,0,0,0,37324,37508,
10,4,1,7,38508,38718,0,1,39091,39591,38718,39091,0,1,0,0,0,0,
10,4,1,7,39591,39724,0,0,39946,40446,39724,39946,0,1,0,0,0,0,
10,0,1,7,40446,42239,0,0,0,0,42239,42639,0,0,0,0,42639,42754,
11,0,0,8,42754,42816,0,0,0,0,42816,43216,0,0,43216,43333,0,0,
12,4,0,9,43333,43389,0,0,43693,44193,43389,43693,0,1,0,0,0,0,
12,4,0,9,44193,44206,0,0,44506,45006,44206,44506,0,1,0,0,0,0,
12,0,0,9,45006,48884,0,0,0,0,48884,49284,0,0,49284,49368,0,0,
13,4,0,10,49368,49420,0,0,49804,50304,49420,49804,0,1,0,0,0,0,
13,0,0,10,50304,50306,0,0,0,0,50306,50706,0,0,50706,50745,0,0,
14,4,1,11,50745,50802,0,0,51189,51689,50802,51189,0,1,0,0,0,0,
14,4,1,11,51689,51875,0,0,52213,52713,51875,52213,0,1,0,0,0,0,
14,0,1,11,52713,52726,0,0,0,0,52726,53126,0,0,0,0,53126,53716,
15,0,0,12,53716,53791,0,0,0,0,53791,54191,0,0,54191,54268,0,0,
16,0,0,13,54268,54321,0,0,0,0,54321,54721,0,0,54721,54828,0,0,
17,0,1,14,54828,54897,0,0,0,0,54897,55297,0,0,0,0,55297,55428,
18,1,0,15,55428,55518,0,0,0,0,55518,55918,0,0,55918,56016,0,0,
19,0,0,15,57016,57420,0,0,0,0,57420,57820,0,0,57820,57956,0,0,
20,0,0,16,57956,58019,0,0,0,0,58019,58419,0,0,58419,58551,0,0,
21,0,1,17,58551,58618,0,0,0,0,58618,59018,0,0,0,0,59018,59204,
22,0,1,18,59204,59269,0,0,0,0,59269,59669,0,0,0,0,59669,59793,
23,0,1,19,59793,59856,0,0,0,0,59856,60256,0,0,0,0,60256,60453,
24,0,0,20,60453,60497,0,0,0,0,60497,60897,0,0,60897,61052,0,0,
25,0,0,21,61052,61094,0,0,0,0,61094,61494,0,0,61494,61817,0,0,
26,0,1,22,61817,61872,0,0,0,0,61872,62272,0,0,0,0,62272,62583,
27,1,0,23,62583,62668,0,0,0,0,62668,63068,0,0,63068,63125,0,0,
28,0,0,23,64125,64344,0,0,0,0,64344,64744,0,0,64744,64891,0,0,
29,0,1,24,64891,64948,0,0,0,0,64948,65348,0,0,0,0,65348,65411,
30,0,0,25,65411,65487,0,0,0,0,65487,65887,0,0,65887,65960,0,0,
31,3,1,26,65960,66032,0,0,0,0,66032,66432,0,0,0,0,66432,66685,
32,0,1,26,67685,70330,0,0,0,0,70330,70730,0,0,0,0,70730,70797,
33,4,1,27,70797,70884,0,0,71267,71767,70884,71267,0,1,0,0,0,0,
33,0,1,27,71767,71812,0,0,0,0,71812,72212,0,0,0,0,72212,72267,
34,0,1,28,72267,72334,0,0,0,0,72334,72734,0,0,0,0,72734,72796,
35,4,0,29,72796,72891,0,0,73254,73754,72891,73254,0,1,0,0,0,0,
