STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,18-Aug-2017
Time,9:56
Box Index,1
ExptType,0
SessionRecord,11

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH8_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,141565
Pellet Count,80
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
66,93,
SensorTC
S(1),
492,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,
Control,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,
Frequency,2000,8000,8000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,2000,2000,8000,2000,8000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,8000,8000,2000,8000,8000,2000,2000,8000,2000,8000,8000,2000,2000,8000,2000,8000,8000,2000,2000,2000,2000,2000,8000,2000,2000,8000,8000,8000,8000,8000,2000,8000,8000,2000,2000,8000,8000,2000,2000,2000,2000,2000,2000,8000,8000,8000,8000,8000,2000,
Amplitude,83,66,66,83,83,66,66,83,66,83,83,83,66,83,83,66,83,66,66,66,66,83,66,83,83,66,83,83,66,66,83,83,66,83,66,83,83,66,66,66,83,83,66,83,83,66,83,66,66,66,83,66,66,83,66,66,83,83,66,83,66,66,83,83,66,83,66,66,83,83,83,83,83,66,83,83,66,66,66,66,66,83,66,66,83,83,66,66,83,83,83,83,83,83,66,66,66,66,66,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,0,0,0,950,0,0,1166,1666,950,1166,1,0,0,0,0,0,
0,4,0,0,1666,3486,0,0,3794,4294,3486,3794,0,1,0,0,0,0,
0,4,0,0,4294,4399,0,0,4653,5153,4399,4653,1,0,0,0,0,0,
0,4,0,0,5153,5187,0,0,5446,5946,5187,5446,0,1,0,0,0,0,
0,0,0,0,5946,6287,0,0,0,0,6287,6637,0,0,6637,6902,0,0,
1,0,1,1,6902,7024,0,0,0,0,7024,7374,0,0,0,0,7374,7535,
2,0,1,2,7535,7629,0,0,0,0,7629,7979,0,0,0,0,7979,8120,
3,0,0,3,8120,8221,0,0,0,0,8221,8571,0,0,8571,8764,0,0,
4,4,0,4,8764,8854,0,0,9188,9688,8854,9188,0,1,0,0,0,0,
4,0,0,4,9688,9708,0,0,0,0,9708,10058,0,0,10058,10265,0,0,
5,0,1,5,10265,10370,0,0,0,0,10370,10720,0,0,0,0,10720,10901,
6,0,1,6,10901,13446,1,2,0,0,13446,13796,0,0,0,0,13796,13852,
7,0,0,7,13852,13991,0,0,0,0,13991,14341,0,0,14341,14440,0,0,
8,0,1,8,14440,14626,0,0,0,0,14626,14976,0,0,0,0,14976,15031,
9,0,0,9,15031,15226,0,1,0,0,15226,15576,0,0,15576,15808,0,0,
10,0,0,10,15808,15918,0,0,0,0,15918,16268,0,0,16268,16627,0,0,
11,0,0,11,16627,16780,0,0,0,0,16780,17130,0,0,17130,17347,0,0,
12,0,1,12,17347,17446,0,0,0,0,17446,17796,0,0,0,0,17796,17864,
13,0,0,13,17864,17967,0,0,0,0,17967,18317,0,0,18317,18479,0,0,
14,0,0,14,18479,18586,0,0,0,0,18586,18936,0,0,18936,19037,0,0,
15,3,1,15,19037,19134,0,0,0,0,19134,19484,0,0,0,0,19484,20047,
16,4,1,15,21047,22397,0,0,22672,23172,22397,22672,0,1,0,0,0,0,
16,0,1,15,23172,23252,0,0,0,0,23252,23602,0,0,0,0,23602,23940,
17,4,0,16,23940,24084,0,0,24422,24922,24084,24422,0,1,0,0,0,0,
17,4,0,16,24922,24950,0,0,25296,25796,24950,25296,0,1,0,0,0,0,
17,0,0,16,25796,25898,0,0,0,0,25898,26248,0,0,26248,26464,0,0,
18,0,1,17,26464,26556,0,0,0,0,26556,26906,0,0,0,0,26906,26951,
19,0,1,18,26951,27058,0,0,0,0,27058,27408,0,0,0,0,27408,27628,
20,0,1,19,27628,27780,0,0,0,0,27780,28130,0,0,0,0,28130,28263,
21,4,1,20,28263,28803,0,0,29059,29559,28803,29059,0,1,0,0,0,0,
21,3,1,20,29559,29593,0,0,0,0,29593,29943,0,0,0,0,29943,30099,
22,4,1,20,31099,32376,0,0,32633,33133,32376,32633,1,0,0,0,0,0,
22,4,1,20,33133,33259,0,0,33597,34097,33259,33597,0,1,0,0,0,0,
22,4,1,20,34097,34298,0,0,34442,34942,34298,34442,0,1,0,0,0,0,
22,4,1,20,34942,35608,0,0,35935,36435,35608,35935,0,1,0,0,0,0,
22,3,1,20,36435,36485,0,0,0,0,36485,36835,0,0,0,0,36835,37008,
23,0,1,20,38008,38096,0,1,0,0,38096,38446,0,0,0,0,38446,38524,
24,1,0,21,38524,38617,0,0,0,0,38617,38967,0,0,38967,39157,0,0,
25,4,0,21,40157,40376,0,0,40616,41116,40376,40616,0,1,0,0,0,0,
25,0,0,21,41116,41213,0,0,0,0,41213,41563,0,0,41563,41996,0,0,
26,0,1,22,41996,42083,0,0,0,0,42083,42433,0,0,0,0,42433,42499,
27,0,0,23,42499,42618,0,0,0,0,42618,42968,0,0,42968,43215,0,0,
28,0,0,24,43215,43304,0,0,0,0,43304,43654,0,0,43654,43976,0,0,
29,0,1,25,43976,44091,0,0,0,0,44091,44441,0,0,0,0,44441,44750,
30,1,0,26,44750,44882,0,0,0,0,44882,45232,0,0,45232,45390,0,0,
31,0,0,26,46390,49542,0,0,0,0,49542,49892,0,0,49892,50016,0,0,
32,0,0,27,50016,50133,0,0,0,0,50133,50483,0,0,50483,50747,0,0,
33,0,1,28,50747,50841,0,0,0,0,50841,51191,0,0,0,0,51191,51246,
34,0,1,29,51246,51410,0,0,0,0,51410,51760,0,0,0,0,51760,51869,
35,0,0,30,51869,51972,0,0,0,0,51972,52322,0,0,52322,52602,0,0,
36,1,0,31,52602,52690,0,0,0,0,52690,53040,0,0,53040,53207,0,0,
37,0,0,31,54207,54306,0,0,0,0,54306,54656,0,0,54656,54807,0,0,
38,4,1,32,54807,55068,0,0,55417,55917,55068,55417,0,1,0,0,0,0,
38,3,1,32,55917,56019,0,0,0,0,56019,56369,0,0,0,0,56369,56462,
39,3,1,32,57462,57783,0,1,0,0,57783,58133,0,0,0,0,58133,58441,
40,0,1,32,59441,59682,0,1,0,0,59682,60032,0,0,0,0,60032,60059,
41,0,0,33,60059,60165,0,0,0,0,60165,60515,0,0,60515,60785,0,0,
42,0,1,34,60785,60883,0,0,0,0,60883,61233,0,0,0,0,61233,61241,
43,1,0,35,61241,61355,0,0,0,0,61355,61705,0,0,61705,61754,0,0,
