STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,21-Jul-2017
Time,12:9
Box Index,1
ExptType,0
SessionRecord,64

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB2_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,159524
Pellet Count,63
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
77,147,
SensorTC
S(1),
438,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,
Control,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,
Frequency,8000,8000,2000,2000,2000,2000,8000,2000,8000,8000,8000,2000,2000,8000,8000,2000,2000,8000,2000,8000,8000,8000,2000,2000,2000,8000,8000,2000,8000,2000,2000,2000,8000,2000,8000,2000,8000,8000,2000,8000,8000,2000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,2000,8000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,2000,8000,2000,2000,8000,2000,8000,2000,8000,8000,2000,2000,2000,8000,8000,
Amplitude,66,66,83,83,83,83,66,83,66,66,66,83,83,66,66,83,83,66,83,66,66,66,83,83,83,66,66,83,66,83,83,83,66,83,66,83,66,66,83,66,66,83,66,83,66,66,83,66,83,83,66,83,66,83,66,83,83,83,66,66,66,83,83,66,83,66,66,83,66,83,83,66,83,66,66,83,83,66,83,66,83,83,66,66,66,83,66,83,83,66,83,66,83,66,66,83,83,83,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,125,0,0,363,863,125,363,0,1,0,0,0,0,
0,4,1,0,863,1160,0,0,1378,1878,1160,1378,0,1,0,0,0,0,
0,0,1,0,1878,2178,0,0,0,0,2178,2478,0,0,0,0,2478,2560,
1,0,1,1,2560,2615,0,0,0,0,2615,2915,0,0,0,0,2915,3137,
2,4,0,2,3137,3199,0,0,3496,3996,3199,3496,1,0,0,0,0,0,
2,4,0,2,3996,4112,0,0,4377,4877,4112,4377,0,1,0,0,0,0,
2,0,0,2,4877,4970,0,0,0,0,4970,5270,0,0,5270,5275,0,0,
3,0,0,3,5275,5399,0,0,0,0,5399,5699,0,0,5699,5701,0,0,
4,4,0,4,5701,5810,0,0,6035,6535,5810,6035,0,1,0,0,0,0,
4,0,0,4,6535,6636,0,0,0,0,6636,6936,0,0,6936,7048,0,0,
5,4,0,5,7048,7144,0,0,7402,7902,7144,7402,1,0,0,0,0,0,
5,1,0,5,7902,11708,1,0,0,0,11708,12008,0,0,12008,12094,0,0,
6,4,0,5,13094,13258,0,0,13437,13937,13258,13437,0,1,0,0,0,0,
6,4,0,5,13937,14009,0,1,14272,14772,14009,14272,0,1,0,0,0,0,
6,1,0,5,14772,14956,2,0,0,0,14956,15256,0,0,15256,15354,0,0,
7,1,0,5,16354,18011,0,0,0,0,18011,18311,0,0,18311,19021,0,0,
8,0,0,5,20021,20195,1,0,0,0,20195,20495,0,0,20495,20617,0,0,
9,4,1,6,20617,20709,0,0,20988,21488,20709,20988,1,0,0,0,0,0,
9,4,1,6,21488,21556,0,0,21793,22293,21556,21793,1,0,0,0,0,0,
9,4,1,6,22293,28904,1,4,29156,29656,28904,29156,0,1,0,0,0,0,
9,3,1,6,29656,29811,0,0,0,0,29811,30111,0,0,0,0,30111,30395,
10,3,1,6,31395,31733,0,0,0,0,31733,32033,0,0,0,0,32033,32715,
11,4,1,6,33715,34872,0,0,35009,35509,34872,35009,0,1,0,0,0,0,
11,3,1,6,35509,35754,0,1,0,0,35754,36054,0,0,0,0,36054,36101,
12,4,1,6,37101,37741,1,0,37897,38397,37741,37897,0,1,0,0,0,0,
12,0,1,6,38397,48612,0,0,0,0,48612,48912,0,0,0,0,48912,49776,
13,4,0,7,49776,49879,0,0,50010,50510,49879,50010,0,1,0,0,0,0,
13,0,0,7,50510,51482,1,0,0,0,51482,51782,0,0,51782,51910,0,0,
14,0,1,8,51910,52002,0,0,0,0,52002,52302,0,0,0,0,52302,52365,
15,3,1,9,52365,52426,0,0,0,0,52426,52726,0,0,0,0,52726,52737,
16,0,1,9,53737,53847,0,1,0,0,53847,54147,0,0,0,0,54147,54152,
17,0,1,10,54152,54220,0,0,0,0,54220,54520,0,0,0,0,54520,54605,
18,0,0,11,54605,54659,0,0,0,0,54659,54959,0,0,54959,55140,0,0,
19,1,0,12,55140,55247,0,0,0,0,55247,55547,0,0,55547,55649,0,0,
20,0,0,12,56649,57516,0,1,0,0,57516,57816,0,0,57816,57965,0,0,
21,3,1,13,57965,58063,0,0,0,0,58063,58363,0,0,0,0,58363,58466,
22,3,1,13,59466,59668,0,1,0,0,59668,59968,0,0,0,0,59968,60717,
23,4,1,13,61717,61915,0,0,62133,62633,61915,62133,0,1,0,0,0,0,
23,3,1,13,62633,62758,0,0,0,0,62758,63058,0,0,0,0,63058,63323,
24,0,1,13,64323,64340,0,0,0,0,64340,64640,0,0,0,0,64640,65148,
25,3,1,14,65148,65199,0,0,0,0,65199,65499,0,0,0,0,65499,65568,
26,4,1,14,66568,67224,0,0,67427,67927,67224,67427,0,1,0,0,0,0,
26,0,1,14,67927,69434,0,0,0,0,69434,69734,0,0,0,0,69734,70044,
27,1,0,15,70044,70111,0,0,0,0,70111,70411,0,0,70411,70442,0,0,
28,0,0,15,71442,71476,0,0,0,0,71476,71776,0,0,71776,71911,0,0,
29,0,0,16,71911,72024,0,0,0,0,72024,72324,0,0,72324,72443,0,0,
30,3,1,17,72443,72562,0,0,0,0,72562,72862,0,0,0,0,72862,72948,
31,0,1,17,73948,74058,0,0,0,0,74058,74358,0,0,0,0,74358,74701,
32,0,0,18,74701,74760,0,0,0,0,74760,75060,0,0,75060,75223,0,0,
33,0,1,19,75223,75310,0,0,0,0,75310,75610,0,0,0,0,75610,76642,
34,0,1,20,76642,76700,0,0,0,0,76700,77000,0,0,0,0,77000,77155,
35,0,1,21,77155,77221,0,0,0,0,77221,77521,0,0,0,0,77521,77557,
36,0,0,22,77557,77620,0,0,0,0,77620,77920,0,0,77920,78035,0,0,
37,0,0,23,78035,78116,0,0,0,0,78116,78416,0,0,78416,78494,0,0,
38,0,0,24,78494,78595,0,0,0,0,78595,78895,0,0,78895,78996,0,0,
39,3,1,25,78996,79114,0,0,0,0,79114,79414,0,0,0,0,79414,79460,
40,3,1,25,80460,81827,2,0,0,0,81827,82127,0,0,0,0,82127,83630,
41,0,1,25,84630,86961,0,5,0,0,86961,87261,0,0,0,0,87261,87303,
42,4,1,26,87303,87409,0,0,87602,88102,87409,87602,0,1,0,0,0,0,
