STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,27-Nov-2017
Time,10:46
Box Index,1
ExptType,0
SessionRecord,51

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,CH9_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,200477
Pellet Count,63
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
93,165,
SensorTC
S(1),
588,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,
Control,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,
Frequency,8000,8000,2000,8000,8000,2000,8000,2000,2000,2000,8000,2000,8000,2000,2000,2000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,8000,2000,2000,2000,2000,8000,8000,8000,8000,2000,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,2000,8000,2000,2000,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,8000,2000,8000,2000,2000,2000,8000,2000,8000,8000,2000,8000,8000,
Amplitude,66,66,83,66,66,83,66,83,83,83,66,83,66,83,83,83,66,66,66,83,66,83,83,66,83,83,66,66,66,83,83,66,66,66,83,66,83,83,66,83,83,66,83,66,83,83,66,66,66,83,83,66,66,83,83,83,83,66,66,66,66,83,66,83,66,83,66,83,83,66,66,83,66,83,66,83,83,66,83,66,83,66,83,83,66,66,83,66,83,66,83,83,83,66,83,66,66,83,66,66,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,4,1,0,0,1196,0,1,1412,1912,1196,1412,1,0,0,0,0,0,
0,0,1,0,1912,6191,0,1,0,0,6191,6541,0,0,0,0,6541,6848,
1,4,1,1,6848,6910,0,0,7224,7724,6910,7224,0,1,0,0,0,0,
1,3,1,1,7724,8158,1,2,0,0,8158,8508,0,0,0,0,8508,8568,
2,0,1,1,9568,9901,0,0,0,0,9901,10251,0,0,0,0,10251,10269,
3,4,0,2,10269,10338,0,0,10606,11106,10338,10606,0,1,0,0,0,0,
3,4,0,2,11106,12380,0,0,12544,13044,12380,12544,0,1,0,0,0,0,
3,4,0,2,13044,15063,1,0,15395,15895,15063,15395,0,1,0,0,0,0,
3,1,0,2,15895,16440,0,3,0,0,16440,16790,0,0,16790,16794,0,0,
4,1,0,2,17794,17835,0,0,0,0,17835,18185,0,0,18185,18242,0,0,
5,4,0,2,19242,19833,0,1,20104,20604,19833,20104,0,1,0,0,0,0,
5,4,0,2,20604,21622,2,0,21965,22465,21622,21965,1,0,0,0,0,0,
5,1,0,2,22465,23738,0,0,0,0,23738,24088,0,0,24088,24252,0,0,
6,1,0,2,25252,25830,0,2,0,0,25830,26180,0,0,26180,26230,0,0,
7,0,0,2,27230,29032,0,0,0,0,29032,29382,0,0,29382,29492,0,0,
8,4,1,3,29492,29570,0,0,29907,30407,29570,29907,1,0,0,0,0,0,
8,4,1,3,30407,34500,0,0,34843,35343,34500,34843,0,1,0,0,0,0,
8,0,1,3,35343,38488,0,0,0,0,38488,38838,0,0,0,0,38838,39079,
9,0,1,4,39079,39164,0,0,0,0,39164,39514,0,0,0,0,39514,39553,
10,0,0,5,39553,39616,0,0,0,0,39616,39966,0,0,39966,40084,0,0,
11,4,1,6,40084,40153,0,0,40496,40996,40153,40496,0,1,0,0,0,0,
11,0,1,6,40996,41084,1,0,0,0,41084,41434,0,0,0,0,41434,41455,
12,1,0,7,41455,41548,0,0,0,0,41548,41898,0,0,41898,41910,0,0,
13,4,0,7,42910,43923,0,4,44190,44690,43923,44190,1,0,0,0,0,0,
13,0,0,7,44690,45233,1,0,0,0,45233,45583,0,0,45583,45801,0,0,
14,4,0,8,45801,45880,0,0,46218,46718,45880,46218,0,1,0,0,0,0,
14,0,0,8,46718,47151,1,2,0,0,47151,47501,0,0,47501,47635,0,0,
15,4,0,9,47635,47690,0,0,47932,48432,47690,47932,0,1,0,0,0,0,
15,4,0,9,48432,48625,0,0,48940,49440,48625,48940,0,1,0,0,0,0,
15,4,0,9,49440,49838,0,0,50017,50517,49838,50017,0,1,0,0,0,0,
15,4,0,9,50517,50783,0,0,51124,51624,50783,51124,0,1,0,0,0,0,
15,4,0,9,51624,51919,0,1,52198,52698,51919,52198,0,1,0,0,0,0,
15,0,0,9,52698,53290,1,0,0,0,53290,53640,0,0,53640,53793,0,0,
16,4,1,10,53793,53844,0,0,54194,54694,53844,54194,1,0,0,0,0,0,
16,0,1,10,54694,54981,2,0,0,0,54981,55331,0,0,0,0,55331,55431,
17,4,0,11,55431,55503,0,0,55830,56330,55503,55830,0,1,0,0,0,0,
17,4,0,11,56330,56431,0,0,56609,57109,56431,56609,0,1,0,0,0,0,
17,0,0,11,57109,62619,0,0,0,0,62619,62969,0,0,62969,63108,0,0,
18,4,1,12,63108,63174,0,0,63310,63810,63174,63310,1,0,0,0,0,0,
18,0,1,12,63810,64070,0,1,0,0,64070,64420,0,0,0,0,64420,64503,
19,0,0,13,64503,64566,0,0,0,0,64566,64916,0,0,64916,65040,0,0,
20,1,0,14,65040,65092,0,0,0,0,65092,65442,0,0,65442,65495,0,0,
21,0,0,14,66495,67525,3,1,0,0,67525,67875,0,0,67875,68010,0,0,
22,1,0,15,68010,68061,0,0,0,0,68061,68411,0,0,68411,68551,0,0,
23,1,0,15,69551,69570,0,0,0,0,69570,69920,0,0,69920,70017,0,0,
24,4,0,15,71017,71421,0,0,71595,72095,71421,71595,1,0,0,0,0,0,
24,1,0,15,72095,72131,0,0,0,0,72131,72481,0,0,72481,72625,0,0,
25,0,0,15,73625,73838,0,1,0,0,73838,74188,0,0,74188,74356,0,0,
26,0,1,16,74356,74406,0,0,0,0,74406,74756,0,0,0,0,74756,74843,
27,4,1,17,74843,74924,0,0,75217,75717,74924,75217,0,1,0,0,0,0,
27,4,1,17,75717,75744,0,0,75951,76451,75744,75951,0,1,0,0,0,0,
27,4,1,17,76451,76512,0,0,76639,77139,76512,76639,0,1,0,0,0,0,
27,0,1,17,77139,77229,0,0,0,0,77229,77579,0,0,0,0,77579,78025,
28,0,1,18,78025,78104,0,0,0,0,78104,78454,0,0,0,0,78454,78492,
29,4,0,19,78492,78589,0,0,78935,79435,78589,78935,0,1,0,0,0,0,
29,1,0,19,79435,80390,1,0,0,0,80390,80740,0,0,80740,80851,0,0,
30,4,0,19,81851,81870,0,0,81976,82476,81870,81976,0,1,0,0,0,0,
30,4,0,19,82476,83114,0,1,83358,83858,83114,83358,1,0,0,0,0,0,
30,0,0,19,83858,84207,0,1,0,0,84207,84557,0,0,84557,85377,0,0,
