STARTDATA
KLIMBIC OUTPUT FILE
MS EXCEL FORMAT
System,No System Name
User,Operant
Date,27-Oct-2017
Time,12:23
Box Index,1
ExptType,0
SessionRecord,33

Session Title,Individual Cue and Discrimination training
Protocol Title,R-R JBT Pure Tones
Protocol Description,R-R JBT Tones (repeat Inc)
Analysis Ref,CS-240170
Dose Details,Index,0
No Dose
999
0
Unassigned
300
Subject Id,JB3_1
DB Ref,Training
DB Group,-1
Day Table,Unassigned
Duration,186789
Pellet Count,78
Fluid Count,0
Air Puff Count,0
Shock Count,0
F10 Sensor,X(0),
SL Target,2
SL Dummy,1
SS Target,2
SS Dummy,1
LeverTC
L(1),L(2),
70,116,
SensorTC
S(1),
370,
AutoControl,Index,0,
AC Comment,,Discrimination training
2WT Details
Trials,Banked,Sequential,Noise,Shock
100,0,0,0,0,
Trial,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
Bank,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,
Group,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,
Control,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,
Frequency,8000,2000,8000,2000,8000,2000,2000,8000,8000,2000,2000,8000,2000,2000,8000,8000,8000,2000,2000,8000,2000,8000,8000,2000,2000,2000,8000,2000,8000,8000,2000,2000,8000,8000,2000,8000,8000,8000,2000,2000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,2000,8000,8000,2000,8000,2000,2000,8000,2000,8000,8000,8000,2000,8000,2000,2000,8000,2000,2000,8000,8000,8000,8000,2000,2000,8000,2000,2000,8000,2000,2000,2000,2000,2000,8000,8000,2000,8000,8000,8000,8000,2000,2000,8000,8000,2000,8000,8000,2000,2000,
Amplitude,66,83,66,83,66,83,83,66,66,83,83,66,83,83,66,66,66,83,83,66,83,66,66,83,83,83,66,83,66,66,83,83,66,66,83,66,66,66,83,83,83,66,83,66,66,66,83,66,83,83,83,66,66,83,66,83,83,66,83,66,66,66,83,66,83,83,66,83,83,66,66,66,66,83,83,66,83,83,66,83,83,83,83,83,66,66,83,66,66,66,66,83,83,66,66,83,66,66,83,83,
Burst,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
T1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
ITI,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,


Trials

,,,,Stage (2),Stage (2),Stage (2),Stage (2),Stage (3),Stage (3),Stage (5),Stage (5),Stage (5),Stage (5),Stage (7),Stage (7),Stage (8),Stage (8),
Trial,,Item,TT,,,Count :-,Count :-,,,,,Count :-,Count :-,,,,,
Ref,Outcome,Index,Index,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,L(1),L(2),Entry,Exit,Entry,Exit,
0,3,1,0,0,755,2,0,0,0,755,1155,0,0,0,0,1155,1287,
1,0,1,0,2287,3315,0,0,0,0,3315,3715,0,0,0,0,3715,3730,
2,4,0,1,3730,3806,0,0,4158,4658,3806,4158,0,1,0,0,0,0,
2,4,0,1,4658,7185,0,1,7444,7944,7185,7444,0,1,0,0,0,0,
2,0,0,1,7944,8065,0,0,0,0,8065,8465,0,0,8465,8595,0,0,
3,0,1,2,8595,8664,0,0,0,0,8664,9064,0,0,0,0,9064,9106,
4,4,0,3,9106,9178,0,0,9569,10069,9178,9569,0,1,0,0,0,0,
4,0,0,3,10069,10114,0,0,0,0,10114,10514,0,0,10514,10695,0,0,
5,4,1,4,10695,10778,0,0,10999,11499,10778,10999,1,0,0,0,0,0,
5,0,1,4,11499,12622,0,0,0,0,12622,13022,0,0,0,0,13022,13082,
6,4,0,5,13082,13187,0,0,13540,14040,13187,13540,0,1,0,0,0,0,
6,4,0,5,14040,14482,0,0,14744,15244,14482,14744,0,1,0,0,0,0,
6,0,0,5,15244,15376,0,0,0,0,15376,15776,0,0,15776,16921,0,0,
7,4,0,6,16921,17049,0,0,17301,17801,17049,17301,0,1,0,0,0,0,
7,4,0,6,17801,18867,0,1,19045,19545,18867,19045,0,1,0,0,0,0,
7,0,0,6,19545,19908,1,0,0,0,19908,20308,0,0,20308,20555,0,0,
8,4,1,7,20555,20679,0,0,21008,21508,20679,21008,0,1,0,0,0,0,
8,0,1,7,21508,21632,0,0,0,0,21632,22032,0,0,0,0,22032,22064,
9,0,1,8,22064,23040,0,0,0,0,23040,23440,0,0,0,0,23440,23633,
10,0,0,9,23633,23751,0,0,0,0,23751,24151,0,0,24151,24320,0,0,
11,4,0,10,24320,24376,0,0,24776,25276,24376,24776,1,0,0,0,0,0,
11,4,0,10,25276,25561,0,1,25909,26409,25561,25909,0,1,0,0,0,0,
11,0,0,10,26409,27210,1,3,0,0,27210,27610,0,0,27610,27788,0,0,
12,3,1,11,27788,27862,0,0,0,0,27862,28262,0,0,0,0,28262,28309,
13,4,1,11,29309,31841,0,0,32240,32740,31841,32240,0,1,0,0,0,0,
13,0,1,11,32740,33230,1,0,0,0,33230,33630,0,0,0,0,33630,34167,
14,4,0,12,34167,34313,0,0,34660,35160,34313,34660,0,1,0,0,0,0,
14,1,0,12,35160,35344,0,0,0,0,35344,35744,0,0,35744,35802,0,0,
15,4,0,12,36802,37244,0,0,37567,38067,37244,37567,0,1,0,0,0,0,
15,4,0,12,38067,41429,0,0,41825,42325,41429,41825,0,1,0,0,0,0,
15,1,0,12,42325,44563,0,0,0,0,44563,44963,0,0,44963,45006,0,0,
16,0,0,12,46006,46039,0,0,0,0,46039,46439,0,0,46439,46598,0,0,
17,0,0,13,46598,46681,0,0,0,0,46681,47081,0,0,47081,47222,0,0,
18,3,1,14,47222,47322,0,0,0,0,47322,47722,0,0,0,0,47722,47762,
19,0,1,14,48762,50055,0,0,0,0,50055,50455,0,0,0,0,50455,50831,
20,0,1,15,50831,50947,0,0,0,0,50947,51347,0,0,0,0,51347,51425,
21,0,1,16,51425,51524,0,0,0,0,51524,51924,0,0,0,0,51924,52141,
22,0,0,17,52141,52409,0,0,0,0,52409,52809,0,0,52809,53204,0,0,
23,0,0,18,53204,53287,0,0,0,0,53287,53687,0,0,53687,53859,0,0,
24,3,1,19,53859,54054,0,0,0,0,54054,54454,0,0,0,0,54454,54931,
25,4,1,19,55931,56282,0,0,56588,57088,56282,56588,1,0,0,0,0,0,
25,0,1,19,57088,58014,0,1,0,0,58014,58414,0,0,0,0,58414,58879,
26,4,0,20,58879,59480,0,0,59715,60215,59480,59715,0,1,0,0,0,0,
26,4,0,20,60215,69142,0,0,69421,69921,69142,69421,0,1,0,0,0,0,
26,0,0,20,69921,72967,0,0,0,0,72967,73367,0,0,73367,73518,0,0,
27,3,1,21,73518,73663,0,0,0,0,73663,74063,0,0,0,0,74063,74345,
28,2,1,21,75345,75881,0,0,0,0,75881,76281,0,0,0,0,76281,78281,
29,0,1,21,78781,79066,0,1,0,0,79066,79466,0,0,0,0,79466,80093,
30,0,1,22,80093,80173,0,0,0,0,80173,80573,0,0,0,0,80573,80855,
31,0,0,23,80855,81162,0,0,0,0,81162,81562,0,0,81562,81817,0,0,
32,0,0,24,81817,81912,0,0,0,0,81912,82312,0,0,82312,82523,0,0,
33,1,0,25,82523,82631,0,0,0,0,82631,83031,0,0,83031,83180,0,0,
34,0,0,25,84180,85061,0,1,0,0,85061,85461,0,0,85461,85600,0,0,
35,3,1,26,85600,85717,0,0,0,0,85717,86117,0,0,0,0,86117,86990,
36,0,1,26,87990,88268,0,0,0,0,88268,88668,0,0,0,0,88668,89983,
37,0,0,27,89983,90092,0,0,0,0,90092,90492,0,0,90492,90614,0,0,
38,3,1,28,90614,90726,0,0,0,0,90726,91126,0,0,0,0,91126,91362,
39,4,1,28,92362,93573,0,1,93963,94463,93573,93963,0,1,0,0,0,0,
39,4,1,28,94463,99171,0,0,99342,99842,99171,99342,0,1,0,0,0,0,
